,opp_fg,opp_fg_pct,opp_fga,opp_pts,opp_pts_per_g,opp_trb,team_name,type
0,259th,112th,268th,172nd,12th,206th,wisconsin,team_stats
1,60th,21st,182nd,103rd,11th,204th,winthrop,team_stats
2,321st,251st,301st,316th,134th,308th,west-virginia,team_stats
3,329th,257th,324th,329th,290th,297th,washington,team_stats
4,324th,178th,319th,324th,289th,236th,wake-forest,team_stats
5,78th,18th,207th,128th,34th,211th,villanova,team_stats
6,182nd,56th,257th,121st,32nd,191st,vermont,team_stats
7,238th,117th,258th,133rd,7th,4th,utah,team_stats
8,250th,224th,213th,197th,245th,65th,ucla,team_stats
9,100th,19th,222nd,42nd,8th,18th,utah-state,team_stats
10,207th,16th,303rd,228th,161st,223rd,texas,team_stats
11,318th,157th,313th,303rd,187th,302nd,texas-tech,team_stats
12,313th,166th,310th,300th,81st,285th,texas-el-paso,team_stats
13,244th,10th,314th,273rd,69th,289th,syracuse,team_stats
14,247th,114th,264th,241st,175th,248th,stanford,team_stats
15,193rd,108th,225th,227th,15th,279th,southern-illinois,team_stats
16,33rd,74th,68th,36th,4th,142nd,southeastern-louisiana,team_stats
17,300th,99th,309th,267th,54th,254th,saint-marys-ca,team_stats
18,39th,32nd,130th,36th,46th,5th,pittsburgh,team_stats
19,18th,31st,64th,15th,26th,65th,pennsylvania,team_stats
20,233rd,60th,276th,144th,74th,34th,pacific,team_stats
21,228th,43rd,289th,200th,20th,301st,old-dominion,team_stats
22,224th,144th,235th,206th,43rd,187th,oklahoma,team_stats
23,281st,219th,256th,249th,83rd,71st,oklahoma-state,team_stats
24,257th,170th,253rd,266th,150th,216th,ohio,team_stats
25,310th,310th,245th,315th,278th,246th,oakland,team_stats
26,241st,149th,247th,230th,115th,181st,northern-iowa,team_stats
27,327th,26th,330th,330th,218th,317th,north-carolina,team_stats
28,289th,155th,293rd,308th,109th,307th,north-carolina-state,team_stats
29,320th,297th,277th,314th,322nd,152nd,niagara,team_stats
30,175th,6th,298th,110th,28th,168th,nevada,team_stats
31,268th,72nd,293rd,225th,61st,209th,new-mexico,team_stats
32,266th,108th,275th,237th,172nd,142nd,montana,team_stats
33,304th,47th,320th,294th,105th,253rd,mississippi-state,team_stats
34,178th,111th,220th,147th,38th,136th,minnesota,team_stats
35,227th,135th,245th,253rd,89th,91st,michigan-state,team_stats
36,160th,57th,237th,179th,62nd,268th,milwaukee,team_stats
37,305th,8th,327th,323rd,59th,323rd,louisville,team_stats
38,270th,217th,239th,246th,241st,79th,louisiana-state,team_stats
39,168th,234th,145th,217th,153rd,124th,louisiana-lafayette,team_stats
40,221st,36th,288th,230th,35th,292nd,kentucky,team_stats
41,63rd,5th,218th,102nd,84th,170th,kansas,team_stats
42,282nd,79th,302nd,288th,133rd,289th,iowa,team_stats
43,323rd,66th,325th,319th,18th,317th,illinois,team_stats
44,160th,67th,228th,133rd,70th,270th,iowa-state,team_stats
45,254th,69th,286th,253rd,197th,51st,gonzaga,team_stats
46,193rd,13th,299th,240th,119th,300th,georgia-tech,team_stats
47,151st,120th,196th,154th,135th,131st,george-washington,team_stats
48,148th,50th,237th,152nd,40th,127th,florida,team_stats
49,315th,241st,291st,306th,205th,294th,fairleigh-dickinson,team_stats
50,175th,147th,198th,197th,128th,150th,eastern-kentucky,team_stats
51,278th,11th,321st,251st,86th,312th,duke,team_stats
52,203rd,307th,101st,163rd,29th,170th,delaware-state,team_stats
53,298th,213th,281st,278th,75th,294th,creighton,team_stats
54,247th,3rd,323rd,194th,123rd,212th,connecticut,team_stats
55,221st,2nd,322nd,234th,66th,310th,cincinnati,team_stats
56,138th,30th,250th,160th,92nd,61st,chattanooga,team_stats
57,259th,186th,244th,208th,256th,228th,charlotte,team_stats
58,208th,112th,243rd,250th,85th,114th,central-florida,team_stats
59,42nd,15th,176th,94th,10th,175th,bucknell,team_stats
60,163rd,61st,232nd,87th,64th,111th,boston-college,team_stats
61,330th,171st,329th,328th,199th,313th,arizona,team_stats
62,263rd,36th,305th,203rd,82nd,136th,alabama,team_stats
63,291st,196th,284th,318th,252nd,322nd,alabama-birmingham,team_stats
64,296th,97th,307th,261st,145th,330th,alabama-am,team_stats
