,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,55.9,6.5,.453,.345,.267,.435,32,14,6,3,8,2169,2229,Alabama A&M,-12.86,-11.96,17.6,47.0,.486,.563,18,12,9,6
1,57.3,5.4,.505,.313,.271,.389,33,11,6,3,5,2371,2557,Alabama-Birmingham,4.78,10.42,15.8,46.6,.541,.667,22,10,11,7
2,55.3,7.5,.557,.373,.318,.432,32,8,4,1,4,2083,2426,Alabama,6.81,16.74,16.7,53.9,.594,.750,24,12,14,8
3,56.6,6.6,.534,.279,.240,.309,37,7,3,1,3,2579,2948,Arizona,8.03,18.00,17.5,52.9,.570,.811,30,15,15,8
4,68.6,7.1,.493,.293,.305,.428,30,5,3,1,2,1935,2174,Boston College,6.41,14.38,16.6,53.4,.536,.833,25,13,16,7
5,59.1,5.8,.513,.373,.297,.424,33,10,4,1,7,1946,2097,Bucknell,-2.19,2.12,21.1,50.3,.551,.697,23,10,12,8
6,65.3,8.2,.544,.446,.266,.382,33,9,7,3,5,2152,2304,Central Florida,-7.78,-4.91,19.8,54.2,.573,.727,24,13,12,8
7,53.6,5.2,.497,.357,.282,.413,29,8,4,2,5,2093,2257,Charlotte,3.97,9.63,15.5,51.0,.534,.724,21,12,12,7
8,56.6,3.4,.503,.317,.284,.418,31,11,6,3,7,2034,2253,Chattanooga,-3.59,-1.37,20.4,57.5,.538,.645,20,10,13,7
9,58.8,11.2,.494,.330,.315,.457,33,8,4,2,3,2130,2505,Cincinnati,6.74,17.64,15.7,52.9,.535,.758,25,12,15,7
10,61.6,13.7,.502,.260,.289,.413,31,8,3,3,3,2072,2419,Connecticut,7.62,18.82,17.3,57.1,.540,.742,23,13,14,7
11,58.7,6.1,.533,.388,.265,.363,34,11,7,5,5,2207,2421,Creighton,3.84,10.14,16.2,47.8,.567,.676,23,11,11,7
