,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,219th,229th,276th,175th,75th,66th,137th,305th,123rd,329th,49th,270th,329th,182nd,332nd,246th,7th,284th,232nd,255th,73rd,276th,arizona-state,team_stats
1,26th,73rd,124th,40th,125th,113th,174th,10th,102nd,9th,151st,42nd,248th,268th,232nd,95th,165th,42nd,19th,122nd,16th,108th,abilene-christian,team_stats
2,44th,223rd,344th,315th,339th,145th,340th,110th,14th,260th,81st,340th,276th,148th,284th,284th,20th,312th,162nd,122nd,20th,340th,buffalo,team_stats
3,133rd,64th,226th,71st,69th,52nd,146th,157th,79th,194th,46th,169th,272nd,281st,259th,151st,65th,119th,35th,150th,172nd,206th,bradley,team_stats
4,307th,334th,348th,333rd,266th,230th,248th,343rd,197th,347th,173rd,336th,330th,188th,332nd,345th,28th,348th,104th,286th,1st,348th,auburn,team_stats
5,100th,250th,232nd,293rd,309th,58th,336th,186th,167th,183rd,98th,326th,82nd,112th,86th,154th,250th,251st,246th,166th,240th,212th,belmont,team_stats
6,200th,336th,32nd,104th,100th,73rd,169th,157th,195th,138th,104th,142nd,254th,61st,277th,235th,121st,135th,70th,178th,198th,91st,baylor,team_stats
7,25th,152nd,197th,132nd,139th,1st,342nd,134th,143rd,143rd,4th,330th,296th,197th,293rd,314th,100th,173rd,21st,133rd,202nd,265th,california-irvine,team_stats
8,72nd,303rd,47th,54th,17th,20th,69th,288th,253rd,270th,40th,142nd,53rd,16th,91st,216th,46th,60th,14th,1st,73rd,93rd,cincinnati,team_stats
9,117th,73rd,71st,50th,67th,16th,216th,96th,32nd,186th,11th,222nd,43rd,4th,83rd,300th,22nd,25th,27th,109th,244th,164th,central-florida,team_stats
10,292nd,281st,313th,344th,347th,18th,353rd,186th,16th,309th,17th,351st,96th,112th,103rd,352nd,46th,325th,75th,327th,23rd,344th,duke,team_stats
11,231st,223rd,95th,281st,243rd,205th,236th,264th,137th,291st,160th,287th,117th,224th,107th,196th,185th,262nd,146th,339th,196th,125th,colgate,team_stats
12,47th,256th,65th,173rd,281st,85th,312th,23rd,3rd,133rd,42nd,276th,87th,261st,63rd,308th,183rd,97th,87th,161st,96th,169th,murray-state,team_stats
13,245th,223rd,32nd,187th,210th,99th,257th,134th,327th,55th,225th,142nd,194th,177th,201st,216th,223rd,169th,171st,181st,84th,80th,mississippi,team_stats
14,46th,112th,138th,165th,199th,114th,238th,110th,156th,114th,138th,187th,312th,348th,284th,72nd,121st,214th,90th,141st,80th,102nd,montana,team_stats
15,266th,346th,307th,323rd,338th,125th,341st,142nd,164th,138th,177th,324th,114th,94th,134th,267th,25th,286th,122nd,207th,213th,312th,minnesota,team_stats
16,172nd,287th,27th,211th,219th,106th,260th,186th,268th,130th,179th,219th,207th,241st,194th,245th,234th,211th,150th,161st,105th,91st,mississippi-state,team_stats
17,53rd,281st,340th,165th,309th,13th,346th,5th,6th,37th,16th,308th,12th,18th,21st,170th,239th,40th,2nd,3rd,168th,323rd,michigan,team_stats
18,272nd,256th,201st,309th,286th,2nd,349th,277th,43rd,334th,3rd,350th,203rd,47th,252nd,333rd,23rd,304th,33rd,327th,248th,299th,michigan-state,team_stats
19,146th,39th,306th,202nd,231st,257th,190th,121st,90th,164th,212th,176th,184th,51st,232nd,188th,255th,181st,179th,70th,57th,283rd,temple,team_stats
20,104th,274th,124th,93rd,34th,4th,233rd,284th,234th,270th,10th,272nd,287th,235th,277th,93rd,32nd,170th,58th,231st,174th,105th,utah-state,team_stats
