,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,58.5,8.0,.535,.345,.239,.336,34,7,4,2,4,108.6,2161,28.8,67.2,2502,Abilene Christian,-7.34,-1.91,12.9,15.5,50.3,.565,.794,27,14,13,10
1,51.1,9.6,.506,.355,.298,.438,34,11,6,3,5,105.4,2494,31.3,72.5,2638,Arizona State,6.04,10.28,8.5,16.1,52.6,.543,.676,23,12,13,6
2,52.1,15.6,.543,.494,.221,.312,40,10,7,2,6,114.1,2750,31.6,69.2,3188,Auburn,10.92,20.84,13.2,14.3,49.2,.569,.750,30,11,15,4
3,54.4,13.8,.512,.408,.219,.323,34,14,8,5,6,107.6,2302,37.6,66.5,2442,Baylor,9.26,13.38,9.2,16.4,54.1,.538,.588,20,10,13,5
4,61.9,9.1,.580,.440,.211,.286,33,6,2,1,3,116.2,2439,25.1,74.2,2868,Belmont,-2.60,9.12,8.9,13.7,52.2,.603,.818,27,16,13,12
5,52.1,11.6,.497,.348,.248,.359,35,15,9,6,8,100.2,2285,26.9,66.2,2329,Bradley,-0.90,-0.08,8.0,16.7,50.7,.531,.571,20,9,10,5
6,55.3,10.1,.535,.436,.225,.327,36,4,2,0,3,112.8,2550,31.8,74.5,3037,Buffalo,2.62,15.56,9.8,13.8,52.4,.561,.889,32,16,14,12
7,48.5,10.9,.516,.325,.208,.296,37,6,1,2,2,107.8,2353,34.0,66.2,2675,UC-Irvine,-2.30,5.70,8.5,15.2,54.8,.543,.838,31,15,12,13
8,53.6,12.6,.529,.356,.294,.453,33,9,5,2,5,107.0,2128,29.0,67.3,2385,Central Florida,5.58,13.37,8.5,15.5,51.5,.557,.727,24,13,15,5
9,53.4,14.5,.490,.333,.265,.376,35,7,4,2,4,109.5,2194,36.9,65.0,2510,Cincinnati,5.50,14.53,9.3,13.3,53.7,.528,.800,28,14,16,7
10,56.6,10.0,.559,.409,.210,.282,35,11,5,1,9,110.3,2458,29.1,67.8,2648,Colgate,-3.83,1.23,8.9,16.8,52.7,.585,.686,24,13,15,9
11,52.4,16.4,.536,.373,.228,.332,38,6,4,2,2,112.6,2576,35.3,73.2,3143,Duke,11.98,26.90,12.4,14.8,53.8,.561,.842,32,14,15,7
12,52.8,10.5,.544,.347,.263,.362,35,14,6,4,9,107.5,2515,28.8,68.7,2620,Fairleigh Dickinson,-7.24,-6.09,10.7,17.3,49.3,.576,.600,21,12,13,7
13,49.5,12.7,.505,.377,.267,.358,37,8,5,1,4,106.3,2485,32.3,69.5,2771,Florida State,10.26,17.99,10.2,16.2,53.2,.545,.784,29,13,15,6
14,51.0,11.0,.498,.433,.216,.299,36,16,9,6,6,103.7,2289,30.6,64.7,2440,Florida,11.22,15.42,10.9,15.4,49.2,.530,.556,20,9,9,5
15,52.6,8.8,.558,.366,.269,.378,35,12,6,0,9,110.9,2468,24.5,68.5,2718,Gardner-Webb,-4.43,-2.61,9.7,15.0,49.2,.587,.657,23,11,13,8
16,46.0,14.0,.543,.436,.235,.353,34,10,5,1,7,107.1,2491,23.1,71.3,2598,Georgia State,0.65,2.44,11.1,14.5,45.4,.565,.706,24,13,13,7
17,56.8,13.9,.590,.353,.269,.353,37,4,0,0,1,122.2,2400,30.4,71.7,3243,Gonzaga,5.01,27.79,10.5,13.1,54.7,.620,.892,33,16,17,9
18,55.8,13.4,.521,.426,.222,.316,37,4,2,1,1,111.8,2258,33.8,67.3,2787,Houston,4.61,18.91,9.6,13.9,54.9,.550,.892,33,16,19,10
19,50.4,7.7,.530,.445,.275,.368,33,16,6,3,9,107.4,2508,24.3,71.4,2532,Iona,-5.50,-4.78,9.5,15.4,48.0,.568,.515,17,12,8,5
20,54.1,12.5,.548,.396,.220,.300,35,12,9,4,6,112.7,2385,28.4,68.2,2692,Iowa State,9.30,18.07,10.3,13.9,50.3,.575,.657,23,9,12,5
21,59.3,9.0,.527,.390,.313,.423,35,12,10,4,6,110.4,2585,29.5,70.2,2740,Iowa,9.84,14.27,8.5,15.1,50.6,.569,.657,23,10,14,4
22,57.6,7.7,.493,.384,.204,.306,34,9,4,2,5,101.3,2025,28.4,64.9,2236,Kansas State,9.18,15.39,11.6,15.2,50.9,.520,.735,25,14,13,7
23,48.3,10.9,.526,.349,.229,.325,36,10,6,0,8,106.5,2525,29.9,70.3,2725,Kansas,12.79,18.35,9.5,16.1,52.1,.555,.722,26,12,16,3
24,51.2,13.4,.530,.296,.310,.419,37,7,3,1,2,111.9,2394,36.4,67.3,2806,Kentucky,10.29,21.43,8.8,15.9,56.9,.571,.811,30,15,17,8
25,55.2,8.1,.569,.442,.205,.265,36,7,2,1,3,112.8,2209,25.1,65.4,2654,Liberty,-3.88,5.27,9.5,15.1,51.5,.596,.806,29,14,16,11
26,45.7,11.8,.512,.342,.279,.371,35,7,2,2,1,111.1,2558,36.2,70.6,2815,Louisiana State,9.16,16.50,12.2,15.1,53.0,.553,.800,28,16,15,9
27,53.6,7.9,.509,.437,.271,.349,34,14,8,4,6,107.4,2324,29.0,68.4,2536,Louisville,11.04,17.28,6.3,15.2,52.4,.553,.588,20,10,14,5
28,51.1,11.2,.535,.417,.266,.351,34,10,6,3,4,108.2,2363,29.1,70.7,2629,Marquette,6.96,14.78,6.9,16.9,53.0,.572,.706,24,12,16,6
29,52.1,13.4,.514,.370,.244,.328,34,11,7,3,5,107.3,2228,34.0,66.6,2429,Maryland,10.09,16.01,6.5,16.5,56.0,.550,.676,23,13,15,6
30,66.8,13.7,.552,.378,.253,.336,39,7,4,1,4,113.1,2534,33.2,68.1,3025,Michigan State,12.34,24.93,7.5,16.0,56.1,.585,.821,32,16,15,8
31,54.4,10.3,.516,.399,.193,.275,37,7,5,1,4,106.5,2158,23.9,65.4,2575,Michigan,10.55,21.82,9.3,12.3,50.7,.542,.811,30,15,17,7
32,59.0,10.1,.482,.296,.283,.416,36,14,11,3,9,103.7,2498,30.9,67.9,2543,Minnesota,11.27,12.52,7.1,14.6,51.2,.521,.611,22,9,14,2
33,51.4,14.0,.546,.391,.234,.326,34,11,8,3,5,111.9,2394,34.6,68.6,2628,Mississippi State,9.07,15.96,11.7,16.5,52.8,.574,.676,23,10,14,5
34,54.2,9.6,.531,.399,.242,.309,33,13,8,5,5,108.4,2347,30.1,69.2,2485,Mississippi,8.13,12.32,10.2,16.0,51.1,.568,.606,20,10,11,6
35,52.3,8.8,.564,.385,.216,.313,35,9,4,2,5,110.6,2397,26.6,68.6,2665,Montana,-5.05,1.50,9.5,15.4,51.8,.585,.743,26,16,12,9
36,59.8,11.5,.557,.364,.246,.335,33,5,2,1,3,115.1,2255,31.3,71.8,2727,Murray State,-3.11,8.96,10.5,14.7,52.1,.586,.848,28,16,15,10
37,53.9,11.2,.537,.428,.289,.408,34,5,3,0,3,113.2,2270,27.1,70.7,2723,Nevada,2.68,16.00,8.8,12.9,51.8,.570,.853,29,15,15,9
38,53.4,8.1,.538,.467,.231,.341,35,5,1,1,1,113.9,2259,36.7,68.3,2734,New Mexico State,-2.38,10.05,8.2,14.7,57.2,.562,.857,30,15,16,10
