,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
52,57.3,3.6,.503,.334,.311,.509,31,13,7,3,8,2217,2268,Texas Southern,-11.21,-9.57,18.1,52.3,.531,.581,18,11,11,4
53,52.2,6.2,.493,.268,.287,.398,33,7,3,0,4,2300,2618,Texas,9.27,18.91,15.0,54.5,.536,.788,26,13,14,5
54,54.2,8.6,.506,.433,.197,.286,32,6,2,1,3,2262,2556,Troy,-4.80,2.86,15.3,50.9,.532,.813,26,14,10,12
55,55.6,8.2,.523,.314,.240,.329,33,10,6,3,6,2155,2423,Tulsa,2.29,10.41,17.7,51.3,.556,.697,23,12,14,6
56,58.9,4.1,.501,.264,.269,.377,33,9,6,2,6,1979,2197,Utah State,-1.43,4.16,16.6,55.6,.539,.727,24,12,12,7
57,56.4,7.6,.521,.369,.263,.369,33,8,3,1,4,1991,2191,Utah,5.25,11.00,17.8,51.9,.555,.758,25,11,15,7
58,57.1,5.5,.494,.278,.228,.342,33,12,5,1,8,2111,2275,Vermont,-4.85,-1.32,18.1,55.2,.523,.636,21,11,11,7
59,59.4,4.9,.531,.320,.243,.335,32,11,4,1,9,2302,2403,Wagner,-6.48,-3.33,18.4,51.5,.563,.656,21,14,14,7
60,54.8,7.7,.506,.315,.344,.457,31,6,3,0,4,2102,2412,Wake Forest,6.96,16.96,18.0,56.5,.557,.806,25,13,17,7
61,56.9,1.4,.523,.337,.349,.477,32,6,0,0,4,2164,2385,Weber State,-2.01,4.56,16.1,51.5,.569,.813,26,14,13,9
62,55.0,6.5,.529,.372,.245,.371,33,9,2,0,7,2194,2430,Western Kentucky,1.40,7.71,18.5,52.1,.554,.727,24,12,16,5
63,53.0,5.3,.521,.327,.263,.359,32,8,4,1,5,1899,2250,Wisconsin,6.51,17.48,14.2,51.5,.558,.750,24,12,16,6
64,61.5,4.9,.502,.301,.304,.407,32,6,1,1,2,2115,2482,Xavier,4.61,16.08,15.2,53.8,.548,.813,26,15,14,10
