,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,1.6,2.5,JR,6.9,.553,5.8,10.6,.321,0.3,0.9,.536,6.1,11.4,.768,5.8,7.5,32,32,6-9,,34.2,30,2.8,2.7,David West,F,18.3,,1.2," 18.3 Pts, 9.8 Reb, 1.6 Ast",xavier,3.1,9.8,per_game,240
1,1.8,0.7,SO,4.6,.522,2.6,5.0,.415,2.6,6.3,.462,5.2,11.2,.688,3.1,4.5,32,32,6-5,,34.6,10,2.0,2.8,Romain Sato,G,16.1,2000,0.9," 16.1 Pts, 6.6 Reb, 1.8 Ast",xavier,1.8,6.6,per_game,205
2,4.2,0.1,JR,2.9,.479,2.4,5.1,.351,1.5,4.2,.421,3.9,9.3,.719,2.7,3.8,32,32,6-0,"Albany, NY",34.1,0,0.5,2.4,Lionel Chalmers,G,12.0,,1.5," 12.0 Pts, 3.4 Reb, 4.2 Ast",xavier,3.3,3.4,per_game,180
3,1.3,0.4,SR,4.0,.410,2.5,6.1,.259,0.5,1.8,.375,3.0,7.9,.716,2.1,3.0,32,32,6-8,"Chicago, IL",33.5,3,1.7,2.4,Kevin Frey,F,8.5,,0.8," 8.5 Pts, 5.7 Reb, 1.3 Ast",xavier,1.7,5.7,per_game,235
4,1.2,0.2,JR,1.9,.467,1.9,4.0,.284,0.7,2.5,.397,2.6,6.5,.699,2.2,3.1,30,30,6-5,"New Castle, PA",25.5,13,1.7,2.1,Dave Young,G,8.0,,0.8," 8.0 Pts, 3.6 Reb, 1.2 Ast",xavier,1.4,3.6,per_game,200
5,0.6,0.3,FR,0.6,.495,1.5,3.1,,0.0,0.0,.495,1.5,3.1,.559,0.6,1.1,32,0,6-6,"Cincinnati, OH",16.6,25,1.2,1.2,Keith Jackson,G,3.7,2001,0.5," 3.7 Pts, 1.8 Reb, 0.6 Ast",xavier,0.7,1.8,per_game,210
6,0.8,0.0,SR,0.8,.383,0.6,1.5,.423,0.3,0.8,.397,0.9,2.3,.737,0.4,0.6,32,2,6-3,"Washington, DC",10.3,24,0.3,0.7,Alvin Brown,G,2.6,,0.5," 2.6 Pts, 1.1 Reb, 0.8 Ast",xavier,0.5,1.1,per_game,180
7,0.9,0.0,FR,0.8,.500,0.4,0.7,.407,0.4,0.9,.449,0.7,1.6,.706,0.4,0.5,31,0,6-3,"Aurora, CO",8.0,2,0.1,0.9,Jaison Williams,G,2.2,,0.5," 2.2 Pts, 0.9 Reb, 0.9 Ast",xavier,0.7,0.9,per_game,181
8,0.2,0.3,FR,0.8,.522,0.5,1.0,.000,0.0,0.1,.462,0.5,1.1,.818,0.4,0.5,23,0,6-11,"Carson, CA",6.0,21,0.3,0.8,Anthony Coleman,F,1.4,,0.0," 1.4 Pts, 1.0 Reb, 0.2 Ast",xavier,0.3,1.0,per_game,205
9,0.0,0.1,SR,0.8,.500,0.3,0.6,,0.0,0.0,.500,0.3,0.6,.667,0.3,0.5,13,0,6-8,"Baltimore, MD",2.5,45,0.2,0.3,James Baronas,F,0.9,,0.1," 0.9 Pts, 0.9 Reb, 0.0 Ast",xavier,0.1,0.9,per_game,240
10,0.0,0.0,JR,0.6,.500,0.2,0.4,.000,0.0,0.4,.250,0.2,0.8,1.000,0.4,0.4,5,0,6-5,"Cincinnati, OH",1.4,53,0.4,0.4,Ryan Caldwell,F,0.8,,0.4," 0.8 Pts, 1.0 Reb, 0.0 Ast",xavier,0.2,1.0,per_game,245
11,0.3,0.0,JR,0.0,.333,0.3,1.0,,0.0,0.0,.333,0.3,1.0,1.000,0.7,0.7,3,0,5-9,"Youngstown, OH",2.0,22,0.0,0.0,Andre Johnson,G,1.3,,0.0," 1.3 Pts, 0.0 Reb, 0.3 Ast",xavier,0.7,0.0,per_game,158
12,0.0,0.0,SO,0.0,.000,0.0,0.3,,0.0,0.0,.000,0.0,0.3,,0.0,0.0,3,0,6-11,"Cincinnati, OH",1.3,54,0.0,0.3,Tom Compton,F,0.0,,0.0," 0.0 Pts, 0.0 Reb, 0.0 Ast",xavier,0.0,0.0,per_game,260
