,opp_fg,opp_fg_pct,opp_fga,opp_pts,opp_pts_per_g,opp_trb,team_name,type
0,175th,22nd,271st,79th,20th,164th,xavier,team_stats
1,141st,51st,223rd,168th,121st,81st,wyoming,team_stats
2,218th,256th,156th,148th,53rd,127th,wisconsin,team_stats
3,65th,55th,133rd,84th,50th,186th,winthrop,team_stats
4,160th,74th,219th,129th,41st,108th,western-kentucky,team_stats
5,318th,203rd,314th,319th,279th,287th,wake-forest,team_stats
6,222nd,82nd,269th,202nd,62nd,284th,valparaiso,team_stats
7,26th,216th,19th,19th,13th,6th,utah,team_stats
8,298th,118th,296th,300th,215th,221st,ucla,team_stats
9,300th,150th,293rd,289th,138th,263rd,tulsa,team_stats
10,310th,183rd,302nd,312th,227th,276th,texas,team_stats
11,308th,112th,308th,262nd,191st,308th,texas-tech,team_stats
12,189th,102nd,237th,202nd,215th,75th,stanford,team_stats
13,163rd,105th,207th,219th,124th,284th,st-johns-ny,team_stats
14,268th,31st,298th,307th,88th,310th,southern-illinois,team_stats
15,189th,109th,233rd,235th,143rd,262nd,southern-california,team_stats
16,273rd,12th,309th,311th,128th,316th,siena,team_stats
17,240th,137th,261st,281st,175th,217th,san-diego-state,team_stats
18,194th,14th,284th,172nd,12th,228th,pittsburgh,team_stats
19,202nd,58th,267th,275th,256th,292nd,pepperdine,team_stats
20,131st,56th,208th,98th,28th,182nd,pennsylvania,team_stats
21,316th,140th,316th,315th,213th,281st,oregon,team_stats
22,240th,37th,290th,277th,40th,295th,oklahoma,team_stats
23,167th,42nd,252nd,110th,34th,172nd,oklahoma-state,team_stats
24,141st,181st,132nd,136th,47th,32nd,ohio-state,team_stats
25,288th,18th,310th,247th,113th,299th,notre-dame,team_stats
26,107th,49th,181st,95th,17th,256th,north-carolina-wilmington,team_stats
27,248th,200th,236th,266th,97th,229th,north-carolina-state,team_stats
28,273rd,220th,247th,286th,234th,203rd,murray-state,team_stats
29,206th,179th,204th,250th,221st,214th,montana,team_stats
30,319th,224th,313th,318th,212th,303rd,missouri,team_stats
31,76th,156th,96th,73rd,36th,36th,mississippi,team_stats
32,299th,60th,306th,278th,75th,238th,mississippi-state,team_stats
33,57th,17th,173rd,59th,30th,14th,michigan-state,team_stats
34,179th,24th,273rd,183rd,89th,297th,miami-fl,team_stats
35,44th,41st,115th,35th,26th,94th,mcneese-state,team_stats
36,315th,21st,320th,316th,176th,317th,maryland,team_stats
37,91st,26th,199th,80th,9th,105th,marquette,team_stats
38,224th,59th,275th,206th,107th,214th,kentucky,team_stats
39,261st,82nd,282nd,268th,33rd,245th,kent-state,team_stats
40,321st,27th,321st,321st,255th,313th,kansas,team_stats
41,293rd,48th,307th,273rd,21st,298th,indiana,team_stats
42,271st,73rd,290th,291st,95th,226th,illinois,team_stats
43,282nd,211th,263rd,301st,164th,296th,illinois-chicago,team_stats
44,64th,93rd,110th,56th,6th,61st,holy-cross,team_stats
45,165th,46th,243rd,137th,24th,253rd,hawaii,team_stats
46,300th,166th,292nd,285th,180th,250th,hampton,team_stats
47,212th,7th,294th,214th,71st,175th,gonzaga,team_stats
48,290th,148th,288th,256th,178th,257th,georgia,team_stats
49,126th,40th,214th,124th,72nd,166th,florida,team_stats
50,238th,186th,231st,237th,197th,264th,florida-atlantic,team_stats
51,310th,100th,311th,306th,133rd,306th,duke,team_stats
52,68th,4th,242nd,103rd,58th,241st,davidson,team_stats
53,182nd,168th,180th,214th,120th,105th,creighton,team_stats
54,285th,5th,317th,287th,134th,294th,connecticut,team_stats
55,187th,2nd,301st,158th,8th,278th,cincinnati,team_stats
56,132nd,77th,188th,118th,119th,128th,charlotte,team_stats
57,204th,66th,265th,84th,25th,110th,central-connecticut-state,team_stats
58,13th,6th,105th,31st,11th,48th,california-santa-barbara,team_stats
59,133rd,87th,185th,170th,70th,244th,california,team_stats
60,222nd,120th,250th,248th,162nd,288th,boston-college,team_stats
61,320th,178th,319th,320th,284th,307th,arizona,team_stats
62,285th,45th,300th,278th,75th,293rd,alabama,team_stats
63,65th,8th,202nd,105th,31st,221st,boston-university,team_stats
64,295th,185th,285th,294th,270th,195th,alcorn-state,team_stats
