,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,5th,43rd,255th,81st,206th,8th,318th,4th,10th,14th,15th,212th,43rd,118th,47th,113th,134th,23rd,1st,13th,267th,205th,wisconsin,team_stats
1,305th,273rd,309th,275th,257th,83rd,289th,270th,24th,330th,29th,325th,323rd,339th,283rd,286th,30th,322nd,183rd,266th,140th,313th,xavier,team_stats
2,47th,111th,97th,123rd,132nd,27th,238th,118th,32nd,210th,19th,238th,118th,162nd,124th,82nd,145th,94th,54th,88th,199th,80th,wichita-state,team_stats
3,185th,183rd,94th,260th,297th,277th,247th,92nd,84th,121st,255th,211th,62nd,107th,77th,113th,40th,188th,161st,285th,155th,86th,west-virginia,team_stats
4,185th,331st,334th,290th,330th,141st,335th,38th,99th,54th,180th,284th,323rd,298th,306th,282nd,42nd,305th,207th,236th,63rd,329th,western-kentucky,team_stats
5,3rd,11th,50th,6th,34th,77th,70th,19th,5th,71st,28th,52nd,2nd,5th,12th,11th,272nd,2nd,2nd,110th,213th,16th,virginia,team_stats
6,168th,278th,246th,314th,315th,160th,321st,194th,37th,286th,111th,324th,109th,221st,96th,296th,61st,287th,106th,324th,144th,283rd,vanderbilt,team_stats
7,49th,329th,336th,167th,220th,139th,239th,72nd,78th,103rd,135th,199th,206th,170th,201st,279th,56th,158th,19th,175th,1st,330th,virginia-commonwealth,team_stats
8,48th,237th,218th,205th,227th,54th,289th,137th,64th,203rd,42nd,283rd,158th,104th,178th,267th,53rd,185th,31st,167th,140th,244th,vermont,team_stats
9,110th,183rd,117th,243rd,285th,164th,287th,98th,160th,90th,190th,237th,151st,233rd,141st,198th,226th,207th,241st,68th,185th,153rd,temple,team_stats
10,94th,219th,119th,187th,197th,53rd,267th,164th,201st,153rd,98th,241st,312th,97th,317th,297th,18th,245th,166th,131st,126th,224th,texas,team_stats
11,324th,123rd,280th,223rd,163rd,14th,280th,305th,54th,335th,8th,328th,151st,93rd,172nd,344th,91st,234th,32nd,122nd,6th,342nd,syracuse,team_stats
12,125th,68th,11th,103rd,115th,104th,139th,116th,95th,146th,103rd,138th,209th,283rd,175th,102nd,115th,107th,110th,224th,241st,27th,st-bonaventure,team_stats
13,81st,341st,262nd,174th,218th,209th,202nd,92nd,197th,71st,233rd,142nd,282nd,321st,248th,38th,31st,202nd,112th,19th,87th,156th,southern-mississippi,team_stats
14,159th,237th,107th,105th,130th,21st,252nd,92nd,14th,200th,12th,245th,118th,253rd,97th,225th,167th,83rd,7th,315th,247th,159th,south-florida,team_stats
15,225th,68th,266th,324th,328th,283rd,292nd,164th,95th,217th,253rd,285th,68th,145th,72nd,99th,43rd,279th,162nd,127th,136th,213th,south-dakota-state,team_stats
16,191st,157th,248th,197th,135th,49th,213th,299th,149th,311th,39th,279th,50th,162nd,50th,78th,108th,164th,82nd,72nd,168th,172nd,san-diego-state,team_stats
17,110th,25th,40th,179th,231st,78th,278th,79th,253rd,38th,157th,201st,19th,67th,31st,43rd,112th,99th,61st,72nd,257th,29th,saint-marys-ca,team_stats
18,13th,262nd,178th,57th,156th,59th,231st,6th,57th,8th,84th,107th,174th,300th,145th,61st,121st,40th,8th,47th,74th,109th,saint-louis,team_stats
19,242nd,209th,320th,271st,265th,233rd,229th,234th,184th,240th,228th,249th,166th,218th,164th,170th,121st,264th,137th,2nd,161st,285th,purdue,team_stats
20,194th,274th,337th,188th,200th,181st,198th,158th,11th,293rd,71st,253rd,334th,290th,325th,312th,29th,267th,55th,224th,1st,337th,ohio,team_stats
21,209th,114th,251st,216th,282nd,74th,315th,51st,51st,97th,78th,273rd,14th,250th,11th,248th,130th,118th,43rd,78th,296th,260th,notre-dame,team_stats
22,142nd,233rd,311th,294th,261st,73rd,298th,299th,92nd,328th,47th,325th,130th,219th,115th,99th,8th,282nd,18th,110th,9th,250th,ohio-state,team_stats
23,263rd,283rd,340th,340th,333rd,28th,342nd,341st,71st,343rd,23rd,344th,29th,110th,38th,321st,3rd,337th,172nd,290th,65th,340th,north-carolina,team_stats
24,325th,165th,106th,320th,292nd,246th,260th,299th,205th,292nd,235th,288th,216th,50th,254th,309th,7th,324th,277th,234th,23rd,221st,north-carolina-asheville,team_stats
25,220th,293rd,296th,332nd,314th,87th,332nd,306th,128th,320th,97th,338th,262nd,263rd,246th,305th,65th,335th,190th,290th,125th,316th,north-carolina-state,team_stats
26,147th,209th,285th,296th,293rd,100th,309th,211th,43rd,296th,69th,320th,309th,70th,321st,327th,17th,318th,174th,296th,67th,323rd,norfolk-state,team_stats
27,115th,49th,159th,126th,81st,17th,203rd,222nd,38th,303rd,7th,266th,95th,86th,103rd,168th,32nd,104th,14th,152nd,75th,159th,new-mexico,team_stats
28,306th,199th,162nd,334th,334th,185th,330th,222nd,85th,274th,165th,333rd,198th,83rd,223rd,254th,2nd,331st,215th,193rd,46th,207th,new-mexico-state,team_stats
29,9th,242nd,119th,47th,83rd,34th,176th,45th,122nd,47th,40th,118th,190th,220th,183rd,157th,167th,51st,49th,72nd,97th,125th,montana,team_stats
30,36th,57th,34th,124th,223rd,121st,257th,12th,9th,29th,104th,158th,95th,39th,131st,254th,65th,60th,26th,161st,19th,101st,murray-state,team_stats
31,170th,49th,315th,263rd,244th,51st,301st,236th,147th,263rd,61st,310th,206th,76th,230th,257th,82nd,260th,135th,193rd,23rd,304th,nevada-las-vegas,team_stats
32,222nd,319th,342nd,233rd,175th,90th,226th,298th,325th,217th,181st,234th,297th,22nd,322nd,264th,138th,291st,230th,167th,13th,333rd,mississippi-valley-state,team_stats
33,272nd,85th,133rd,323rd,308th,183rd,303rd,260th,291st,208th,241st,292nd,32nd,91st,43rd,245th,63rd,272nd,154th,60th,72nd,181st,missouri,team_stats
34,107th,43rd,172nd,161st,149th,138th,166th,179th,189th,185th,153rd,178th,49th,280th,35th,104th,253rd,112th,38th,96th,193rd,135th,michigan,team_stats
35,306th,335th,280th,278th,276th,50th,322nd,222nd,60th,295th,32nd,329th,155th,132nd,164th,337th,25th,262nd,136th,322nd,9th,332nd,marquette,team_stats
36,131st,178th,159th,155th,120th,13th,252nd,229th,15th,324th,2nd,304th,247th,238th,234th,198th,44th,190th,15th,266th,114th,177th,michigan-state,team_stats
37,97th,256th,127th,155th,169th,7th,299th,126th,44th,205th,10th,286th,306th,198th,295th,320th,84th,199th,72nd,191st,83rd,239th,memphis,team_stats
38,72nd,278th,70th,135th,184th,81st,242nd,51st,262nd,26th,160th,138th,242nd,153rd,247th,194th,97th,139th,95th,152nd,103rd,113th,loyola-md,team_stats
39,341st,287th,210th,344th,344th,251st,343rd,205th,106th,254th,258th,342nd,24th,193rd,21st,338th,1st,341st,337th,341st,112th,318th,long-island-university,team_stats
40,277th,325th,343rd,310th,302nd,10th,340th,241st,22nd,327th,6th,340th,295th,48th,312th,343rd,6th,327th,32nd,340th,3rd,343rd,louisville,team_stats
41,214th,123rd,145th,238th,239th,100th,269th,198th,144th,224th,123rd,269th,29th,190th,29th,225th,71st,170th,89th,131st,59th,181st,long-beach-state,team_stats
42,206th,293rd,294th,284th,322nd,62nd,338th,83rd,180th,75th,126th,309th,168th,73rd,200th,260th,71st,256th,124th,72nd,78th,290th,lamar,team_stats
43,206th,299th,264th,332nd,325th,1st,344th,244th,68th,303rd,1st,343rd,144th,192nd,139th,341st,5th,323rd,25th,212th,117th,335th,kentucky,team_stats
44,272nd,293rd,312th,248th,251st,86th,282nd,194th,101st,247th,80th,289th,232nd,248th,203rd,213th,61st,254th,118th,102nd,67th,290th,lehigh,team_stats
45,246th,308th,316th,271st,223rd,2nd,339th,306th,159th,313th,3rd,339th,308th,304th,275th,315th,15th,316th,44th,328th,30th,327th,kansas,team_stats
46,271st,178th,233rd,317th,326th,255th,300th,141st,28th,244th,205th,302nd,39th,211th,31st,74th,107th,253rd,181st,116th,249th,157th,iowa-state,team_stats
47,77th,165th,53rd,97th,123rd,58th,192nd,90th,94th,108th,55th,159th,290th,158th,282nd,260th,8th,133rd,90th,296th,43rd,124th,kansas-state,team_stats
48,297th,152nd,172nd,331st,309th,269th,269th,310th,232nd,288th,264th,293rd,79th,202nd,75th,241st,172nd,313th,301st,60th,40th,211th,iona,team_stats
49,88th,327th,79th,303rd,288th,102nd,304th,244th,205th,240th,142nd,308th,247th,232nd,235th,276th,10th,312th,159th,301st,92nd,162nd,indiana,team_stats
50,11th,103rd,4th,7th,43rd,33rd,123rd,13th,155th,7th,59th,30th,1st,32nd,4th,15th,201st,1st,4th,27th,267th,3rd,harvard,team_stats
51,100th,73rd,24th,43rd,83rd,43rd,163rd,41st,1st,184th,13th,176th,148th,108th,161st,190th,125th,39th,16th,205th,193rd,62nd,georgetown,team_stats
52,77th,38th,48th,179th,189th,125th,214th,158th,42nd,254th,75th,246th,15th,78th,24th,115th,44th,109th,76th,263rd,185th,55th,gonzaga,team_stats
53,275th,183rd,304th,326th,312th,99th,325th,275th,174th,277th,131st,330th,146th,184th,145th,276th,51st,315th,107th,96th,117th,303rd,florida,team_stats
54,296th,103rd,238th,296th,241st,184th,236th,319th,285th,285th,219th,275th,290th,225th,273rd,248th,16th,325th,189th,167th,20th,253rd,detroit-mercy,team_stats
