,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,54.2,6.7,.483,.394,.253,.358,36,13,6,3,8,2171,2403,Akron,-2.01,3.37,17.5,49.2,.522,.639,23,10,11,8
1,54.5,11.4,.517,.314,.222,.350,32,10,2,1,7,2025,2202,Alabama State,-11.20,-6.13,17.5,50.3,.539,.688,22,16,10,8
2,56.1,7.3,.537,.381,.206,.318,32,8,1,1,6,1891,2065,American,-5.49,-0.05,18.5,51.9,.556,.750,24,13,13,11
3,65.9,6.3,.564,.453,.285,.387,35,10,7,3,4,2117,2428,Arizona State,7.82,16.70,16.5,51.0,.597,.714,25,11,12,6
4,55.7,8.7,.530,.290,.276,.375,35,14,9,3,9,2421,2529,Arizona,8.80,11.88,16.5,51.7,.567,.600,21,9,14,2
5,49.2,11.2,.495,.326,.278,.416,32,9,3,2,6,2156,2239,Binghamton,-5.62,-3.27,16.9,48.5,.530,.719,23,13,12,9
6,56.8,10.4,.497,.325,.271,.367,34,12,7,4,5,2397,2528,Boston College,7.23,10.36,16.3,51.9,.538,.647,22,9,15,5
7,59.1,9.9,.547,.332,.260,.356,33,8,4,2,3,2150,2544,Brigham Young,4.15,15.12,14.6,52.7,.579,.758,25,12,14,9
8,59.1,9.4,.518,.454,.311,.430,32,6,3,2,3,1854,2168,Butler,2.07,10.07,17.1,52.5,.559,.813,26,15,15,11
9,52.4,7.9,.514,.337,.235,.338,31,14,5,2,11,2178,2282,Cal State Northridge,-0.14,2.65,20.7,52.4,.544,.548,17,11,10,5
10,57.1,4.9,.540,.266,.259,.343,33,11,7,2,6,2271,2472,University of California,7.21,13.30,15.7,51.6,.575,.667,22,11,16,6
11,54.4,6.8,.510,.410,.307,.467,35,17,9,3,10,2687,2657,Chattanooga,-3.13,-6.25,18.4,51.7,.543,.514,18,11,13,5
12,52.4,14.2,.528,.347,.217,.315,32,9,7,3,5,2177,2507,Clemson,6.59,15.56,16.8,51.3,.553,.719,23,9,13,7
13,58.0,9.0,.476,.283,.250,.357,37,11,6,2,8,2203,2455,Cleveland State,2.12,6.97,16.0,50.4,.514,.703,26,12,13,8
14,56.9,17.1,.513,.230,.315,.464,36,5,3,2,1,2313,2819,Connecticut,8.57,22.17,15.1,55.8,.549,.861,31,15,14,9
15,58.7,10.0,.542,.338,.229,.314,31,10,3,0,8,2007,2281,Cornell,-4.01,2.71,16.6,52.2,.572,.677,21,11,14,5
