,year,winner,team_one,team_two,score_one,score_two
120,2009,Pittsburgh,Pittsburgh,East Tennessee State,72,62
121,2009,Pittsburgh,Pittsburgh,Oklahoma State,84,76
122,2009,Pittsburgh,Pittsburgh,Xavier,60,55
123,2009,Villanova,Pittsburgh,Villanova,76,78
124,2009,North Carolina,Villanova,North Carolina,69,83
125,2009,North Carolina,North Carolina,Michigan State,89,72
126,2009,Oklahoma State,Oklahoma State,Tennessee,77,75
127,2009,Xavier,Xavier,Portland State,77,59
128,2006,Washington,Illinois,Washington,64,67
129,2006,Washington,Washington,Utah State,75,61
130,2006,Tennessee,Tennessee,Winthrop,63,61
131,2006,Wichita State,Tennessee,Wichita State,73,80
132,2006,George Mason,Wichita State,George Mason,55,63
133,2006,Wichita State,Wichita State,Seton Hall,86,66
134,2006,North Carolina,North Carolina,Murray State,69,65
135,2006,George Mason,North Carolina,George Mason,60,65
136,2006,George Mason,Michigan State,George Mason,65,75
137,2004,Wisconsin,Wisconsin,Richmond,76,64
138,2004,Kentucky,Kentucky,Florida A&M,96,76
139,2004,UAB,Kentucky,UAB,75,76
140,2004,Kansas,UAB,Kansas,74,100
141,2004,Georgia Tech,Kansas,Georgia Tech,71,79
142,2004,Florida A&M,Florida A&M,Lehigh,72,57
143,2004,UAB,Washington,UAB,10,102
144,2004,Kansas,Kansas,Illinois-Chicago,78,53
145,2004,Kansas,Kansas,Pacific,78,63
146,2004,Pacific,Providence,Pacific,58,66
147,2007,Maryland,Maryland,Davidson,82,70
148,2007,Butler,Maryland,Butler,59,62
149,2007,Butler,Butler,Old Dominion,57,46
150,2007,Wisconsin,Wisconsin,Texas A&M-Corpus Christi,76,63
151,2007,UNLV,Wisconsin,UNLV,68,74
152,2007,Oregon,Oregon,UNLV,76,72
153,2003,Stanford,Stanford,San Diego,77,69
154,2003,Connecticut,Stanford,Connecticut,74,85
155,2003,Connecticut,Connecticut,BYU,58,53
156,2003,Florida,Florida,Sam Houston State,85,55
157,2003,Michigan State,Florida,Michigan State,46,68
158,2003,Michigan State,Michigan State,Maryland,60,58
159,2003,Michigan State,Michigan State,Colorado,79,64
160,2003,Xavier,Xavier,Troy State,71,59
161,2005,North Carolina,North Carolina,Oakland,96,68
162,2005,North Carolina,North Carolina,Iowa State,92,65
163,2005,North Carolina,North Carolina,Villanova,67,66
164,2005,North Carolina,North Carolina,Wisconsin,88,82
165,2005,North Carolina,North Carolina,Michigan State,87,71
166,2005,North Carolina,North Carolina,Illinois,75,70
167,2005,Oakland,Oakland,Alabama A&M,79,69
168,2005,Iowa State,Minnesota,Iowa State,53,64
169,2005,Florida,Florida,Ohio,67,62
170,2008,Washington State,Washington State,Notre Dame,61,41
171,2008,Notre Dame,Notre Dame,George Mason,68,50
172,2008,Tennessee,Tennessee,American,72,57
173,2008,Tennessee,Tennessee,Butler,76,71
174,2008,Louisville,Tennessee,Louisville,60,79
175,2008,Butler,Butler,South Alabama,81,61
176,2008,Louisville,Louisville,Boise State,79,61
177,2008,Louisville,Louisville,Oklahoma,78,48
178,2010,Kentucky,Kentucky,East Tennessee State,100,71
179,2010,Kentucky,Kentucky,Wake Forest,90,60
180,2010,Kentucky,Kentucky,Cornell,62,45
