,year,winner,team_one,team_two,score_one,score_two
532,2017,South Carolina,South Carolina,Marquette,93,73
533,2017,Baylor,Baylor,New Mexico State,91,73
534,2004,Texas,Texas,North Carolina,78,75
535,2004,North Carolina,North Carolina,Air Force,63,52
536,2004,Stanford,Stanford,UTSA,71,45
537,2004,Alabama,Stanford,Alabama,67,70
538,2004,Alabama,Alabama,Syracuse,80,71
539,2004,Connecticut,Alabama,Connecticut,71,87
540,2004,Alabama,Alabama,Southern Illinois,65,64
541,2007,Pittsburgh,Pittsburgh,VCU,84,79
542,2007,VCU,Duke,VCU,77,79
543,2007,North Carolina,North Carolina,Eastern Kentucky,86,65
544,2007,North Carolina,North Carolina,Michigan State,81,67
545,2007,North Carolina,North Carolina,USC,74,64
546,2007,Georgetown,North Carolina,Georgetown,84,96
547,2007,Ohio State,Georgetown,Ohio State,60,67
548,2007,Michigan State,Marquette,Michigan State,49,61
549,2007,Texas,Texas,New Mexico State,79,67
550,2003,Wisconsin,Tulsa,Wisconsin,60,61
551,2003,Wisconsin,Wisconsin,Weber State,81,74
552,2003,Pittsburgh,Pittsburgh,Wagner,87,61
553,2003,Pittsburgh,Pittsburgh,Indiana,74,52
554,2003,Marquette,Pittsburgh,Marquette,74,77
555,2003,Indiana,Indiana,Alabama,67,62
556,2003,Marquette,Marquette,Holy Cross,72,68
557,2003,Marquette,Marquette,Missouri,10,92
558,2011,Texas,Texas,Oakland,85,81
559,2011,Arizona,Texas,Arizona,69,70
560,2011,Arizona,Arizona,Memphis,77,75
561,2011,San Diego State,San Diego State,Northern Colorado,68,50
562,2005,Washington,Washington,Montana,88,77
563,2005,Washington,Washington,Pacific,97,79
564,2005,Louisville,Washington,Louisville,79,93
565,2005,Louisville,Louisville,West Virginia,93,85
566,2005,Illinois,Louisville,Illinois,57,72
567,2005,Pacific,Pacific,Pittsburgh,79,71
568,2005,Louisville,Louisville,Louisiana Lafayette,68,62
569,2005,Louisville,Louisville,Georgia Tech,76,54
570,2005,Georgia Tech,Georgia Tech,George Washington,80,68
571,2008,Texas,Texas,Stanford,82,62
572,2008,Miami (FL),Miami (FL),Saint Mary's,78,64
573,2008,Stanford,Stanford,Cornell,77,53
574,2008,Stanford,Stanford,Marquette,82,81
575,2008,Marquette,Marquette,Kentucky,74,66
576,2008,UCLA,UCLA,Mississippi Valley State,70,29
577,2008,UCLA,UCLA,Texas A&M,51,49
578,2008,UCLA,UCLA,Western Kentucky,88,78
579,2008,UCLA,UCLA,Xavier,76,57
580,2008,Texas A&M,BYU,Texas A&M,62,67
581,2010,Kansas,Kansas,Lehigh,90,74
582,2010,Northern Iowa,Kansas,Northern Iowa,67,69
583,2010,Michigan State,Northern Iowa,Michigan State,52,59
584,2010,Michigan State,Michigan State,Tennessee,70,69
585,2010,Butler,Michigan State,Butler,50,52
586,2010,Northern Iowa,UNLV,Northern Iowa,66,69
587,2010,Maryland,Maryland,Houston,89,77
588,2018,Butler,Arkansas,Butler,62,79
589,2018,Texas Tech,Texas Tech,Stephen F. Austin,70,60
590,2018,Texas Tech,Texas Tech,Florida,69,66
591,2018,Florida,Florida,St. Bonaventure,77,62
592,2018,St. Bonaventure,St. Bonaventure,UCLA,65,58
593,2012,Michigan State,Michigan State,Saint Louis,65,61
594,2012,Louisville,Michigan State,Louisville,44,57
595,2012,Louisville,Louisville,Florida,72,68
596,2012,Saint Louis,Memphis,Saint Louis,54,61
597,2012,Louisville,Louisville,Davidson,69,62
598,2012,Louisville,Louisville,New Mexico,59,56
599,2012,New Mexico,New Mexico,Long Beach State,75,68
600,2012,Norfolk State,Missouri,Norfolk State,84,86
601,2012,Florida,Norfolk State,Florida,50,84
602,2009,Syracuse,Syracuse,Arizona State,78,67
603,2009,Arizona State,Arizona State,Temple,66,57
604,2009,Louisville,Louisville,Morehead State,74,54
605,2009,Louisville,Louisville,Siena,79,72
606,2009,Louisville,Louisville,Arizona,103,64
607,2009,Michigan State,Louisville,Michigan State,52,64
608,2009,Michigan State,Michigan State,Connecticut,82,73
609,2009,Morehead State,Morehead State,Alabama State,58,43
610,2009,Siena,Ohio State,Siena,74,2
611,2013,Wichita State,Gonzaga,Wichita State,70,76
612,2013,Wichita State,Wichita State,La Salle,72,58
613,2013,Wichita State,Wichita State,Ohio State,70,66
614,2013,Wichita State,Pittsburgh,Wichita State,55,73
615,2013,La Salle,Kansas State,La Salle,61,63
616,2013,La Salle,La Salle,Mississippi,76,74
617,2013,La Salle,La Salle,Boise State,80,71
618,2013,Mississippi,Wisconsin,Mississippi,46,57
619,2014,Tennessee,Mercer,Tennessee,63,83
620,2014,Tennessee,Massachusetts,Tennessee,67,86
621,2014,Tennessee,Tennessee,Iowa,78,65
622,2014,Arizona,Arizona,Weber State,68,59
623,2014,Arizona,Arizona,Gonzaga,84,61
624,2014,Arizona,Arizona,San Diego State,70,64
625,2014,Wisconsin,Arizona,Wisconsin,63,64
626,2015,Wisconsin,Wisconsin,Oregon,72,65
627,2015,Wisconsin,Wisconsin,North Carolina,79,72
628,2015,Wisconsin,Wisconsin,Arizona,85,78
629,2015,Oregon,Oregon,Oklahoma State,79,73
630,2015,North Carolina,North Carolina,Harvard,67,65
631,2015,North Carolina,North Carolina,Arkansas,87,78
632,2016,Duke,Duke,Yale,71,64
633,2016,Yale,Baylor,Yale,75,79
634,2016,Oklahoma,Oklahoma,Cal State Bakersfield,82,68
635,2016,Oklahoma,Oklahoma,VCU,85,81
636,2016,Oklahoma,Oklahoma,Texas A&M,77,63
637,2016,VCU,Oregon State,VCU,67,75
638,2016,Texas A&M,Texas A&M,Green Bay,92,65
639,2006,Texas,Texas,NC State,75,54
640,2006,Texas,Texas,West Virginia,74,71
641,2006,NC State,California,NC State,52,58
642,2006,Northwestern State,Iowa,Northwestern State,63,64
643,2006,West Virginia,Northwestern State,West Virginia,54,67
644,2006,West Virginia,West Virginia,Southern Illinois,64,46
645,2006,Memphis,Memphis,Oral Roberts,94,78
646,2017,Baylor,Baylor,USC,82,78
647,2017,USC,SMU,USC,65,66
648,2017,USC,USC,Providence,75,71
649,2017,Gonzaga,Gonzaga,South Dakota State,66,46
650,2017,Gonzaga,Gonzaga,Northwestern,79,73
651,2017,Gonzaga,Gonzaga,West Virginia,61,58
652,2017,Gonzaga,Gonzaga,Xavier,83,59
653,2017,Northwestern,Northwestern,Vanderbilt,68,66
654,2004,Maryland,Maryland,UTEP,86,83
655,2004,Syracuse,Maryland,Syracuse,70,72
656,2004,Syracuse,Syracuse,BYU,80,75
657,2004,Connecticut,Connecticut,Vermont,70,53
658,2004,Connecticut,Connecticut,DePaul,72,55
659,2004,Connecticut,Connecticut,Vanderbilt,73,53
660,2004,DePaul,DePaul,Dayton,69,2
661,2007,USC,Texas,USC,68,87
662,2007,USC,USC,Arkansas,77,60
663,2007,Georgetown,Georgetown,Belmont,80,55
664,2007,Georgetown,Georgetown,Boston College,62,55
665,2007,Georgetown,Georgetown,Vanderbilt,66,65
666,2007,Boston College,Boston College,Texas Tech,84,75
667,2007,Washington State,Washington State,Oral Roberts,70,54
668,2007,Vanderbilt,Washington State,Vanderbilt,78,2
669,2007,Vanderbilt,Vanderbilt,George Washington,77,44
670,2007,Ohio State,Ohio State,Central Connecticut State,78,57
671,2003,Missouri,Missouri,Southern Illinois,72,71
672,2011,San Diego State,San Diego State,Temple,64,2
673,2011,Connecticut,San Diego State,Connecticut,67,74
674,2011,Temple,Temple,Penn State,66,64
675,2011,Connecticut,Connecticut,Bucknell,81,52
676,2011,Connecticut,Connecticut,Cincinnati,69,58
677,2011,Cincinnati,Cincinnati,Missouri,78,63
678,2011,Kansas,Kansas,Boston University,72,53
679,2011,Kansas,Kansas,Illinois,73,59
680,2011,Kansas,Kansas,Richmond,77,57
681,2005,Wake Forest,Wake Forest,Chattanooga,70,54
682,2005,West Virginia,Wake Forest,West Virginia,11,2
683,2005,West Virginia,West Virginia,Texas Tech,65,60
684,2005,West Virginia,West Virginia,Creighton,63,61
685,2005,Gonzaga,Gonzaga,Winthrop,74,64
686,2005,Texas Tech,Gonzaga,Texas Tech,69,71
687,2005,Texas Tech,Texas Tech,UCLA,78,66
688,2005,Illinois,Illinois,Fairleigh Dickinson,67,55
689,2008,San Diego,Connecticut,San Diego,69,70
690,2008,Western Kentucky,San Diego,Western Kentucky,63,72
691,2008,Western Kentucky,Drake,Western Kentucky,99,101
692,2008,Duke,Duke,Belmont,71,70
693,2008,West Virginia,Duke,West Virginia,67,73
694,2008,Xavier,West Virginia,Xavier,75,79
695,2008,West Virginia,West Virginia,Arizona,75,65
696,2010,Michigan State,Maryland,Michigan State,83,85
697,2010,Michigan State,Michigan State,New Mexico State,70,67
698,2010,Ohio State,Ohio State,UC Santa Barbara,68,51
699,2010,Ohio State,Ohio State,Georgia Tech,75,66
700,2010,Tennessee,Ohio State,Tennessee,73,76
701,2010,Georgia Tech,Oklahoma State,Georgia Tech,59,64
702,2010,Ohio,Georgetown,Ohio,83,97
703,2010,Tennessee,Ohio,Tennessee,68,83
704,2010,Tennessee,Tennessee,San Diego State,62,59
705,2018,Kansas,Kansas,Penn,76,60
706,2018,Kansas,Kansas,Seton Hall,83,79
707,2018,Kansas,Kansas,Clemson,80,76
708,2018,Kansas,Kansas,Duke,85,81
709,2018,Seton Hall,Seton Hall,NC State,94,83
710,2018,Auburn,Auburn,College of Charleston,62,58
711,2012,Florida,Florida,Marquette,68,58
712,2012,Florida,Florida,Virginia,71,45
713,2012,Marquette,Marquette,BYU,88,68
714,2012,Marquette,Marquette,Murray State,62,53
715,2012,BYU,BYU,Iona,78,72
716,2012,Murray State,Murray State,Colorado State,58,41
717,2012,Syracuse,Syracuse,UNC Asheville,72,65
718,2012,Syracuse,Syracuse,Kansas State,75,59
719,2012,Syracuse,Syracuse,Wisconsin,64,63
720,2012,Ohio State,Syracuse,Ohio State,70,77
721,2012,Kansas,Ohio State,Kansas,62,64
722,2009,Cleveland State,Wake Forest,Cleveland State,69,84
723,2009,Arizona,Cleveland State,Arizona,57,71
724,2009,Arizona,Utah,Arizona,71,84
725,2009,Michigan State,Michigan State,Robert Morris,77,62
726,2009,Michigan State,Michigan State,USC,74,69
727,2009,Michigan State,Michigan State,Kansas,67,62
728,2009,USC,Boston College,USC,55,72
729,2009,Kansas,Kansas,North Dakota State,84,74
730,2009,Kansas,Kansas,Dayton,60,43
731,2013,Ohio State,Ohio State,Iona,95,70
732,2013,Ohio State,Ohio State,Iowa State,78,75
733,2013,Ohio State,Ohio State,Arizona,73,70
734,2013,Iowa State,Notre Dame,Iowa State,58,76
735,2013,Harvard,New Mexico,Harvard,62,68
736,2013,Arizona,Harvard,Arizona,51,74
737,2013,Arizona,Arizona,Belmont,81,64
738,2014,Gonzaga,Gonzaga,Oklahoma State,85,77
739,2014,San Diego State,San Diego State,New Mexico State,73,69
740,2014,San Diego State,San Diego State,North Dakota State,80,73
741,2014,North Dakota State,Oklahoma,North Dakota State,75,80
742,2014,Wisconsin,Wisconsin,American,75,35
743,2014,Wisconsin,Wisconsin,Oregon,85,77
744,2014,Wisconsin,Wisconsin,Baylor,69,52
745,2015,Arkansas,Arkansas,Wofford,56,53
746,2015,Arizona,Arizona,Texas Southern,93,72
747,2015,Arizona,Arizona,Ohio State,73,58
748,2015,Arizona,Arizona,Xavier,68,60
749,2015,Ohio State,VCU,Ohio State,72,75
750,2015,Georgia State,Baylor,Georgia State,56,57
751,2016,Texas A&M,Texas A&M,Northern Iowa,88,2
752,2016,Northern Iowa,Texas,Northern Iowa,72,75
753,2016,North Carolina,North Carolina,Florida Gulf Coast,83,67
754,2016,North Carolina,North Carolina,Providence,85,66
755,2016,North Carolina,North Carolina,Indiana,10,86
756,2016,North Carolina,North Carolina,Notre Dame,88,74
757,2016,North Carolina,North Carolina,Syracuse,83,66
758,2006,Memphis,Memphis,Bucknell,72,56
759,2006,Memphis,Memphis,Bradley,80,64
760,2006,UCLA,Memphis,UCLA,45,50
761,2006,Bucknell,Arkansas,Bucknell,55,59
762,2006,Bradley,Kansas,Bradley,73,77
763,2006,Bradley,Bradley,Pittsburgh,72,66
764,2006,Pittsburgh,Pittsburgh,Kent State,79,64
765,2006,UCLA,UCLA,Belmont,78,44
766,2006,UCLA,UCLA,Alabama,62,59
767,2017,West Virginia,West Virginia,Bucknell,86,80
768,2017,West Virginia,West Virginia,Notre Dame,83,71
769,2017,Notre Dame,Notre Dame,Princeton,60,58
770,2017,Arizona,Arizona,North Dakota,100,82
771,2017,Arizona,Arizona,Saint Mary's,69,60
772,2017,Xavier,Arizona,Xavier,71,73
773,2017,Saint Mary's,Saint Mary's,VCU,85,77
774,2017,Florida State,Florida State,Florida Gulf Coast,86,80
775,2004,NC State,NC State,Louisiana Lafayette,61,52
776,2004,Vanderbilt,NC State,Vanderbilt,73,75
777,2004,Vanderbilt,Vanderbilt,Western Michigan,71,58
778,2007,Ohio State,Ohio State,Xavier,78,71
779,2007,Ohio State,Ohio State,Tennessee,85,84
780,2007,Ohio State,Ohio State,Memphis,92,76
781,2007,Xavier,BYU,Xavier,77,79
782,2007,Virginia,Virginia,Albany,84,57
783,2007,Tennessee,Virginia,Tennessee,74,77
784,2007,Tennessee,Tennessee,Long Beach State,121,86
785,2007,Memphis,Memphis,North Texas,73,58
786,2007,Memphis,Memphis,Nevada,78,62
787,2007,Memphis,Memphis,Texas A&M,65,64
788,2007,Nevada,Nevada,Creighton,77,71
789,2011,VCU,Kansas,VCU,61,71
790,2011,Butler,VCU,Butler,62,70
791,2011,Illinois,UNLV,Illinois,62,73
792,2011,Morehead State,Louisville,Morehead State,61,62
793,2011,Richmond,Morehead State,Richmond,48,65
794,2011,Richmond,Vanderbilt,Richmond,66,69
795,2011,Notre Dame,Notre Dame,Akron,69,56
796,2005,Illinois,Illinois,Nevada,71,59
797,2005,Illinois,Illinois,Milwaukee,77,63
798,2005,Illinois,Illinois,Arizona,90,89
799,2005,Nevada,Texas,Nevada,57,61
800,2005,Boston College,Boston College,Penn,85,65
801,2005,Milwaukee,Boston College,Milwaukee,75,83
802,2005,Milwaukee,Alabama,Milwaukee,73,83
803,2008,Xavier,Xavier,Georgia,73,61
804,2008,Xavier,Xavier,Purdue,85,78
805,2008,Purdue,Purdue,Baylor,90,79
806,2010,Syracuse,Syracuse,Vermont,79,56
807,2010,Syracuse,Syracuse,Gonzaga,87,65
808,2010,Butler,Syracuse,Butler,59,63
809,2010,Butler,Butler,Kansas State,63,56
810,2010,Gonzaga,Gonzaga,Florida State,67,60
811,2010,Murray State,Vanderbilt,Murray State,65,66
812,2010,Butler,Murray State,Butler,52,54
813,2010,Butler,Butler,UTEP,77,59
814,2018,Clemson,Auburn,Clemson,53,84
815,2018,Clemson,Clemson,New Mexico State,79,68
816,2018,Duke,Duke,Iona,89,67
817,2018,Duke,Duke,Rhode Island,87,62
818,2018,Duke,Duke,Syracuse,69,65
819,2018,Rhode Island,Rhode Island,Oklahoma,83,78
820,2018,Michigan State,Michigan State,Bucknell,82,78
821,2018,Syracuse,Michigan State,Syracuse,53,55
822,2018,Syracuse,TCU,Syracuse,52,57
823,2012,Kansas State,Kansas State,Southern Miss,70,64
824,2012,Wisconsin,Wisconsin,Montana,73,49
825,2012,Wisconsin,Wisconsin,Vanderbilt,60,57
826,2012,Vanderbilt,Vanderbilt,Harvard,79,70
827,2012,Ohio State,Ohio State,Loyola MD,78,59
828,2012,Ohio State,Ohio State,Gonzaga,73,66
829,2012,Ohio State,Ohio State,Cincinnati,81,66
830,2009,Dayton,West Virginia,Dayton,60,68
831,2009,Connecticut,Connecticut,Chattanooga,103,47
832,2009,Connecticut,Connecticut,Texas A&M,92,66
833,2009,Connecticut,Connecticut,Purdue,72,60
834,2009,Connecticut,Connecticut,Missouri,82,75
835,2009,Texas A&M,BYU,Texas A&M,66,79
836,2013,Kansas,Kansas,Western Kentucky,64,57
837,2013,Kansas,Kansas,North Carolina,70,58
838,2013,Michigan,Kansas,Michigan,85,87
839,2013,Michigan,Michigan,Florida,79,59
840,2013,Michigan,Michigan,Syracuse,61,56
841,2013,North Carolina,North Carolina,Villanova,78,71
842,2013,Michigan,Michigan,South Dakota State,71,56
843,2014,Oregon,Oregon,BYU,87,68
844,2014,Creighton,Creighton,Louisiana Lafayette,76,66
845,2014,Baylor,Creighton,Baylor,55,85
846,2014,Baylor,Baylor,Nebraska,74,60
847,2014,Florida,Florida,Albany,67,55
848,2014,Florida,Florida,Pittsburgh,61,45
849,2014,Florida,Florida,UCLA,79,68
850,2014,Florida,Florida,Dayton,62,52
851,2014,Connecticut,Florida,Connecticut,53,63
852,2014,Albany,Albany,Mount St. Mary's,71,64
853,2015,Xavier,Georgia State,Xavier,67,75
854,2015,Xavier,Xavier,Mississippi,76,57
855,2015,Mississippi,Mississippi,BYU,94,90
856,2015,Duke,Duke,Robert Morris,85,56
857,2015,Duke,Duke,San Diego State,68,49
858,2015,Duke,Duke,Utah,63,57
859,2015,Duke,Duke,Gonzaga,66,52
860,2015,Duke,Duke,Michigan State,81,61
861,2015,Robert Morris,Robert Morris,North Florida,81,77
862,2016,Florida Gulf Coast,Florida Gulf Coast,Fairleigh Dickinson,96,65
863,2016,Providence,USC,Providence,69,70
864,2016,Kentucky,Kentucky,Stony Brook,85,57
865,2016,Indiana,Kentucky,Indiana,67,73
866,2016,Indiana,Indiana,Chattanooga,99,72
867,2016,Xavier,Xavier,Weber State,71,53
868,2016,Wisconsin,Xavier,Wisconsin,63,66
869,2016,Notre Dame,Wisconsin,Notre Dame,56,61
870,2016,Wisconsin,Wisconsin,Pittsburgh,47,43
871,2016,Stephen F. Austin,West Virginia,Stephen F. Austin,56,70
872,2006,UCLA,UCLA,Gonzaga,73,71
873,2006,Alabama,Marquette,Alabama,85,90
874,2006,Gonzaga,Gonzaga,Xavier,79,75
875,2006,Gonzaga,Gonzaga,Indiana,90,80
876,2006,Indiana,Indiana,San Diego State,87,83
877,2017,Xavier,Florida State,Xavier,66,91
878,2017,Xavier,Maryland,Xavier,65,76
879,2017,Kansas,Kansas,UC Davis,100,62
880,2017,Kansas,Kansas,Michigan State,90,70
881,2017,Kansas,Kansas,Purdue,98,66
882,2017,Oregon,Kansas,Oregon,60,74
883,2017,North Carolina,Oregon,North Carolina,76,77
884,2007,Texas A&M,Texas A&M,Penn,68,52
885,2007,Texas A&M,Texas A&M,Louisville,72,69
886,2007,Louisville,Louisville,Stanford,78,58
887,2011,Florida State,Notre Dame,Florida State,57,71
888,2011,VCU,Florida State,VCU,71,72
889,2011,Florida State,Texas A&M,Florida State,50,57
890,2011,Purdue,Purdue,Saint Peter's,65,43
891,2011,VCU,Purdue,VCU,76,94
892,2011,VCU,Georgetown,VCU,56,74
893,2011,VCU,VCU,USC,59,46
894,2011,Pittsburgh,Pittsburgh,UNC Asheville,74,51
895,2005,Oklahoma State,Oklahoma State,Southeastern Louisiana,63,50
896,2005,Oklahoma State,Oklahoma State,Southern Illinois,85,77
897,2005,Arizona,Oklahoma State,Arizona,78,79
898,2005,Southern Illinois,Southern Illinois,Saint Mary's,65,56
899,2005,Arizona,Arizona,Utah State,66,53
900,2005,Arizona,Arizona,UAB,85,63
901,2005,UAB,LSU,UAB,68,82
902,2010,Kansas State,Kansas State,North Texas,82,62
903,2010,Kansas State,Kansas State,BYU,84,72
904,2010,Kansas State,Kansas State,Xavier,96,2
905,2010,BYU,BYU,Florida,92,2
906,2010,Pittsburgh,Pittsburgh,Oakland,89,66
907,2010,Xavier,Pittsburgh,Xavier,68,71
908,2018,Syracuse,Syracuse,Arizona State,60,56
909,2018,UMBC,Virginia,UMBC,54,74
910,2018,Kansas State,UMBC,Kansas State,43,50
911,2018,Kansas State,Kansas State,Kentucky,61,58
912,2018,Loyola Chicago,Kansas State,Loyola Chicago,62,78
913,2018,Michigan,Loyola Chicago,Michigan,57,69
914,2018,Kansas State,Creighton,Kansas State,59,69
915,2018,Buffalo,Arizona,Buffalo,68,89
916,2018,Kentucky,Buffalo,Kentucky,75,95
917,2018,Kentucky,Kentucky,Davidson,78,73
918,2012,Gonzaga,Gonzaga,West Virginia,77,54
919,2012,Florida State,Florida State,St. Bonaventure,66,63
920,2012,Cincinnati,Florida State,Cincinnati,56,62
921,2012,Cincinnati,Cincinnati,Texas,65,59
922,2012,North Carolina,North Carolina,Vermont,77,58
923,2012,North Carolina,North Carolina,Creighton,87,73
924,2012,North Carolina,North Carolina,Ohio,73,65
925,2012,Kansas,North Carolina,Kansas,67,80
926,2012,Vermont,Vermont,Lamar,71,59
927,2009,Washington,Washington,Mississippi State,71,58
928,2009,Purdue,Washington,Purdue,74,76
929,2009,Purdue,Purdue,Northern Iowa,61,56
930,2009,Memphis,Memphis,Cal State Northridge,81,70
931,2009,Memphis,Memphis,Maryland,89,70
932,2009,Missouri,Memphis,Missouri,91,102
933,2009,Maryland,California,Maryland,71,84
934,2013,Michigan,Michigan,VCU,78,53
935,2013,VCU,VCU,Akron,88,42
936,2013,Florida Gulf Coast,Georgetown,Florida Gulf Coast,68,78
937,2013,Florida Gulf Coast,Florida Gulf Coast,San Diego State,81,71
938,2013,Florida,Florida Gulf Coast,Florida,50,62
939,2013,San Diego State,San Diego State,Oklahoma,70,55
940,2013,Florida,Florida,Northwestern State,79,47
941,2014,Pittsburgh,Colorado,Pittsburgh,48,77
942,2014,UCLA,UCLA,Tulsa,76,59
943,2014,UCLA,UCLA,Stephen F. Austin,77,60
944,2014,Stephen F. Austin,VCU,Stephen F. Austin,75,77
945,2014,Kansas,Kansas,Eastern Kentucky,80,69
946,2014,Stanford,Kansas,Stanford,57,60
947,2014,Dayton,Stanford,Dayton,72,82
948,2014,Stanford,New Mexico,Stanford,53,58
949,2014,Syracuse,Syracuse,Western Michigan,77,53
950,2015,San Diego State,San Diego State,St. John's,76,64
951,2015,Georgetown,Georgetown,Eastern Washington,84,74
952,2015,Utah,Georgetown,Utah,64,75
953,2015,Utah,Utah,Stephen F. Austin,57,50
954,2015,Gonzaga,Gonzaga,North Dakota State,86,76
955,2015,Gonzaga,Gonzaga,Iowa,87,68
956,2015,Gonzaga,Gonzaga,UCLA,74,62
957,2016,Notre Dame,Stephen F. Austin,Notre Dame,75,76
958,2016,Notre Dame,Notre Dame,Michigan,70,63
959,2016,Michigan,Michigan,Tulsa,67,62
960,2016,Virginia,Virginia,Hampton,81,45
961,2016,Virginia,Virginia,Butler,77,69
962,2016,Virginia,Virginia,Iowa State,84,71
963,2016,Syracuse,Virginia,Syracuse,62,68
964,2016,Butler,Texas Tech,Butler,61,71
965,2016,Iowa State,Iowa State,Iona,94,81
966,2017,UC Davis,UC Davis,North Carolina Central,67,63
967,2017,Michigan State,Miami (FL),Michigan State,58,78
968,2017,Purdue,Purdue,Vermont,80,70
969,2017,Purdue,Purdue,Iowa State,80,76
970,2017,Iowa State,Iowa State,Nevada,84,73
971,2017,Louisville,Louisville,Jacksonville State,78,63
972,2011,Butler,Pittsburgh,Butler,70,71
973,2011,Butler,Butler,Wisconsin,61,54
974,2011,Butler,Butler,Florida,74,71
975,2011,UNC Asheville,UNC Asheville,Arkansas Little Rock,81,77
976,2011,Butler,Butler,Old Dominion,60,58
977,2011,Wisconsin,Wisconsin,Belmont,72,58
978,2011,Wisconsin,Wisconsin,Kansas State,70,65
979,2011,Kansas State,Kansas State,Utah State,73,68
980,2011,Florida,Florida,UC Santa Barbara,79,51
981,2011,Florida,Florida,UCLA,73,65
982,2010,Xavier,Xavier,Minnesota,65,54
983,2018,Cincinnati,Cincinnati,Georgia State,68,53
984,2018,Nevada,Cincinnati,Nevada,73,75
985,2018,Loyola Chicago,Nevada,Loyola Chicago,68,69
986,2018,Nevada,Nevada,Texas,87,83
987,2018,Tennessee,Tennessee,Wright State,73,47
988,2018,Loyola Chicago,Tennessee,Loyola Chicago,62,63
989,2018,Loyola Chicago,Miami (FL),Loyola Chicago,62,64
990,2012,Creighton,Creighton,Alabama,58,57
991,2012,Ohio,Michigan,Ohio,60,65
992,2012,Ohio,Ohio,South Florida,62,56
993,2012,South Florida,Temple,South Florida,44,58
994,2012,South Florida,South Florida,California,65,54
995,2012,Kansas,Kansas,Detroit,65,50
996,2012,Kansas,Kansas,Purdue,63,60
997,2012,Kansas,Kansas,NC State,60,57
998,2009,Missouri,Missouri,Cornell,78,59
999,2009,Missouri,Missouri,Marquette,83,79
1000,2009,Marquette,Marquette,Utah State,58,57
1001,2013,Florida,Florida,Minnesota,78,64
1002,2013,Minnesota,UCLA,Minnesota,63,83
1003,2013,Indiana,Indiana,James Madison,83,62
1004,2013,Indiana,Indiana,Temple,58,52
1005,2013,Syracuse,Indiana,Syracuse,50,61
1006,2013,Syracuse,Syracuse,Marquette,55,39
1007,2013,James Madison,James Madison,LIU Brooklyn,68,55
1008,2013,Temple,NC State,Temple,72,76
1009,2013,Syracuse,Syracuse,Montana,81,34
1010,2014,Dayton,Syracuse,Dayton,53,55
1011,2014,Dayton,Ohio State,Dayton,59,60
1012,2014,Virginia,Virginia,Coastal Carolina,70,59
1013,2014,Virginia,Virginia,Memphis,78,60
1014,2014,Michigan State,Virginia,Michigan State,59,61
1015,2014,Connecticut,Michigan State,Connecticut,54,60
1016,2014,Memphis,Memphis,George Washington,71,66
1017,2014,Michigan State,Michigan State,Delaware,93,78
1018,2015,Iowa,Iowa,Davidson,83,52
1019,2015,UAB,Iowa State,UAB,59,60
1020,2015,UCLA,UAB,UCLA,75,92
1021,2015,UCLA,SMU,UCLA,59,60
1022,2015,Villanova,Villanova,Lafayette,93,52
1023,2015,NC State,Villanova,NC State,68,71
1024,2015,Louisville,NC State,Louisville,65,75
1025,2015,Michigan State,Louisville,Michigan State,70,76
1026,2016,Iowa State,Iowa State,Arkansas Little Rock,78,61
1027,2016,Arkansas Little Rock,Purdue,Arkansas Little Rock,85,2
1028,2016,Middle Tennessee,Michigan State,Middle Tennessee,81,90
1029,2016,Syracuse,Middle Tennessee,Syracuse,50,75
1030,2016,Syracuse,Syracuse,Gonzaga,63,60
1031,2016,Syracuse,Dayton,Syracuse,51,70
1032,2016,Utah,Utah,Fresno State,80,69
1033,2016,Gonzaga,Utah,Gonzaga,59,82
1034,2016,Gonzaga,Seton Hall,Gonzaga,52,68
1035,2017,Michigan,Louisville,Michigan,69,73
1036,2017,Oregon,Michigan,Oregon,68,69
1037,2017,Michigan,Michigan,Oklahoma State,92,91
1038,2017,Oregon,Oregon,Iona,93,77
1039,2017,Oregon,Oregon,Rhode Island,75,72
1040,2017,Rhode Island,Creighton,Rhode Island,72,84
1041,2017,North Carolina,North Carolina,Texas Southern,103,64
1042,2011,Florida,Florida,BYU,83,74
1043,2011,UCLA,UCLA,Michigan State,78,76
1044,2011,BYU,BYU,Wofford,74,66
1045,2011,BYU,BYU,Gonzaga,89,67
1046,2011,Gonzaga,St. John's,Gonzaga,71,86
1047,2018,Xavier,Xavier,Texas Southern,102,83
1048,2018,Florida State,Xavier,Florida State,70,75
1049,2018,Florida State,Florida State,Gonzaga,75,60
1050,2018,Michigan,Florida State,Michigan,54,58
1051,2018,Texas Southern,Texas Southern,North Carolina Central,64,46
1052,2018,Florida State,Missouri,Florida State,54,67
1053,2018,Gonzaga,Gonzaga,UNC Greensboro,68,64
1054,2018,Gonzaga,Gonzaga,Ohio State,90,84
1055,2018,Ohio State,Ohio State,South Dakota State,81,73
1056,2018,North Carolina,North Carolina,Lipscomb,84,66
1057,2012,Purdue,Saint Mary's,Purdue,69,72
1058,2012,Georgetown,Georgetown,Belmont,74,59
1059,2012,NC State,Georgetown,NC State,63,66
1060,2012,NC State,San Diego State,NC State,65,79
1061,2013,Syracuse,Syracuse,California,66,60
1062,2013,California,UNLV,California,61,64
1063,2013,Miami (FL),Miami (FL),Pacific,78,59
1064,2013,Miami (FL),Miami (FL),Illinois,63,59
