,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
126,50.4,7.3,.498,.416,.179,.252,31,21,13,6,11,96.3,2171,25.6,68.4,2050,Illinois State,1.97,-2.70,8.4,18.6,48.9,.525,.323,10,5,9,1
127,50.7,7.3,.491,.309,.241,.332,31,10,7,3,6,106.6,2024,35.8,67.5,2239,Illinois,9.84,15.27,7.2,15.0,55.3,.528,.677,21,13,15,6
128,52.6,6.9,.471,.358,.236,.321,31,22,14,9,13,94.0,2292,27.6,69.2,2050,Incarnate Word,-6.85,-18.57,10.3,19.1,47.1,.511,.290,9,6,7,2
129,51.6,10.0,.517,.343,.236,.329,30,12,7,1,8,102.9,2004,23.5,66.2,2052,Indiana State,1.81,3.22,8.3,15.5,49.2,.549,.600,18,11,12,4
130,51.0,12.6,.493,.296,.266,.392,32,12,11,4,8,103.6,2135,32.4,68.7,2286,Indiana,10.35,15.07,8.1,15.7,54.0,.528,.625,20,9,15,2
131,54.8,10.4,.510,.424,.260,.337,29,17,11,6,9,100.7,2055,25.1,68.6,2030,Iona,-5.37,-6.23,9.9,18.3,48.5,.552,.414,12,9,5,4
132,53.0,11.3,.498,.377,.213,.285,32,20,13,6,11,101.9,2335,29.2,70.4,2304,Iowa State,10.07,9.10,10.5,16.4,48.9,.533,.375,12,5,11,0
133,63.9,10.6,.516,.376,.258,.344,31,11,9,2,7,110.2,2241,32.0,70.6,2410,Iowa,10.62,16.07,8.7,14.7,51.5,.554,.645,20,11,14,4
134,50.2,8.3,.497,.446,.168,.251,33,19,10,5,13,98.6,2320,28.5,69.5,2261,Purdue-Fort Wayne,-3.20,-7.87,10.7,17.3,51.3,.519,.424,14,6,10,3
135,53.7,6.4,.478,.387,.204,.316,32,25,15,9,14,97.3,2564,29.3,71.9,2256,IUPUI,-3.39,-14.89,8.9,16.6,47.7,.504,.219,7,3,4,3
136,46.0,10.2,.463,.292,.235,.350,32,17,7,3,14,94.6,2157,26.2,71.1,2153,Jackson State,-8.61,-10.91,11.4,15.9,47.9,.498,.469,15,11,9,6
137,52.0,7.3,.506,.359,.201,.291,32,19,10,6,11,102.1,2218,31.4,70.0,2294,Jacksonville State,-6.36,-8.29,9.0,17.3,52.8,.532,.406,13,8,8,4
138,45.8,7.9,.486,.355,.208,.311,32,18,9,7,9,97.7,2133,29.2,67.6,2139,Jacksonville,-5.63,-6.50,7.4,17.5,52.5,.514,.438,14,7,6,7
139,49.1,8.1,.484,.403,.238,.365,30,21,16,9,11,99.7,2296,26.2,72.1,2157,James Madison,-2.78,-9.23,8.6,15.1,49.7,.514,.300,9,2,6,3
