,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,48th,350th,31st,5th,29th,20th,86th,25th,74th,32nd,25th,25th,50th,77th,61st,178th,201st,3rd,7th,70th,84th,50th,baylor,team_stats
1,185th,162nd,314th,291st,291st,70th,340th,205th,170th,213th,98th,344th,28th,3rd,59th,275th,326th,217th,139th,138th,58th,320th,belmont,team_stats
2,284th,41st,173rd,314th,317th,301st,279th,180th,319th,101st,336th,211th,187th,104th,208th,169th,20th,296th,238th,192nd,39th,177th,austin-peay,team_stats
3,12th,49th,193rd,62nd,129th,28th,238th,32nd,58th,57th,41st,132nd,47th,71st,60th,73rd,290th,24th,18th,162nd,162nd,145th,ball-state,team_stats
4,61st,162nd,139th,156th,152nd,71st,238th,145th,148th,158th,79th,209th,252nd,233rd,248th,224th,9th,172nd,205th,228th,171st,175th,auburn,team_stats
5,215th,206th,198th,217th,141st,230th,101st,313th,301st,283rd,235th,190th,8th,28th,19th,61st,344th,155th,253rd,131st,311th,143rd,army,team_stats
6,266th,10th,153rd,196th,234th,284th,168th,114th,265th,73rd,308th,93rd,330th,273rd,323rd,162nd,6th,262nd,249th,150th,99th,158th,arkansas-state,team_stats
7,34th,140th,316th,176th,287th,240th,272nd,13th,1st,68th,172nd,175th,329th,146th,337th,308th,2nd,208th,186th,36th,26th,326th,arkansas,team_stats
8,289th,264th,336th,330th,282nd,285th,232nd,342nd,346th,289th,324th,297th,125th,194th,117th,186th,36th,328th,326th,210th,15th,319th,central-michigan,team_stats
9,158th,25th,22nd,31st,83rd,241st,38th,32nd,66th,50th,197th,16th,315th,42nd,340th,129th,258th,78th,147th,352nd,153rd,33rd,arkansas-pine-bluff,team_stats
10,313th,340th,306th,302nd,238th,291st,168th,317th,332nd,254th,314th,226th,209th,122nd,231st,313th,300th,308th,331st,302nd,211th,323rd,central-connecticut-state,team_stats
11,237th,31st,88th,99th,125th,136th,138th,98th,101st,117th,122nd,98th,128th,338th,74th,244th,223rd,72nd,137th,214th,144th,138th,central-florida,team_stats
12,281st,181st,258th,233rd,275th,86th,323rd,120th,247th,86th,169th,266th,224th,175th,228th,196th,109th,231st,273rd,291st,102nd,252nd,eastern-washington,team_stats
13,242nd,195th,340th,224th,137th,217th,106th,319th,320th,279th,250th,189th,347th,333rd,341st,68th,85th,326th,246th,192nd,215th,306th,elon,team_stats
14,105th,170th,117th,65th,71st,57th,109th,147th,291st,95th,117th,66th,116th,213th,102nd,68th,105th,58th,24th,158th,227th,82nd,fairfield,team_stats
15,88th,41st,322nd,319th,339th,293rd,329th,54th,304th,22nd,340th,203rd,250th,334th,214th,58th,79th,300th,291st,84th,268th,263rd,evansville,team_stats
16,176th,120th,250th,182nd,202nd,58th,286th,135th,295th,77th,145th,205th,252nd,301st,236th,231st,197th,198th,173rd,143rd,42nd,257th,eastern-illinois,team_stats
17,294th,49th,226th,67th,5th,98th,6th,334th,263rd,333rd,71st,96th,66th,72nd,74th,278th,62nd,80th,35th,210th,11th,256th,eastern-michigan,team_stats
18,74th,195th,126th,164th,191st,229th,150th,114th,36th,193rd,162nd,169th,181st,147th,186th,129th,8th,147th,26th,206th,13th,118th,east-tennessee-state,team_stats
19,325th,264th,351st,325th,336th,307th,312th,147th,102nd,182nd,291st,311th,320th,299th,305th,338th,124th,335th,314th,311th,3rd,351st,eastern-kentucky,team_stats
20,164th,253rd,164th,312th,345th,258th,344th,30th,84th,39th,282nd,282nd,209th,351st,154th,149th,149th,281st,206th,344th,289th,161st,drexel,team_stats
21,346th,253rd,222nd,316th,263rd,297th,197th,313th,323rd,257th,314th,242nd,229th,263rd,212th,261st,180th,319th,334th,169th,278th,248th,detroit-mercy,team_stats
22,247th,170th,179th,144th,86th,208th,49th,287th,224th,279th,177th,124th,288th,27th,314th,119th,96th,212th,257th,267th,185th,154th,east-carolina,team_stats
23,109th,323rd,74th,191st,314th,61st,352nd,4th,31st,9th,105th,244th,144th,31st,183rd,256th,90th,119th,140th,298th,67th,136th,duke,team_stats
24,166th,100th,61st,108th,152nd,209th,133rd,54th,39th,117th,161st,96th,42nd,11th,67th,224th,234th,49th,95th,131st,182nd,107th,duquesne,team_stats
25,51st,14th,47th,3rd,9th,23rd,43rd,42nd,8th,131st,7th,36th,293rd,94th,302nd,101st,74th,19th,12th,36th,265th,38th,houston,team_stats
26,166th,100th,252nd,221st,122nd,60th,191st,334th,330th,295th,135th,272nd,197th,323rd,159th,36th,193rd,264th,131st,293rd,177th,169th,drake,team_stats
27,280th,307th,255th,166th,95th,95th,114th,295th,217th,299th,86th,218th,297th,327th,273rd,303rd,121st,246th,227th,347th,26th,286th,depaul,team_stats
28,230th,56th,18th,83rd,45th,64th,69th,254th,326th,154th,135th,73rd,118th,6th,184th,296th,285th,84th,219th,173rd,274th,87th,iona,team_stats
29,156th,41st,279th,215th,173rd,341st,53rd,274th,125th,303rd,270th,157th,323rd,349th,298th,55th,81st,297th,320th,150th,236th,204th,denver,team_stats
30,323rd,300th,117th,240th,220th,232nd,193rd,256th,118th,283rd,187th,265th,94th,277th,68th,283rd,85th,217th,260th,143rd,255th,183rd,iowa,team_stats
31,243rd,129th,179th,308th,285th,245th,263rd,279th,316th,208th,292nd,269th,94th,103rd,111th,313th,248th,288th,276th,316th,63rd,253rd,iowa-state,team_stats
32,135th,49th,79th,91st,139th,294th,63rd,53rd,112th,59th,268th,25th,94th,137th,103rd,25th,213th,54th,108th,17th,260th,37th,indiana-state,team_stats
33,50th,206th,183rd,166th,166th,94th,215th,163rd,34th,257th,51st,264th,125th,204th,114th,178th,287th,142nd,102nd,258th,325th,191st,jacksonville,team_stats
34,286th,170th,299th,277th,211th,314th,116th,316th,273rd,307th,284th,228th,123rd,199th,111th,30th,303rd,279th,203rd,221st,129th,195th,ipfw,team_stats
35,158th,245th,111th,139th,133rd,116th,159th,177th,127th,204th,102nd,177th,168th,59th,198th,78th,54th,144th,103rd,177th,240th,81st,indiana,team_stats
36,343rd,329th,316th,345th,325th,306th,288th,341st,331st,310th,327th,336th,187th,254th,168th,330th,155th,346th,342nd,306th,207th,333rd,iupui,team_stats
37,286th,11th,199th,227th,296th,282nd,268th,37th,180th,29th,311th,124th,183rd,119th,201st,219th,176th,192nd,231st,279th,120th,211th,massachusetts,team_stats
38,88th,120th,114th,33rd,65th,1st,265th,59th,4th,190th,1st,257th,272nd,78th,283rd,335th,54th,58th,53rd,328th,75th,239th,memphis,team_stats
