,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,47th,285th,90th,27th,45th,135th,56th,79th,100th,100th,112th,52nd,349th,258th,348th,55th,1st,170th,53rd,333rd,2nd,68th,west-virginia,team_stats
1,9th,160th,2nd,9th,24th,55th,54th,24th,68th,42nd,51st,23rd,23rd,170th,23rd,4th,166th,3rd,17th,207th,287th,2nd,yale,team_stats
2,24th,1st,207th,283rd,325th,26th,348th,58th,215th,50th,77th,317th,26th,38th,38th,154th,25th,179th,56th,204th,248th,189th,weber-state,team_stats
3,249th,247th,152nd,209th,167th,174th,171st,271st,23rd,329th,69th,268th,168th,166th,169th,146th,7th,216th,133rd,228th,59th,141st,xavier,team_stats
4,42nd,224th,158th,135th,200th,45th,274th,54th,315th,25th,123rd,166th,105th,230th,93rd,86th,61st,86th,17th,147th,154th,115th,wisconsin,team_stats
5,44th,22nd,71st,99th,82nd,80th,141st,199th,189th,192nd,90th,156th,85th,198th,81st,31st,201st,73rd,2nd,198th,141st,35th,virginia,team_stats
6,3rd,153rd,285th,6th,8th,9th,45th,61st,66th,107th,7th,46th,301st,234th,291st,18th,41st,21st,1st,34th,8th,161st,wichita-state,team_stats
7,251st,335th,312th,272nd,319th,172nd,302nd,58th,135th,68th,209th,248th,216th,68th,245th,171st,166th,249th,73rd,218th,11th,279th,virginia-commonwealth,team_stats
8,326th,33rd,316th,304th,247th,27th,316th,334th,144th,339th,35th,343rd,114th,19th,167th,330th,17th,299th,15th,317th,5th,329th,villanova,team_stats
9,14th,118th,219th,112th,215th,10th,320th,24th,4th,100th,5th,283rd,175th,62nd,200th,301st,147th,77th,65th,116th,340th,273rd,vanderbilt,team_stats
10,98th,288th,146th,326th,314th,29th,344th,309th,309th,260th,88th,340th,16th,310th,7th,255th,47th,285th,112th,326th,252nd,191st,utah,team_stats
11,82nd,160th,214th,67th,42nd,46th,115th,225th,256th,184th,76th,123rd,171st,348th,97th,186th,147th,79th,114th,44th,96th,211th,tulsa,team_stats
12,32nd,160th,183rd,94th,123rd,70th,207th,90th,172nd,80th,91st,151st,216th,175th,212th,226th,103rd,104th,86th,7th,185th,209th,texas,team_stats
13,27th,146th,25th,108th,65th,118th,99th,241st,242nd,212th,136th,138th,71st,220th,62nd,225th,105th,90th,122nd,236th,209th,70th,texas-tech,team_stats
14,309th,297th,312th,257th,161st,65th,237th,332nd,108th,343rd,42nd,318th,123rd,13th,183rd,301st,30th,264th,47th,194th,12th,321st,texas-am,team_stats
15,126th,253rd,316th,164th,234th,82nd,275th,43rd,26th,112th,67th,231st,57th,342nd,34th,217th,341st,84th,70th,5th,299th,295th,temple,team_stats
16,349th,192nd,293rd,281st,240th,156th,254th,284th,17th,342nd,60th,321st,37th,28th,56th,350th,152nd,229th,30th,317th,35th,341st,syracuse,team_stats
17,32nd,79th,68th,87th,113th,47th,207th,101st,78th,148th,45th,187th,14th,275th,7th,48th,222nd,33rd,20th,119th,160th,48th,stony-brook,team_stats
18,106th,79th,79th,75th,193rd,202nd,179th,11th,45th,27th,191st,75th,123rd,24th,178th,151st,77th,49th,11th,99th,1st,86th,stephen-f-austin,team_stats
19,137th,150th,308th,205th,208th,117th,235th,194th,42nd,270th,75th,261st,240th,26th,288th,325th,99th,227th,94th,105th,48th,325th,southern,team_stats
20,275th,315th,241st,319th,324th,96th,332nd,249th,69th,303rd,84th,337th,97th,206th,93rd,333rd,125th,294th,249th,183rd,167th,310th,southern-california,team_stats
21,59th,259th,119th,124th,171st,76th,234th,85th,105th,100th,85th,189th,284th,294th,256th,73rd,51st,154th,82nd,159th,177th,92nd,south-dakota-state,team_stats
