,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,high_school,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,1.2,0.2,SR,1.9,.527,3.7,6.9,.323,1.2,3.8,.455,4.9,10.7,.785,2.7,3.5,35,1,6-2,Moberly Area CC,"Jamestown, NY",22.5,5,1.6,2.9,Jaysean Paige,G,13.7,,1.5," 13.7 Pts, 3.5 Reb, 1.2 Ast",west-virginia,1.5,3.5,per_game,200
1,1.4,0.2,JR,5.9,.467,4.4,9.4,,0.0,0.0,.467,4.4,9.4,.693,4.5,6.4,35,34,6-9,Montverde Academy,"Cincinnati, OH",25.4,41,3.5,2.5,Devin Williams,F,13.3,2013,0.7," 13.3 Pts, 9.5 Reb, 1.4 Ast",west-virginia,2.3,9.5,per_game,255
2,3.3,0.3,SO,2.1,.459,1.9,4.2,.306,1.3,4.1,.383,3.2,8.3,.744,1.9,2.6,35,35,6-2,Proviso East HS,"Maywood, IL",27.7,2,0.7,2.4,Jevon Carter,G,9.5,,1.7," 9.5 Pts, 2.9 Reb, 3.3 Ast",west-virginia,1.7,2.9,per_game,185
3,2.8,0.3,JR,1.8,.422,1.6,3.9,.409,1.0,2.5,.417,2.7,6.4,.705,2.9,4.2,35,0,6-3,Independence CC,"Brooklyn, NY",22.3,12,0.7,2.5,Tarik Phillip,G,9.3,,1.5," 9.3 Pts, 2.5 Reb, 2.8 Ast",west-virginia,2.0,2.5,per_game,185
4,1.3,0.1,SO,1.4,.569,2.1,3.6,.303,1.3,4.1,.427,3.3,7.8,.602,1.6,2.6,32,30,6-3,Notre Dame Prep,"Baltimore, MD",24.9,4,0.8,2.7,Daxter Miles,G,9.4,,1.4," 9.4 Pts, 2.1 Reb, 1.3 Ast",west-virginia,1.3,2.1,per_game,185
5,1.4,0.3,SR,3.9,.618,3.0,4.9,.244,0.4,1.5,.533,3.4,6.4,.667,1.7,2.6,31,20,6-7,Coral Gables,"Miami, FL",23.1,1,3.6,2.7,Jonathan Holton,F,8.9,,1.0," 8.9 Pts, 7.6 Reb, 1.4 Ast",west-virginia,1.2,7.6,per_game,220
6,1.5,0.6,FR,1.6,.485,1.5,3.0,.222,0.1,0.5,.446,1.6,3.6,.624,1.6,2.5,34,34,6-8,Shaker Heights HS,"Cleveland, OH",18.1,23,1.1,1.8,Esa Ahmad,F,4.9,2015,0.8," 4.9 Pts, 2.7 Reb, 1.5 Ast",west-virginia,1.4,2.7,per_game,225
7,2.8,0.1,JR,3.1,.557,3.1,5.5,.433,3.0,7.0,.487,6.1,12.5,.617,2.7,4.4,35,35,6-2,Bowie HS,"Arlington, TX",34.9,30,0.3,1.8,Jeremy Senglin,G,17.9,,0.7," 17.9 Pts, 3.5 Reb, 2.8 Ast",weber-state,2.2,3.5,per_game,185
8,3.8,0.1,SO,2.3,.475,3.5,7.4,.357,1.8,5.1,.427,5.4,12.6,.806,3.5,4.3,30,30,6-1,Hotchkiss School,"Greenfield, MA",32.7,11,0.5,1.8,Makai Mason,G,16.0,,0.8," 16.0 Pts, 2.8 Reb, 3.8 Ast",yale,3.0,2.8,per_game,185
9,0.9,0.2,JR,1.6,.551,1.1,2.0,.407,0.6,1.5,.488,1.7,3.5,.567,0.5,0.9,35,16,6-9,Morgantown HS,"Morgantown, WV",18.1,11,1.5,2.9,Nathan Adrian,F,4.5,,0.8," 4.5 Pts, 3.1 Reb, 0.9 Ast",west-virginia,0.8,3.1,per_game,235
