,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
43,335th,214th,298th,321st,305th,88th,318th,318th,204th,320th,104th,335th,29th,341st,20th,268th,77th,302nd,246th,136th,96th,299th,iowa-state,team_stats
44,252nd,335th,149th,342nd,346th,302nd,324th,127th,83rd,170th,297th,317th,169th,102nd,179th,260th,116th,327th,299th,230th,276th,222nd,indiana,team_stats
45,11th,39th,13th,6th,18th,44th,54th,23rd,129th,32nd,67th,12th,13th,70th,19th,31st,290th,2nd,11th,14th,239th,10th,harvard,team_stats
46,78th,303rd,342nd,264th,281st,64th,313th,130th,161st,140th,96th,300th,345th,133rd,347th,301st,18th,318th,225th,111th,30th,339th,hampton,team_stats
47,90th,46th,168th,310th,312th,8th,347th,223rd,115th,251st,22nd,346th,175th,47th,208th,320th,6th,299th,53rd,235th,130th,264th,gonzaga,team_stats
48,291st,18th,156th,84th,23rd,30th,81st,327th,95th,346th,16th,236th,297th,300th,281st,329th,128th,201st,67th,17th,12th,275th,georgia-state,team_stats
49,44th,276th,179th,140th,131st,28th,248th,176th,36th,268th,19th,280th,188th,214th,166th,221st,39th,151st,119th,192nd,274th,211th,georgia,team_stats
50,82nd,251st,67th,60th,37th,27th,134th,237th,277th,176th,74th,148th,320th,278th,307th,207th,57th,177th,138th,172nd,102nd,113th,georgetown,team_stats
51,348th,308th,302nd,343rd,310th,219th,288th,348th,343rd,325th,282nd,320th,288th,311th,268th,231st,55th,347th,333rd,132nd,121st,292nd,eastern-washington,team_stats
52,308th,251st,274th,350th,351st,126th,351st,140th,42nd,213th,126th,351st,47th,169th,47th,333rd,7th,337th,111th,253rd,37th,313th,duke,team_stats
53,267th,271st,316th,264th,272nd,131st,279th,173rd,81st,216th,112th,288th,78th,85th,90th,180th,18th,208th,41st,111th,33rd,291st,dayton,team_stats
54,186th,286th,239th,288th,318th,308th,265th,68th,16th,162nd,244th,247th,116th,6th,171st,204th,203rd,235th,259th,23rd,268th,238th,davidson,team_stats
55,126th,44th,141st,120th,42nd,62nd,107th,304th,77th,334th,33rd,238th,144th,218th,133rd,109th,83rd,148th,66th,155th,202nd,122nd,coastal-carolina,team_stats
56,111th,104th,10th,65th,87th,14th,237th,109th,63rd,167th,15th,219th,1st,14th,10th,278th,183rd,15th,6th,105th,182nd,72nd,cincinnati,team_stats
57,73rd,84th,185th,158th,201st,7th,311th,80th,166th,88th,26th,277th,188th,183rd,178th,281st,216th,140th,60th,149th,242nd,250th,california-irvine,team_stats
58,101st,344th,207th,161st,197th,155th,207th,90th,26th,181st,99th,205th,100th,114th,106th,34th,63rd,102nd,43rd,84th,121st,103rd,butler,team_stats
59,155th,178th,266th,264th,209th,191st,203rd,284th,109th,318th,133rd,279th,141st,42nd,166th,241st,26th,258th,229th,204th,77th,270th,buffalo,team_stats
60,340th,276th,294th,338th,335th,229th,326th,226th,96th,270th,204th,329th,329th,220th,330th,249th,9th,344th,319th,305th,64th,292nd,brigham-young,team_stats
61,66th,146th,159th,133rd,151st,179th,151st,122nd,30th,209th,106th,180th,73rd,213th,55th,27th,216th,78th,29th,23rd,128th,78th,boise-state,team_stats
62,268th,232nd,156th,317th,304th,317th,228th,292nd,189th,298th,293rd,282nd,60th,287th,42nd,139th,112th,294th,284th,257th,155th,152nd,belmont,team_stats
63,345th,318th,30th,154th,170th,108th,216th,127th,12th,245th,58th,245th,42nd,8th,92nd,265th,134th,80th,33rd,283rd,180th,106th,baylor,team_stats
64,300th,141st,322nd,324th,324th,122nd,332nd,246th,226th,214th,169th,323rd,334th,304th,327th,337th,28th,340th,272nd,218th,6th,338th,arkansas,team_stats
65,93rd,98th,235th,238th,235th,24th,311th,173rd,138th,187th,43rd,308th,290th,203rd,288th,40th,1st,268th,19th,72nd,15th,125th,arizona,team_stats
66,116th,224th,44th,57th,13th,120th,20th,322nd,281st,297th,117th,91st,22nd,229th,22nd,22nd,124th,46th,37th,15th,185th,19th,albany-ny,team_stats
67,282nd,332nd,312th,330th,332nd,152nd,336th,223rd,85th,272nd,139th,337th,226th,131st,237th,339th,57th,329th,218th,279th,41st,332nd,alabama-birmingham,team_stats
