,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,8th,32nd,308th,132nd,268th,28th,327th,8th,8th,24th,33rd,261st,10th,147th,11th,93rd,112th,48th,7th,103rd,252nd,248th,wisconsin,team_stats
1,181st,208th,304th,238th,163rd,46th,261st,314th,90th,334th,35th,316th,334th,286th,325th,185th,13th,312th,46th,199th,49th,279th,wichita-state,team_stats
2,187th,272nd,318th,262nd,273rd,279th,209th,159th,130th,200th,249th,213th,297th,114th,302nd,290th,96th,283rd,121st,171st,2nd,324th,virginia-commonwealth,team_stats
3,84th,315th,280th,282nd,291st,171st,290th,168th,101st,227th,154th,298th,314th,189th,307th,238th,17th,305th,148th,194th,51st,278th,western-kentucky,team_stats
4,296th,177th,225th,110th,41st,17th,131st,331st,308th,280th,63rd,200th,297th,94th,306th,159th,5th,207th,131st,325th,39th,195th,villanova,team_stats
5,90th,29th,30th,135th,230th,64th,288th,27th,188th,24th,110th,183rd,241st,309th,205th,79th,38th,134th,63rd,270th,158th,38th,valparaiso,team_stats
6,321st,228th,335th,342nd,343rd,161st,343rd,249th,106th,290th,160th,344th,31st,36th,46th,344th,198th,327th,246th,194th,67th,342nd,ucla,team_stats
7,212th,108th,323rd,282nd,296th,176th,290th,152nd,254th,112th,222nd,257th,229th,317th,189th,188th,132nd,276th,205th,22nd,107th,300th,temple,team_stats
8,344th,283rd,338th,233rd,139th,23rd,263rd,333rd,3rd,346th,3rd,340th,312th,67th,319th,347th,7th,293rd,20th,338th,4th,347th,syracuse,team_stats
9,3rd,66th,261st,28th,53rd,2nd,222nd,36th,5th,120th,2nd,183rd,119th,62nd,146th,227th,202nd,23rd,12th,16th,140th,258th,southern,team_stats
10,252nd,49th,225th,322nd,291st,238th,253rd,327th,275th,296th,248th,300th,8th,186th,5th,32nd,115th,269th,150th,184th,260th,114th,south-dakota-state,team_stats
