,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,high_school,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,2.3,0.1,JR,4.0,.480,1.7,3.6,.387,2.3,5.8,.423,4.0,9.5,.674,0.8,1.2,35,35,6-1,Mundelein,"Hawthorn Woods, IL",34.3,1,1.2,1.3,Ben Brust,G,11.1,,1.0," 11.1 Pts, 5.1 Reb, 2.3 Ast",wisconsin,1.1,5.1,per_game,196
1,0.9,2.1,SR,4.4,.551,3.5,6.4,.253,0.6,2.4,.471,4.1,8.8,.702,2.1,3.0,35,35,6-10,Princeton,"Princeton, MN",28.5,40,2.5,1.5,Jared Berggren,F,11.0,2008,0.6," 11.0 Pts, 6.9 Reb, 0.9 Ast",wisconsin,1.0,6.9,per_game,235
2,2.0,0.8,SR,5.3,.418,4.1,9.7,.083,0.1,0.7,.396,4.1,10.4,.426,1.8,4.2,35,35,6-6,Hamilton,"Phoenix, AZ",29.1,5,2.0,1.8,Ryan Evans,G,10.1,,0.7," 10.1 Pts, 7.3 Reb, 2.0 Ast",wisconsin,1.6,7.3,per_game,212
3,1.3,0.4,FR,2.1,.567,1.9,3.4,.391,1.4,3.7,.476,3.4,7.1,.690,1.4,2.0,35,3,6-9,Sheboygan Lutheran,"Sheboygan, WI",22.3,15,1.2,1.2,Sam Dekker,F,9.6,2012,0.7," 9.6 Pts, 3.4 Reb, 1.3 Ast",wisconsin,1.1,3.4,per_game,230
4,2.8,0.2,SO,2.1,.411,1.8,4.3,.293,0.6,2.1,.372,2.4,6.5,.765,1.5,1.9,35,28,6-3,South,"Westerville, OH",27.8,12,0.5,2.1,Traevon Jackson,G,6.9,,1.0," 6.9 Pts, 2.5 Reb, 2.8 Ast",wisconsin,2.1,2.5,per_game,207
5,1.8,0.3,SR,3.7,.577,1.2,2.2,.283,0.9,3.2,.401,2.2,5.4,.691,1.2,1.7,33,30,6-6,Henry Sibley,"St. Paul, MN",28.0,31,1.6,2.5,Mike Bruesewitz,F,6.4,,0.9," 6.4 Pts, 5.3 Reb, 1.8 Ast",wisconsin,1.5,5.3,per_game,223
6,1.0,0.0,FR,0.6,.326,0.4,1.2,.368,1.0,2.7,.355,1.4,3.9,.625,0.3,0.5,35,6,6-1,Chicago Brooks College Prep,"Chicago, IL",15.8,3,0.1,1.3,George Marshall,G,4.1,,0.2," 4.1 Pts, 0.7 Reb, 1.0 Ast",wisconsin,0.5,0.7,per_game,190
7,0.8,0.5,SO,1.1,.547,0.9,1.7,.311,0.4,1.4,.439,1.3,3.1,.767,1.0,1.3,32,2,7-0,Benet Academy,"Lisle, IL",10.3,44,0.7,1.3,Frank Kaminsky,C,4.2,,0.4," 4.2 Pts, 1.8 Reb, 0.8 Ast",wisconsin,0.3,1.8,per_game,242
8,0.6,0.9,JR,3.2,.535,3.5,6.6,.318,1.2,3.8,.455,4.7,10.4,.791,3.3,4.2,39,22,6-8,Pine Bush,"Middletown, NY",25.1,11,2.3,2.6,Cleanthony Early,F,13.9,,0.7," 13.9 Pts, 5.4 Reb, 0.6 Ast",wichita-state,1.6,5.4,per_game,219
9,0.5,0.0,FR,0.5,.474,0.4,0.9,.200,0.1,0.5,.379,0.5,1.3,.684,0.6,0.9,22,0,6-2,Germantown HS,"Germantown, WI",6.7,33,0.6,0.8,Zak Showalter,G,1.7,,0.3," 1.7 Pts, 1.0 Reb, 0.5 Ast",wisconsin,0.4,1.0,per_game,185
10,0.1,0.1,JR,0.8,.500,0.3,0.6,.400,0.1,0.3,.467,0.4,0.9,.167,0.1,0.4,17,0,6-6,Linn-Mar,"Marion, IA",4.7,34,0.5,0.4,Zach Bohannon,F,1.0,,0.1," 1.0 Pts, 1.4 Reb, 0.1 Ast",wisconsin,0.2,1.4,per_game,206
11,0.2,0.1,SR,0.4,.600,0.3,0.5,.000,0.0,0.1,.500,0.3,0.6,.833,0.5,0.6,10,0,6-3,St. Ignatius College Prep,"Chicago, IL",2.8,10,0.2,0.0,Dan Fahey,G,1.1,,0.1," 1.1 Pts, 0.6 Reb, 0.2 Ast",wisconsin,0.2,0.6,per_game,195
12,0.2,0.0,SO,0.2,.667,0.3,0.5,.000,0.0,0.1,.571,0.3,0.6,1.000,0.1,0.1,12,0,6-10,Eau Claire North,"Kenosha, WI",3.2,32,0.0,0.8,Evan Anderson,C,0.8,2010,0.1," 0.8 Pts, 0.2 Reb, 0.2 Ast",wisconsin,0.3,0.2,per_game,245
13,0.1,0.0,SO,0.2,.667,0.2,0.3,.143,0.1,0.7,.300,0.3,1.0,,0.0,0.0,10,0,6-3,Orono HS,"Orono, MN",2.1,2,0.2,0.2,Jordan Smith,G,0.7,,0.0," 0.7 Pts, 0.4 Reb, 0.1 Ast",wisconsin,0.0,0.4,per_game,180
