,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,max,final
40,2014,Arizona,6,6,5,4,2,1,1,1,1,1,1,1,1,2,2,4,3,3,4,4,1,4
58,2014,Baylor,25,23,20,18,20,14,12,11,9,7,12,24,0,0,0,0,0,0,0,23,7,23
76,2014,Cincinnati,0,0,0,0,0,0,0,0,0,0,19,15,13,7,10,7,11,15,13,15,7,15
94,2014,Colorado,0,0,0,0,0,21,20,21,20,15,21,0,0,0,0,0,0,0,0,0,15,0
113,2014,Creighton,0,0,23,20,0,0,0,0,0,0,20,0,20,12,18,12,9,13,14,16,9,16
131,2014,Dayton,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
149,2014,Duke,4,4,6,6,10,8,8,8,7,16,23,18,17,11,8,5,6,4,7,8,4,8
167,2014,Florida,10,11,16,15,15,19,16,13,12,10,7,6,3,3,3,2,1,1,1,1,1,1
185,2014,Gonzaga,15,15,13,11,19,20,21,24,24,22,0,0,0,23,0,25,0,0,0,0,11,0
203,2014,Illinois,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0
221,2014,Iowa,0,0,0,23,23,23,25,22,22,20,14,10,15,17,16,15,20,24,0,0,10,0
240,2014,Iowa State,0,0,21,17,17,17,17,14,13,9,8,16,16,16,11,17,15,16,16,9,8,9
258,2014,Kansas,5,5,2,2,6,13,18,16,16,18,15,8,6,8,7,8,5,8,10,10,2,10
276,2014,Kansas State,0,0,0,0,0,0,0,0,0,25,0,22,0,0,0,0,0,0,0,0,22,0
295,2014,Kentucky,1,1,4,3,3,11,19,18,15,14,13,14,11,18,14,18,17,25,0,0,1,0
314,2014,Louisville,3,3,3,9,7,6,6,6,14,12,18,12,12,14,13,11,7,11,5,5,3,5
332,2014,Marquette,17,17,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
350,2014,Memphis,13,13,11,21,16,16,15,17,18,24,17,23,22,24,20,22,21,20,19,0,11,0
368,2014,Michigan,7,7,15,22,22,0,0,0,0,0,0,21,10,10,15,20,16,12,8,7,7,7
386,2014,Michigan State,2,2,1,1,1,5,5,5,5,5,4,3,7,9,9,13,18,22,22,11,1,11
405,2014,Missouri,0,0,0,0,0,24,23,25,25,21,0,0,0,0,0,0,0,0,0,0,21,0
424,2014,New Mexico,23,22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,25,21,20,17,17,17
443,2014,Notre Dame,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
462,2014,Ohio State,11,10,8,7,5,3,3,3,3,3,11,17,24,0,22,24,22,0,24,22,3,22
480,2014,Oklahoma,0,0,0,0,0,0,0,0,0,0,25,25,23,21,0,0,0,23,17,21,17,21
499,2014,Oklahoma State,9,8,7,5,9,7,7,7,6,11,9,11,8,19,0,0,0,0,0,0,5,0
517,2014,Oregon,19,18,17,14,13,15,13,12,10,17,0,0,0,0,0,0,0,0,0,0,10,0
535,2014,Pitt,0,0,0,0,0,0,0,0,0,0,22,20,18,25,25,0,0,0,0,0,18,0
555,2014,SMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,18,25,0,18,0
573,2014,Saint Louis,0,0,0,0,0,0,0,0,0,0,24,19,19,13,12,10,10,17,18,25,10,25
593,2014,San Diego State,0,0,0,0,24,25,24,20,21,13,10,7,5,5,5,6,13,10,9,13,5,13
611,2014,Syracuse,8,9,9,8,4,2,2,2,2,2,2,2,2,1,1,1,4,7,11,14,1,14
630,2014,Texas,0,0,0,0,0,0,0,0,0,0,0,0,25,15,19,19,24,0,0,0,15,0
648,2014,UCLA,22,24,22,19,18,0,0,0,0,0,0,0,0,0,0,23,0,0,0,20,18,20
665,2014,UConn,18,19,18,13,12,9,10,15,17,0,0,0,0,22,24,21,0,19,21,18,9,18
683,2014,UMass,0,0,0,24,21,22,22,23,23,19,16,13,21,0,0,0,0,0,0,0,13,0
699,2014,UNC,12,12,24,16,0,18,14,19,19,0,0,0,0,0,0,0,19,14,15,19,12,19
715,2014,VCU,14,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,24,10,24
731,2014,Villanova,0,0,0,0,14,10,8,8,11,8,6,4,9,6,6,9,8,6,3,6,3,6
746,2014,Virginia,24,25,0,0,0,0,0,0,0,0,0,0,0,20,17,14,12,5,6,3,3,3
759,2014,Wichita State,16,16,14,12,11,12,11,10,8,6,5,5,4,4,4,3,2,2,2,2,2,2
772,2014,Wisconsin,20,20,12,10,8,4,4,4,4,4,3,9,14,0,21,16,14,9,12,12,3,12
