,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,max,final
33,2013,Arizona,12,12,10,9,8,8,4,3,3,4,7,6,8,7,9,12,11,18,18,21,3,21
51,2013,Baylor,19,16,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,16,9223372036854775807
69,2013,Butler,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,18,17,14,13,9,9,14,11,15,20,9223372036854775807,9223372036854775807,9223372036854775807,9,9223372036854775807
87,2013,Cincinnati,24,24,22,17,11,11,11,8,14,21,9223372036854775807,21,24,17,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,8,9223372036854775807
106,2013,Colorado,9223372036854775807,9223372036854775807,23,19,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,9223372036854775807
124,2013,Colorado State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,9223372036854775807
142,2013,Creighton,16,15,14,11,16,16,17,16,16,13,12,17,21,16,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,22,11,22
160,2013,Duke,8,9,5,2,2,2,1,1,1,1,3,1,5,4,2,6,3,3,2,6,1,6
178,2013,Florida,10,10,7,7,6,5,8,14,13,11,10,8,4,2,7,5,8,11,13,14,2,14
196,2013,Florida State,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807
214,2013,Georgetown,9223372036854775807,9223372036854775807,9223372036854775807,20,15,15,15,15,15,19,9223372036854775807,9223372036854775807,9223372036854775807,20,15,11,7,5,5,8,5,8
232,2013,Gonzaga,21,19,17,12,10,14,14,13,10,9,8,10,7,6,5,3,2,1,1,1,1,1
251,2013,Illinois,9223372036854775807,9223372036854775807,9223372036854775807,22,13,10,10,12,11,12,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,10,9223372036854775807
269,2013,Indiana,1,1,1,1,1,1,6,5,5,5,2,7,3,1,1,1,1,2,3,4,1,4
287,2013,Kansas,7,7,12,10,9,9,9,6,6,6,4,3,2,5,14,9,6,4,7,3,2,3
307,2013,Kansas State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,25,18,16,11,18,13,10,13,13,9,11,12,9,12
