,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
40,2012,Alabama,19,16,13,12,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
63,2012,Arizona,16,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
88,2012,Baylor,12,11,9,7,6,6,6,6,4,4,3,6,6,6,9,13,9,12,9,3,9
89,2012,California,24,23,20,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
110,2012,Cincinnati,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
137,2012,Creighton,0,0,0,0,19,25,23,21,0,23,19,15,13,17,0,0,25,19,19,13,19
138,2012,Duke,6,6,6,3,7,7,7,7,5,8,4,8,7,10,5,5,4,6,8,3,8
162,2012,Florida,8,7,10,10,12,13,11,10,13,19,17,14,12,8,14,12,16,22,25,7,25
191,2012,Florida State,0,25,22,0,0,0,0,0,0,0,0,23,21,15,20,15,22,17,10,10,10
215,2012,Georgetown,0,0,0,0,18,16,16,12,9,11,10,9,14,12,10,9,11,13,15,9,15
241,2012,Gonzaga,23,22,19,19,23,0,0,0,25,21,0,0,24,0,24,0,0,24,0,19,0
242,2012,Harvard,0,0,0,0,25,0,0,24,22,0,0,0,0,25,0,0,0,0,0,22,0
264,2012,Illinois,0,0,0,0,24,19,25,0,0,0,22,0,0,0,0,0,0,0,0,19,0
265,2012,Indiana,0,0,0,0,0,18,17,13,12,7,11,16,20,23,18,23,18,15,16,7,16
293,2012,Iowa State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0
319,2012,Kansas,13,12,14,15,13,12,12,17,14,10,7,5,8,7,4,4,3,3,6,3,6
320,2012,Kansas State,0,0,0,0,0,0,0,0,23,18,25,22,0,0,0,0,0,0,0,18,0
353,2012,Kentucky,2,2,2,1,1,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1
354,2012,Louisville,9,8,7,6,5,4,4,4,11,14,23,0,0,24,19,17,19,0,17,4,17
387,2012,Marquette,22,21,16,16,11,11,10,14,20,25,21,17,15,18,12,10,8,9,11,8,11
388,2012,Memphis,11,10,8,22,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
424,2012,Michigan,18,17,15,14,20,20,20,18,16,13,20,20,23,22,17,11,13,10,13,10,13
425,2012,Michigan State,0,0,0,0,0,21,19,16,10,6,9,10,9,11,7,6,5,8,5,5,5
459,2012,Mississippi State,0,0,24,21,17,17,18,15,15,20,18,18,22,20,0,0,0,0,0,15,0
460,2012,Missouri,25,24,21,13,10,10,9,8,7,9,5,2,4,4,3,3,7,5,3,2,3
494,2012,Murray State,0,0,0,0,0,24,22,20,19,15,12,11,10,9,16,14,12,11,12,9,12
495,2012,New Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,21,18,21
523,2012,Notre Dame,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,20,23,0,20,0
524,2012,Ohio State,3,3,3,2,2,2,2,2,6,5,6,4,3,3,6,8,10,7,7,2,7
560,2012,Pitt,10,9,17,17,15,15,15,22,0,0,0,0,0,0,0,0,0,0,0,9,0
594,2012,Saint Louis,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
626,2012,Saint Mary's,0,0,0,0,0,0,0,0,0,0,24,21,18,16,21,0,0,0,24,16,24
627,2012,San Diego State,0,0,0,0,0,0,0,25,24,22,16,13,17,13,13,24,21,18,22,13,22
659,2012,Seton Hall,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0
689,2012,Syracuse,5,5,5,4,3,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,2
690,2012,Temple,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,23,21,0,21,0
718,2012,Texas A&M,20,19,25,25,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
719,2012,UCLA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
748,2012,UConn,4,4,4,8,9,9,8,9,8,17,13,24,0,0,0,0,0,0,0,4,0
749,2012,UNC,1,1,1,5,4,5,5,5,3,3,8,7,5,5,8,7,6,4,4,1,4
778,2012,UNLV,0,0,0,18,0,0,21,19,17,12,14,12,11,14,11,21,17,20,23,11,23
779,2012,Vanderbilt,7,18,18,20,0,25,0,0,0,0,0,0,25,0,0,0,0,0,20,7,20
803,2012,Virginia,0,0,0,0,0,0,24,23,21,16,15,19,16,19,22,25,24,0,0,15,0
804,2012,Wichita State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,15,16,18,15,18
824,2012,Wisconsin,15,14,11,9,14,14,13,11,18,0,0,25,19,21,15,16,14,14,14,9,14
825,2012,Xavier,14,13,12,11,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,8,0
