,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
5,2010,Alabama-Birmingham,0,0,0,0,0,0,0,24,0,0,0,25,0,0,0,0,0,0,0,24,0
10,2010,BYU,0,0,0,0,0,0,0,0,25,18,14,12,12,17,16,13,14,14,17,12,17
17,2010,Baylor,0,0,0,0,0,0,0,0,0,22,25,24,20,24,22,24,21,21,19,19,19
29,2010,Butler,11,11,12,23,22,21,20,0,0,0,0,0,23,18,18,15,12,12,11,11,11
41,2010,California,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
42,2010,Cincinnati,0,0,0,22,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
64,2010,Clemson,24,22,19,18,0,0,24,21,0,24,17,0,0,0,0,0,0,0,0,17,0
90,2010,Dayton,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
91,2010,Duke,9,9,7,6,8,7,7,7,5,8,7,8,11,8,6,5,4,4,3,3,3
111,2010,Florida,0,0,0,13,10,13,18,0,0,0,0,0,0,0,0,0,0,0,0,10,0
139,2010,Florida State,0,0,0,21,0,0,0,22,18,25,0,0,0,0,0,0,0,0,0,18,0
140,2010,Georgetown,20,19,18,16,15,11,14,13,12,11,12,7,7,7,10,11,19,22,14,7,14
163,2010,Georgia Tech,22,21,0,0,24,22,0,0,20,20,19,22,21,20,0,0,0,0,0,19,0
164,2010,Gonzaga,0,0,0,17,21,15,25,0,19,17,15,13,17,16,13,18,18,18,22,13,22
192,2010,Illinois,23,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
216,2010,Kansas,1,1,1,1,1,1,1,1,1,3,3,2,1,1,1,1,2,1,1,1,1
243,2010,Kansas State,0,0,0,0,0,17,12,12,11,13,10,11,10,9,7,6,5,9,7,5,7
244,2010,Kentucky,4,4,5,5,4,3,3,3,3,2,2,1,4,3,2,2,3,2,2,1,2
266,2010,Louisville,19,20,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
294,2010,Maryland,0,25,21,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,20,19,20
321,2010,Miami (FL),0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,23,0
322,2010,Michigan,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
355,2010,Michigan State,2,2,2,9,12,12,9,11,10,7,6,5,5,10,11,14,11,11,13,2,13
356,2010,Minnesota,25,24,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
389,2010,Mississippi State,18,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,18,0
390,2010,New Mexico,0,0,0,0,0,19,13,19,15,0,0,23,15,15,12,10,8,8,8,8,8
426,2010,Northern Iowa,0,0,0,0,0,0,0,0,0,0,20,0,24,19,0,25,0,0,0,19,0
427,2010,Northwestern,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,25,0
461,2010,Notre Dame,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
462,2010,Ohio State,16,15,17,15,13,18,17,15,0,0,21,20,13,13,9,9,6,5,5,5,5
496,2010,Oklahoma,17,17,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
497,2010,Ole Miss,0,0,0,0,25,20,15,16,14,21,22,18,25,0,0,0,0,0,0,14,0
525,2010,Pitt,0,0,0,0,0,0,0,0,23,16,9,17,22,25,19,12,17,16,18,9,18
526,2010,Portland,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
561,2010,Purdue,7,7,6,4,5,4,4,4,4,6,13,10,8,6,4,3,7,6,10,3,10
562,2010,Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,0,0,24,23,24
595,2010,Syracuse,0,0,10,8,7,5,5,5,7,5,5,4,3,2,5,4,1,3,4,1,4
596,2010,Temple,0,0,0,0,0,0,21,18,21,19,16,15,19,21,21,20,20,17,12,12,12
628,2010,Tennessee,10,10,9,11,9,9,16,14,16,9,8,14,14,12,20,19,16,15,15,8,15
629,2010,Texas,3,3,3,2,2,2,2,2,2,1,1,6,9,14,15,21,0,0,0,1,0
660,2010,Texas A&M,0,0,0,19,16,23,19,0,0,0,0,0,0,0,24,22,23,23,23,16,23
661,2010,Texas Tech,0,0,0,0,23,16,23,20,22,0,0,0,0,0,0,0,0,0,0,16,0
691,2010,UConn,12,12,13,14,14,14,11,10,13,15,0,19,0,0,0,0,0,0,0,10,0
