,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
20,2011,Arizona,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,21,15,12,10,18,16,17,10,17
30,2011,BYU,24,23,23,21,18,16,23,16,15,11,9,9,8,7,7,7,3,8,10,3,10
47,2011,Baylor,16,17,12,11,10,9,15,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9,9223372036854775807
66,2011,Butler,17,16,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,16,9223372036854775807
84,2011,Cincinnati,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,25,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,24,9223372036854775807
103,2011,Duke,1,1,1,1,1,1,1,1,1,1,4,3,5,5,5,1,4,5,3,1,3
121,2011,Florida,9,9,16,18,9223372036854775807,9223372036854775807,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807,17,14,13,14,12,15,9,15
139,2011,Florida State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,9223372036854775807
157,2011,Georgetown,20,20,16,16,9,15,10,9,13,22,23,21,13,11,9,11,17,22,9223372036854775807,9,9223372036854775807
175,2011,Georgia,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807
193,2011,Gonzaga,12,11,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,11,9223372036854775807
211,2011,Illinois,13,13,19,20,16,12,21,23,20,16,23,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,12,9223372036854775807
229,2011,Kansas,7,7,6,4,4,3,3,3,3,3,2,6,2,2,1,3,2,2,2,1,2
248,2011,Kansas State,3,3,4,5,5,6,11,17,17,21,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,21,3,21
266,2011,Kentucky,11,12,8,10,17,17,13,11,10,13,12,14,10,18,22,22,20,15,11,8,11
284,2011,Louisville,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,20,9223372036854775807,22,9223372036854775807,18,19,23,15,16,16,16,11,14,14,11,14
304,2011,Memphis,19,19,14,14,13,18,16,21,21,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,13,9223372036854775807
322,2011,Michigan State,2,2,2,6,7,14,12,20,18,9223372036854775807,17,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,2,9223372036854775807
340,2011,Minnesota,9223372036854775807,9223372036854775807,15,15,22,21,17,14,9223372036854775807,9223372036854775807,15,16,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,14,9223372036854775807
358,2011,Missouri,15,15,11,9,15,13,9,10,9,15,13,11,14,19,20,20,22,9223372036854775807,9223372036854775807,9,9223372036854775807
376,2011,Notre Dame,9223372036854775807,9223372036854775807,9223372036854775807,25,23,24,22,15,14,9,16,15,9,8,8,9,8,4,5,4,5
394,2011,Ohio State,4,4,3,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1
413,2011,Pitt,5,5,5,3,3,8,6,6,5,5,5,2,4,4,4,4,4,3,4,2,4
433,2011,Purdue,14,14,10,22,19,19,14,12,11,8,14,12,11,14,11,8,6,9,13,6,13
