,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
87,2020,Arizona,21,19,14,14,12,15,16,24,25,24,0,22,0,23,0,24,0,0,0,12,0
109,2020,Auburn,24,22,19,18,14,12,12,8,8,5,4,16,17,11,11,13,15,17,20,4,20
135,2020,BYU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,17,15,14,14,14
136,2020,Baylor,16,24,24,19,18,11,10,7,6,4,2,1,1,1,1,1,2,4,5,1,5
161,2020,Butler,0,0,0,0,24,18,17,12,11,6,5,13,16,19,19,21,0,0,24,5,24
190,2020,Colorado,0,25,23,21,20,24,0,0,0,25,20,23,20,24,16,18,21,0,0,16,0
214,2020,Creighton,0,0,0,0,0,0,0,0,0,0,25,0,0,21,23,15,10,11,7,7,7
240,2020,Dayton,0,0,0,0,19,14,13,18,20,15,13,7,7,6,6,5,4,3,3,3,3
263,2020,Duke,4,2,1,1,10,7,4,4,2,2,3,8,9,7,7,6,7,12,10,1,10
292,2020,Florida,6,15,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
317,2020,Florida State,0,0,0,0,17,21,19,17,18,10,9,5,5,8,8,8,6,7,4,4,4
318,2020,Gonzaga,8,8,8,8,9,6,2,1,1,1,1,2,2,2,2,2,3,2,2,1,2
351,2020,Houston,0,0,0,0,0,0,0,0,0,0,0,25,21,25,20,22,25,21,22,20,22
352,2020,Illinois,0,0,0,0,0,0,0,0,0,0,24,21,19,20,22,0,0,23,21,19,21
385,2020,Iowa,0,0,0,0,0,0,0,25,23,0,0,19,18,17,21,20,18,18,25,17,25
386,2020,Kansas,3,5,4,4,2,2,1,5,3,3,6,3,3,3,3,3,1,1,1,1,1
422,2020,Kentucky,2,1,9,9,8,8,6,19,17,14,10,15,13,15,12,10,8,6,8,1,8
423,2020,LSU,22,23,0,0,0,0,0,0,0,0,0,0,22,18,25,0,0,0,0,18,0
457,2020,Louisville,5,4,2,2,1,1,3,3,7,13,11,6,6,5,5,11,11,10,15,1,15
458,2020,Marquette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19,0,0,0,18,0
492,2020,Maryland,7,7,6,5,3,4,7,13,15,12,17,17,15,9,9,7,9,9,12,3,12
493,2020,Memphis,14,13,16,16,15,13,11,9,9,21,22,20,0,0,0,0,0,0,0,9,0
522,2020,Michigan,0,0,0,0,4,5,14,11,12,19,19,0,0,0,0,0,19,25,0,4,0
558,2020,Michigan State,1,3,3,3,11,16,15,14,14,8,15,11,14,16,0,0,24,16,9,1,9
559,2020,Ohio State,18,16,10,10,6,3,5,2,5,11,21,0,0,0,0,25,23,19,19,2,19
593,2020,Oregon,15,14,11,11,13,10,8,6,4,9,8,12,11,14,17,14,14,13,13,4,13
624,2020,Penn State,0,0,0,0,0,0,23,20,21,20,0,0,24,22,13,9,16,20,0,9,0
625,2020,Purdue,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
657,2020,Rutgers,0,0,0,0,0,0,0,0,0,0,0,24,25,0,0,0,0,0,0,24,0
658,2020,Saint Mary's,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
688,2020,San Diego State,0,0,0,0,0,25,20,15,13,7,7,4,4,4,4,4,5,5,6,4,6
716,2020,Seton Hall,12,12,13,13,16,22,0,0,0,0,18,10,10,12,10,16,13,8,16,8,16
717,2020,Tennessee,0,0,20,17,21,19,21,0,0,0,0,0,0,0,0,0,0,0,0,17,0
746,2020,Texas,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
747,2020,Texas Tech,13,11,12,12,0,0,24,23,22,22,23,18,0,0,24,0,22,0,0,11,0
776,2020,UNC,9,6,5,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
777,2020,Utah State,17,17,15,15,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
802,2020,VCU,25,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
823,2020,Villanova,10,10,17,22,23,20,18,10,10,16,14,9,8,10,15,12,12,14,11,8,11
838,2020,Virginia,11,9,7,7,5,9,9,16,19,18,0,0,0,0,0,0,0,22,17,5,17
839,2020,Washington,0,20,25,23,22,0,22,21,0,0,0,0,0,0,0,0,0,0,0,20,0
847,2020,West Virginia,0,0,0,0,0,0,25,22,16,17,12,14,12,13,14,17,20,0,23,12,23
848,2020,Wichita State,0,0,0,0,0,0,0,0,24,23,16,0,23,0,0,0,0,0,0,16,0
855,2020,Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,18,18
856,2020,Xavier,19,21,18,25,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
