,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
12,2003,Alabama,8,4,4,3,2,2,1,1,4,9,15,23,22,0,0,0,0,0,0,1,0
21,2003,Arizona,1,1,1,1,1,1,4,4,2,2,1,1,2,1,1,1,1,1,2,1,2
22,2003,Auburn,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,24,0
33,2003,California,0,0,0,0,0,0,0,0,0,0,25,20,0,22,18,23,22,24,0,18,0
53,2003,Cincinnati,23,23,21,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
54,2003,College of Charleston,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
75,2003,Creighton,0,0,0,0,0,20,18,15,16,13,10,16,13,12,17,17,19,19,15,10,15
76,2003,Dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,21,22,16,16,16
103,2003,Duke,6,6,6,4,3,3,3,3,1,1,3,5,9,8,8,6,10,12,7,1,7
128,2003,Florida,7,8,7,8,14,13,12,12,11,6,5,4,1,4,7,4,3,7,10,1,10
155,2003,Georgia,16,18,17,0,0,0,0,0,20,20,19,15,17,20,22,21,25,21,25,15,25
181,2003,Gonzaga,22,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
204,2003,Illinois,0,0,0,25,15,12,7,11,10,8,18,13,16,14,20,18,14,13,11,7,11
205,2003,Indiana,21,22,19,10,7,6,10,17,15,18,14,19,0,0,0,0,0,0,0,6,0
228,2003,Kansas,2,2,2,14,20,19,19,18,14,12,6,12,12,9,6,7,6,4,6,2,6
229,2003,Kentucky,17,17,15,18,12,18,14,20,18,16,8,7,6,3,2,2,2,2,1,1,1
255,2003,LSU,0,0,0,0,0,0,24,21,0,23,0,0,0,0,0,0,0,0,0,21,0
285,2003,Louisville,0,0,0,0,0,0,0,24,19,15,9,8,5,2,4,11,15,20,14,2,14
310,2003,Marquette,18,16,13,13,16,14,13,13,24,21,20,18,15,11,11,10,8,8,9,8,9
339,2003,Maryland,13,12,11,9,18,24,23,22,21,17,12,10,8,16,13,14,13,14,17,8,17
340,2003,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,18,16,19,16,19
374,2003,Michigan State,9,9,9,21,21,15,15,14,25,0,0,0,0,0,0,0,0,0,0,9,0
375,2003,Minnesota,24,24,24,20,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
410,2003,Mississippi State,12,12,23,24,24,16,16,8,7,14,22,21,23,19,19,20,23,0,20,7,20
411,2003,Missouri,19,20,18,15,11,11,17,16,13,11,21,25,21,21,0,0,0,0,24,11,24
446,2003,Notre Dame,0,0,0,0,10,9,8,6,5,10,16,11,10,10,12,9,16,17,22,5,22
447,2003,Oklahoma,3,7,8,6,6,7,5,10,9,5,7,6,7,5,5,3,5,6,3,3,3
481,2003,Oklahoma State,0,0,0,0,0,0,0,0,0,24,13,9,11,13,16,16,20,23,0,9,0
482,2003,Oregon,11,10,10,7,5,5,11,9,12,22,23,22,0,0,0,0,0,0,0,5,0
515,2003,Pitt,5,5,5,5,4,4,2,2,6,3,2,2,4,7,9,8,7,5,4,2,4
516,2003,Purdue,0,0,0,0,0,0,0,0,0,0,0,0,24,0,24,0,0,0,0,24,0
546,2003,St. Joseph's,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,25,0
547,2003,Stanford,0,0,0,17,19,17,0,0,0,0,0,0,25,24,21,19,17,15,18,15,18
582,2003,Syracuse,0,0,0,0,0,0,0,0,0,25,0,24,19,17,15,15,12,11,13,11,13
614,2003,Texas,4,3,3,2,8,10,9,7,8,4,4,3,3,6,3,5,4,3,5,2,5
615,2003,Texas Tech,0,0,0,0,0,0,0,25,23,0,0,0,0,0,0,0,0,0,0,23,0
648,2003,Tulsa,25,25,22,19,17,22,20,0,0,0,0,0,0,0,0,0,0,0,0,17,0
649,2003,UCLA,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
679,2003,UConn,15,14,12,11,9,8,6,5,3,6,11,14,18,23,0,0,0,0,23,3,23
680,2003,UNC,0,0,0,12,22,23,22,0,0,0,0,0,0,0,0,0,0,0,0,12,0
710,2003,Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,22,0,0,0,22,0
711,2003,Virginia,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
739,2003,Wake Forest,0,0,0,0,0,0,25,23,17,19,17,17,14,15,10,12,9,9,8,8,8
740,2003,Western Kentucky,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
768,2003,Wisconsin,0,0,25,23,0,0,0,0,0,0,0,0,0,0,0,0,24,18,21,18,21
769,2003,Xavier,10,11,16,16,13,21,21,19,21,0,0,0,20,18,14,13,11,10,12,10,12
