,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
45,2018,Alabama,9223372036854775807,9223372036854775807,25,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,9223372036854775807
64,2018,Arizona,3,3,2,9223372036854775807,9223372036854775807,23,18,17,14,17,14,11,9,13,17,14,19,15,12,2,12
82,2018,Arizona State,9223372036854775807,9223372036854775807,9223372036854775807,20,16,5,3,3,4,11,16,21,25,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,3,9223372036854775807
100,2018,Arkansas,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,9223372036854775807
101,2018,Auburn,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,17,19,11,8,10,12,14,16,19,8,19
119,2018,Baylor,24,25,22,16,23,21,19,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,16,9223372036854775807
137,2018,Cincinnati,12,12,12,11,17,25,20,21,19,14,12,9,8,6,5,11,10,8,6,5,6
155,2018,Clemson,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,19,20,18,20,16,11,15,18,19,20,11,20
173,2018,Creighton,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,25,25,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807
191,2018,Duke,1,1,1,1,1,4,4,4,2,7,5,4,4,9,12,5,5,5,9,1,9
209,2018,Florida,8,8,7,6,5,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,20,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,23,5,23
227,2018,Florida State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,24,24,24,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,19,9223372036854775807
246,2018,Gonzaga,18,17,17,15,12,12,12,20,19,15,13,15,14,12,9,6,7,6,8,6,8
264,2018,Houston,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,25,21,21,21,21
282,2018,Kansas,4,4,3,2,2,13,14,11,10,12,10,5,7,10,13,8,6,9,4,2,4
302,2018,Kentucky,5,7,8,7,8,8,7,16,17,21,18,9223372036854775807,21,24,9223372036854775807,9223372036854775807,23,9223372036854775807,18,5,18
320,2018,Louisville,16,18,19,17,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,16,9223372036854775807
338,2018,Miami (FL),13,11,11,10,10,6,6,15,15,18,25,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,9223372036854775807,24,22,6,22
356,2018,Michigan,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,25,24,20,22,17,15,7,7,7,7
374,2018,Michigan State,2,2,4,3,3,2,2,2,1,4,9,6,5,4,2,2,2,4,5,1,5
392,2018,Middle Tennessee,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,24,9223372036854775807,9223372036854775807,24,9223372036854775807
411,2018,Minnesota,15,14,14,12,14,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,12,9223372036854775807
431,2018,Nevada,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,9223372036854775807,23,24,20,21,22,24,20,24
449,2018,Northwestern,19,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,9223372036854775807
468,2018,Notre Dame,14,13,13,5,9,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,5,9223372036854775807
486,2018,Ohio State,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,13,17,14,8,16,13,17,17,8,17
505,2018,Oklahoma,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,17,12,7,9,4,12,12,17,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,4,9223372036854775807
523,2018,Purdue,20,19,18,9223372036854775807,21,17,16,14,13,5,3,3,3,3,6,9,8,10,11,3,11
