,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
7,2007,Air Force,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,24,24,23,20,18,13,16,17,15,17,14,25,9223372036854775807,9223372036854775807,13,9223372036854775807
11,2007,Alabama,11,10,8,6,4,9,10,8,8,14,10,12,19,18,25,25,9223372036854775807,9223372036854775807,9223372036854775807,4,9223372036854775807
21,2007,Arizona,10,15,15,16,14,10,9,7,7,10,11,17,20,24,19,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,7,9223372036854775807
31,2007,BYU,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,21,9223372036854775807,23,24,21,24
48,2007,Boston College,15,14,23,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,21,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,14,9223372036854775807
49,2007,Butler,9223372036854775807,9223372036854775807,9223372036854775807,19,15,18,16,15,13,12,18,14,13,10,13,15,18,19,21,10,21
67,2007,Clemson,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,23,17,19,19,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,17,9223372036854775807
85,2007,Creighton,19,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,9223372036854775807
104,2007,Duke,12,11,9,11,7,6,6,5,5,11,14,10,8,16,9223372036854775807,18,14,21,9223372036854775807,5,9223372036854775807
122,2007,Florida,1,1,1,4,7,5,5,3,3,2,1,1,1,1,1,3,5,6,3,1,3
140,2007,Georgetown,8,8,14,18,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,22,14,12,9,9,8,8,8
158,2007,Georgia Tech,23,23,19,21,25,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,19,9223372036854775807
176,2007,Gonzaga,9223372036854775807,9223372036854775807,9223372036854775807,22,18,16,22,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,16,9223372036854775807
194,2007,Indiana,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,9223372036854775807,9223372036854775807,24,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,23,9223372036854775807
212,2007,Kansas,3,3,10,5,12,11,11,9,9,6,5,8,6,9,9,6,3,2,2,2,2
230,2007,Kentucky,22,22,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,25,9223372036854775807,9223372036854775807,20,20,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,20,9223372036854775807
249,2007,LSU,5,7,6,10,9,12,12,17,14,13,16,21,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,9223372036854775807,5,9223372036854775807
