,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
43,2016,Arizona,12,12,11,19,13,13,8,8,7,18,12,18,23,17,12,8,18,15,17,7,17
61,2016,Baylor,22,20,0,25,16,16,23,23,0,22,14,17,15,21,25,19,19,22,21,14,21
79,2016,Butler,24,22,0,0,18,17,9,9,18,23,18,0,0,0,0,0,0,0,0,9,0
97,2016,California,14,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,25,24,23,14,23
116,2016,Cincinnati,0,0,24,17,23,23,22,22,0,0,0,0,0,0,0,0,0,0,0,17,0
134,2016,Dayton,0,0,0,0,0,0,0,0,25,0,0,0,24,19,15,0,0,0,0,15,0
152,2016,Duke,5,5,6,7,8,7,15,15,14,9,20,24,0,0,20,15,17,19,19,5,19
170,2016,George Washington,0,0,0,0,0,21,20,0,0,0,0,0,0,0,0,0,0,0,0,20,0
188,2016,Gonzaga,9,10,10,13,20,0,0,0,0,25,0,0,0,0,0,0,0,0,0,9,0
206,2016,Indiana,15,14,13,0,0,0,0,0,0,0,25,19,22,0,22,18,12,10,14,10,14
224,2016,Iowa,0,0,0,0,0,0,0,0,19,16,9,3,5,4,4,8,16,20,25,3,25
243,2016,Iowa State,7,7,4,5,4,5,11,11,13,17,19,14,13,14,13,17,21,21,22,4,22
261,2016,Kansas,4,4,5,4,2,2,2,2,1,1,3,4,7,6,2,2,1,1,1,1,1
279,2016,Kentucky,2,2,1,1,5,4,12,10,9,14,23,20,20,22,14,16,22,16,10,1,10
298,2016,LSU,21,23,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
299,2016,Louisville,0,0,0,24,22,19,16,18,16,21,17,16,19,13,18,11,11,14,16,11,16
317,2016,Maryland,3,3,2,2,6,6,4,4,3,3,7,8,4,2,6,10,14,18,18,2,18
335,2016,Miami (FL),0,0,15,21,17,15,13,13,12,8,15,15,17,12,11,12,7,11,10,7,10
353,2016,Michigan,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
371,2016,Michigan State,13,13,3,3,1,1,1,1,5,4,11,12,10,8,8,6,2,2,2,1,2
389,2016,Notre Dame,19,18,17,0,0,0,0,0,0,0,0,25,0,0,19,23,0,0,0,17,0
408,2016,Oklahoma,8,8,7,6,7,3,3,3,2,2,1,1,1,3,3,3,6,6,7,1,7
427,2016,Oregon,0,25,21,15,24,0,0,0,0,0,0,23,16,11,16,13,9,8,5,5,5
446,2016,Pitt,0,0,0,0,0,0,0,0,24,20,0,0,0,0,0,0,0,0,0,20,0
465,2016,Providence,0,0,0,23,15,14,10,12,8,12,16,10,11,20,23,0,0,0,0,8,0
483,2016,Purdue,23,21,16,11,11,9,14,14,20,24,22,21,18,18,17,20,15,13,12,9,12
502,2016,SMU,0,0,25,22,19,18,18,17,15,10,8,13,12,16,21,24,24,25,24,8,24
520,2016,Seton Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20
538,2016,South Carolina,0,0,0,0,0,0,25,24,22,19,24,0,25,0,0,0,0,0,0,19,0
558,2016,Syracuse,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
576,2016,Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,25,23,23,0,23,0
596,2016,Texas A&M,0,0,25,18,0,24,21,20,21,15,10,5,8,15,0,21,20,17,15,5,15
614,2016,UCLA,0,0,0,0,0,22,0,25,0,0,0,0,0,0,0,0,0,0,0,22,0
633,2016,UConn,20,19,18,0,0,25,0,0,23,0,0,0,0,0,0,0,0,0,0,18,0
651,2016,UNC,1,1,9,9,3,11,7,7,6,5,2,2,2,9,5,7,8,7,3,1,3
668,2016,USC,0,0,0,0,0,0,0,0,0,0,21,0,0,23,0,0,0,0,0,21,0
686,2016,Utah,16,16,0,0,25,0,24,21,0,0,0,0,0,0,0,22,13,12,13,12,13
702,2016,Vanderbilt,18,17,19,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
718,2016,Villanova,11,11,8,8,9,12,17,16,11,6,4,6,3,1,1,1,3,3,6,1,6
734,2016,Virginia,6,6,12,10,10,8,5,5,4,13,13,11,9,7,7,3,4,4,4,3,4
749,2016,West Virginia,0,0,0,20,14,20,19,19,17,11,6,9,14,10,10,14,10,9,8,6,8
762,2016,Wichita State,10,9,20,0,0,0,0,0,0,0,0,22,21,25,0,0,0,0,0,9,0
775,2016,Wisconsin,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
786,2016,Xavier,0,0,23,12,12,10,6,6,10,7,5,7,6,5,8,5,5,5,9,5,9
