,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,max,final
18,2006,Alabama,15,15,19,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
30,2006,Alabama-Birmingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,25,24,25
49,2006,Arizona,10,10,9,15,24,24,0,0,21,24,0,0,0,0,0,0,0,0,0,9,0
72,2006,Boston College,11,11,10,8,6,13,14,13,11,15,21,20,15,17,13,11,12,11,7,6,7
100,2006,Bucknell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0
124,2006,Cincinnati,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,25,0
152,2006,Duke,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,3,1,1,1
175,2006,Florida,0,0,14,11,10,7,5,5,5,2,2,5,8,7,10,12,17,16,11,2,11
176,2006,George Washington,21,21,21,19,19,15,13,12,20,17,16,14,10,8,7,6,7,6,14,6,14
200,2006,Georgetown,0,0,0,0,0,0,0,0,0,0,0,21,17,15,17,23,20,23,23,15,23
224,2006,Gonzaga,8,9,8,6,9,10,8,8,8,6,6,7,5,5,5,5,5,4,5,4,5
252,2006,Houston,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
279,2006,Illinois,17,17,15,12,11,9,6,6,6,7,7,8,6,10,14,8,10,9,13,6,13
280,2006,Indiana,24,23,20,17,18,18,18,17,16,9,13,13,22,24,0,0,0,0,0,9,0
307,2006,Iowa,20,20,18,14,12,22,25,0,0,0,23,0,23,18,18,20,23,20,15,12,15
334,2006,Iowa State,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
335,2006,Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,16,18,17,12,12,12
369,2006,Kentucky,9,8,7,10,15,23,19,18,19,0,0,0,0,0,0,0,0,0,0,7,0
405,2006,LSU,0,0,0,25,0,0,0,0,0,0,0,0,24,0,25,24,21,18,19,18,19
440,2006,Louisville,7,7,6,7,5,4,11,10,9,10,17,22,0,0,0,0,0,0,0,4,0
441,2006,Maryland,23,24,23,23,21,17,16,16,14,23,22,18,0,0,0,0,0,0,0,14,0
476,2006,Memphis,12,12,11,9,7,5,4,4,4,5,4,3,3,3,3,4,3,5,4,3,4
477,2006,Michigan,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,21,0
509,2006,Michigan State,4,4,12,13,14,12,10,9,7,14,11,11,12,12,16,18,25,0,0,4,0
510,2006,NC State,0,0,0,24,25,21,21,19,13,18,14,15,18,16,21,15,22,25,0,13,0
540,2006,Nevada,22,22,22,20,17,20,20,20,0,0,0,0,0,0,0,25,24,21,20,17,20
541,2006,Northern Iowa,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,25,0,0,0,25,0
576,2006,Ohio State,0,0,0,0,0,0,24,21,18,19,19,16,20,19,12,13,9,7,6,6,6
577,2006,Oklahoma,6,6,5,5,8,8,7,14,12,22,25,24,19,20,19,22,19,22,24,5,24
609,2006,Pitt,0,0,0,0,0,0,0,0,22,12,9,12,9,14,9,9,8,15,16,8,16
610,2006,Stanford,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
643,2006,Syracuse,16,16,17,0,0,0,0,0,0,0,20,25,0,0,0,0,0,0,21,16,21
644,2006,Tennessee,0,0,0,0,0,0,23,0,0,0,0,19,13,11,8,10,11,14,18,8,18
674,2006,Texas,2,2,2,2,2,6,15,15,15,8,5,4,7,6,6,7,6,8,9,2,9
706,2006,UCLA,19,18,16,16,16,14,12,11,17,11,18,17,14,13,15,19,15,13,7,7,7
707,2006,UConn,3,3,3,3,3,2,2,2,2,4,3,1,1,1,1,3,2,1,2,1,2
736,2006,UNC,0,0,0,0,23,19,17,23,25,20,24,0,0,23,23,21,13,10,10,10,10
764,2006,Villanova,5,5,4,4,4,3,3,3,3,3,8,6,4,4,4,2,4,2,3,2,3
765,2006,Wake Forest,18,19,24,22,20,16,22,22,23,0,0,0,0,0,0,0,0,0,0,16,0
792,2006,Washington,0,0,25,18,13,11,9,7,10,13,10,10,16,21,20,17,14,12,17,7,17
793,2006,West Virginia,14,14,13,0,0,0,0,25,24,16,12,9,11,9,11,14,16,19,22,9,22
818,2006,Wisconsin,0,0,0,0,0,0,0,24,0,21,15,23,0,0,0,0,0,0,0,15,0
