,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,week19,week20,max,final
14,2008,Arizona,17,17,0,0,22,21,19,17,21,0,0,0,0,0,0,0,0,0,0,0,17,0
24,2008,Arizona State,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0,22,0
37,2008,Arkansas,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
55,2008,BYU,0,0,0,21,20,25,21,20,0,0,0,0,0,0,0,0,0,0,24,0,20,0
73,2008,Baylor,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,25,0
91,2008,Butler,0,25,22,16,13,18,16,16,16,14,12,15,12,10,9,8,14,14,12,11,8,11
110,2008,Clemson,0,0,24,18,18,15,15,21,19,18,24,0,0,0,0,0,0,24,0,22,15,22
128,2008,Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,23,23,23,23
146,2008,Dayton,0,0,0,0,0,0,0,0,20,17,14,16,0,0,0,0,0,0,0,0,14,0
164,2008,Drake,0,0,0,0,0,0,0,0,0,0,0,22,16,15,14,16,20,20,16,14,14,14
182,2008,Duke,13,13,13,7,6,6,6,10,9,9,7,4,3,2,2,5,7,6,7,9,2,9
200,2008,Florida,0,0,25,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0
218,2008,Georgetown,5,5,5,5,5,5,5,8,7,7,5,9,6,6,8,12,11,11,9,8,5,8
236,2008,Gonzaga,14,14,14,19,17,19,18,0,0,0,0,0,0,0,0,0,24,22,20,24,14,24
237,2008,Indiana,9,8,8,15,15,13,13,13,11,10,9,7,11,14,13,15,12,18,22,0,7,0
255,2008,Kansas,4,4,4,4,3,3,3,3,3,3,3,2,2,4,3,4,6,5,5,4,2,4
273,2008,Kansas State,25,22,18,25,0,0,0,0,0,0,0,0,22,20,18,24,0,0,0,0,18,0
291,2008,Kent State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,23,0
292,2008,Kentucky,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
311,2008,Louisville,6,6,6,12,14,22,0,0,0,0,0,0,0,0,23,18,13,12,13,13,6,13
329,2008,Marquette,11,10,11,13,11,10,10,12,10,15,13,21,17,16,0,25,21,21,25,25,10,25
347,2008,Memphis,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,1,2
365,2008,Miami (FL),0,0,0,0,0,0,22,19,0,25,21,0,0,0,0,0,0,0,0,0,19,0
383,2008,Michigan State,8,12,10,10,9,9,9,7,6,6,11,10,8,11,10,19,19,17,19,18,6,18
401,2008,NC State,21,21,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
402,2008,Notre Dame,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,21,17,19,14,15,14,15
421,2008,Ole Miss,0,0,0,0,0,0,0,22,18,16,18,17,24,0,0,0,0,0,0,0,16,0
440,2008,Oregon,12,11,12,17,19,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
458,2008,Pitt,22,19,17,14,12,11,11,6,13,20,15,13,18,21,22,0,0,0,0,17,6,17
477,2008,Purdue,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,14,16,15,17,20,14,20
496,2008,Rhode Island,0,0,0,0,0,0,0,25,23,22,23,0,0,0,0,0,0,0,0,0,22,0
514,2008,Saint Mary's,0,0,0,0,0,24,0,0,0,0,0,0,21,25,25,23,25,0,0,0,21,0
532,2008,Southern Illinois,24,23,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
551,2008,Stanford,23,20,0,0,0,0,0,0,24,23,0,20,14,9,7,9,8,7,11,10,7,10
570,2008,Syracuse,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
590,2008,Tennessee,7,7,7,11,10,12,12,11,8,8,6,3,7,7,4,2,1,4,4,5,1,5
608,2008,Texas,15,16,15,8,4,4,4,9,14,12,19,12,10,12,11,7,5,9,6,7,4,7
627,2008,Texas A&M,16,15,16,9,16,14,14,14,12,11,10,18,23,18,16,22,0,0,0,0,9,0
645,2008,UCLA,2,2,2,2,7,8,8,5,5,5,4,8,5,5,6,6,4,3,3,3,2,3
662,2008,UConn,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,13,15,13,15,16,13,16
680,2008,UNC,1,1,1,1,1,1,1,1,1,1,1,5,4,3,5,3,3,1,1,1,1,1
697,2008,USC,18,0,0,22,24,0,25,24,22,0,0,0,0,0,0,0,0,0,0,0,18,0
713,2008,Vanderbilt,0,0,0,0,23,20,17,15,15,13,16,14,19,23,24,20,18,16,18,19,13,19
729,2008,Villanova,0,24,20,0,25,23,20,18,17,19,25,18,0,0,0,0,0,0,0,0,17,0
744,2008,Virginia,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
757,2008,Washington State,10,9,9,6,8,7,7,4,4,4,8,6,9,17,21,17,22,23,21,21,4,21
770,2008,West Virginia,0,0,0,0,0,0,24,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0
782,2008,Wisconsin,0,0,0,20,0,0,0,0,25,21,17,11,13,8,15,11,10,10,8,6,6,6
792,2008,Xavier,0,0,0,23,21,17,0,0,0,24,20,23,15,13,12,10,9,8,10,12,8,12
