,year,school_name,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12,week13,week14,week15,week16,week17,week18,max,final
6,2004,Air Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0
11,2004,Arizona,4,4,7,9,7,5,4,3,7,14,9,12,16,14,17,22,21,22,3,22
19,2004,Boston College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25
20,2004,Cincinnati,18,19,19,18,16,14,12,11,10,6,8,10,13,17,15,13,13,11,6,11
31,2004,Creighton,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0
50,2004,Dayton,0,0,0,25,24,23,0,0,0,0,0,0,0,0,0,0,0,0,23,0
73,2004,Duke,2,2,6,4,3,3,2,2,2,1,1,1,1,3,5,3,5,6,1,6
101,2004,Florida,8,8,2,1,15,13,14,14,15,17,22,21,22,0,0,0,0,0,1,0
125,2004,Georgia Tech,0,0,13,10,5,4,3,8,12,11,14,15,15,18,18,19,14,14,3,14
126,2004,Gonzaga,10,16,17,17,13,15,16,16,16,15,10,8,7,6,4,4,3,3,3,3
153,2004,Illinois,13,12,11,14,21,21,20,19,25,0,0,0,0,0,23,18,12,13,11,13
177,2004,Iowa,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
178,2004,Kansas,6,6,1,5,6,12,13,13,14,12,15,20,12,21,20,21,18,16,1,16
201,2004,Kentucky,11,10,9,8,2,2,8,7,5,9,5,9,8,9,9,9,8,2,2,2
225,2004,LSU,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0
226,2004,Louisville,16,17,0,0,20,20,11,10,8,5,4,6,9,10,21,25,0,0,4,0
253,2004,Marquette,23,23,24,22,23,0,25,23,21,0,0,0,0,0,0,0,0,0,21,0
281,2004,Maryland,0,0,0,0,25,24,0,0,0,0,0,0,0,0,0,0,0,19,19,19
282,2004,Memphis,0,0,0,0,0,0,0,0,0,0,0,0,0,23,19,20,23,24,19,24
308,2004,Michigan State,3,3,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
336,2004,Mississippi State,0,0,0,0,0,0,24,22,20,19,11,7,6,4,7,5,4,8,4,8
337,2004,Missouri,5,5,4,3,10,11,23,0,0,0,0,0,0,0,0,0,0,0,3,0
370,2004,NC State,24,25,0,0,0,0,0,0,0,0,0,0,21,13,14,16,17,15,13,15
371,2004,Notre Dame,21,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0
406,2004,Oklahoma,14,14,14,11,8,7,7,6,11,20,25,22,0,0,0,0,0,0,6,0
407,2004,Oklahoma State,25,24,25,0,0,0,0,0,0,24,18,13,10,7,6,8,7,4,4,4
442,2004,Pitt,22,22,22,20,18,16,15,15,13,8,7,4,4,5,3,6,6,9,3,9
443,2004,Providence,0,0,0,0,0,0,0,25,0,0,23,23,24,19,13,12,20,21,12,21
478,2004,Purdue,0,0,20,16,17,22,21,24,0,23,21,0,0,0,0,0,0,0,16,0
479,2004,South Carolina,0,0,0,0,0,0,0,0,0,25,24,25,25,25,0,0,0,23,23,23
511,2004,Southern Illinois,0,0,0,0,0,0,0,0,0,0,0,0,23,20,16,15,24,0,15,0
512,2004,St. Joseph's,17,13,12,12,11,10,10,9,6,3,3,3,3,2,2,2,1,5,1,5
542,2004,Stanford,19,20,21,13,9,6,5,4,3,2,2,2,2,1,1,1,2,1,1,1
543,2004,Syracuse,7,7,16,19,19,17,17,17,17,13,20,18,0,0,0,24,19,20,7,20
578,2004,Texas,12,11,8,6,11,18,19,18,18,16,16,11,11,11,10,10,11,12,6,12
579,2004,Texas Tech,0,0,0,0,0,0,0,0,22,18,13,19,18,22,25,0,0,0,13,0
611,2004,UConn,1,1,3,2,1,1,1,1,1,4,6,5,5,8,8,7,9,7,1,7
645,2004,UNC,9,9,10,7,4,9,9,12,9,7,12,17,14,16,12,14,16,18,4,18
646,2004,Utah State,0,0,0,0,0,0,0,0,0,0,0,24,19,0,24,23,22,25,19,25
675,2004,Vanderbilt,0,0,0,0,0,25,22,20,23,22,0,0,0,0,0,0,0,0,20,0
676,2004,Wake Forest,20,18,18,15,14,8,6,5,4,10,19,16,20,15,11,11,15,17,4,17
708,2004,Wisconsin,15,15,15,23,22,19,18,21,19,21,17,14,17,12,22,17,10,10,10,10
