,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,60th,52nd,202nd,99th,87th,31st,211th,205th,29th,307th,11th,269th,63rd,7th,113th,137th,13th,71st,9th,44th,98th,175th,wichita-state,team_stats
1,179th,129th,40th,160th,115th,146th,119th,265th,30th,331st,58th,254th,105th,262nd,85th,279th,58th,147th,112th,333rd,139th,133rd,western-michigan,team_stats
2,331st,343rd,109th,201st,143rd,139th,162nd,287th,240th,281st,146th,231st,150th,36th,191st,127th,72nd,208th,119th,118th,227th,110th,xavier,team_stats
3,13th,143rd,165th,66th,165th,209th,131st,13th,58th,26th,206th,49th,72nd,71st,93rd,18th,294th,35th,23rd,98th,121st,68th,wofford,team_stats
4,69th,102nd,330th,339th,347th,82nd,349th,93rd,162nd,92nd,132nd,343rd,39th,304th,27th,176th,9th,290th,40th,24th,253rd,308th,wisconsin,team_stats
5,55th,1st,9th,117th,259th,69th,309th,1st,118th,1st,126th,148th,42nd,197th,34th,56th,177th,39th,76th,29th,346th,16th,weber-state,team_stats
6,79th,252nd,176th,66th,65th,7th,229th,164th,71st,240th,9th,251st,25th,21st,45th,91st,85th,38th,1st,140th,146th,136th,virginia,team_stats
7,142nd,322nd,344th,225th,284th,187th,284th,47th,19th,120th,156th,244th,164th,39th,205th,229th,88th,181st,54th,227th,1st,337th,virginia-commonwealth,team_stats
8,198th,7th,218th,139th,104th,16th,239th,248th,245th,226th,37th,256th,198th,225th,184th,189th,69th,166th,78th,149th,50th,213th,villanova,team_stats
9,342nd,70th,334th,329th,217th,181st,215th,351st,184th,351st,125th,339th,183rd,64th,221st,258th,79th,338th,187th,154th,11th,322nd,ucla,team_stats
10,78th,129th,319th,90th,64th,21st,191st,236th,229th,223rd,39th,210th,317th,120th,322nd,210th,35th,194th,109th,184th,41st,309th,tulsa,team_stats
11,273rd,234th,265th,245th,135th,15th,279th,336th,239th,335th,29th,330th,295th,135th,308th,295th,46th,305th,200th,291st,190th,291st,texas,team_stats
12,323rd,279th,149th,345th,343rd,199th,339th,256th,276th,216th,251st,336th,39th,117th,41st,284th,25th,316th,275th,295th,241st,219th,texas-southern,team_stats
13,92nd,289th,154th,251st,274th,36th,330th,124th,190th,114th,70th,307th,69th,211th,70th,178th,32nd,183rd,18th,154th,174th,165th,tennessee,team_stats
14,261st,95th,86th,25th,3rd,70th,15th,287th,185th,298th,57th,68th,33rd,37th,47th,158th,217th,25th,8th,7th,66th,114th,syracuse,team_stats
15,67th,231st,83rd,99th,222nd,212th,194th,8th,179th,6th,263rd,51st,298th,120th,312th,27th,48th,130th,36th,83rd,9th,43rd,stephen-f-austin,team_stats
16,324th,35th,310th,279th,242nd,78th,300th,301st,205th,303rd,99th,316th,235th,280th,208th,189th,16th,300th,123rd,165th,146th,281st,stanford,team_stats
17,63rd,333rd,273rd,73rd,135th,18th,278th,66th,5th,191st,8th,263rd,35th,60th,41st,234th,50th,34th,2nd,13th,28th,264th,san-diego-state,team_stats
18,303rd,15th,211th,254th,210th,89th,269th,284th,170th,298th,93rd,293rd,38th,139th,37th,152nd,133rd,193rd,108th,302nd,300th,185th,saint-josephs,team_stats
19,50th,335th,302nd,119th,256th,39th,318th,3rd,6th,28th,32nd,251st,91st,102nd,101st,187th,119th,57th,19th,342nd,31st,268th,saint-louis,team_stats
20,223rd,156th,229th,324th,337th,194th,332nd,109th,95th,140th,205th,321st,114th,118th,123rd,249th,72nd,294th,166th,184th,224th,241st,providence,team_stats
21,181st,321st,89th,153rd,149th,68th,225th,176th,82nd,236th,64th,246th,134th,223rd,126th,181st,90th,138th,20th,46th,89th,125th,pittsburgh,team_stats
22,223rd,246th,138th,272nd,287th,218th,272nd,148th,75th,201st,193rd,265th,340th,238th,337th,258th,63rd,319th,281st,33rd,63rd,192nd,oregon,team_stats
23,192nd,149th,305th,305th,268th,193rd,263rd,296th,172nd,313th,181st,295th,257th,275th,234th,229th,72nd,315th,308th,159th,118th,284th,oklahoma,team_stats
24,79th,234th,323rd,210th,204th,54th,287th,205th,93rd,263rd,54th,289th,270th,107th,277th,314th,25th,240th,161st,234th,34th,331st,oklahoma-state,team_stats
25,21st,102nd,297th,134th,201st,83rd,256th,61st,7th,164th,44th,249th,21st,254th,17th,187th,85th,52nd,12th,4th,22nd,259th,ohio-state,team_stats
26,72nd,1st,14th,60th,31st,56th,83rd,256th,301st,184th,104th,98th,167th,348th,100th,22nd,222nd,88th,64th,36th,227th,7th,north-dakota-state,team_stats
27,86th,295th,223rd,233rd,225th,109th,259th,205th,50th,284th,79th,286th,250th,44th,286th,292nd,41st,245th,165th,194th,55th,263rd,north-carolina,team_stats
28,181st,242nd,282nd,290th,306th,132nd,315th,137th,60th,201st,121st,311th,324th,258th,318th,343rd,53rd,314th,160th,217th,145th,332nd,north-carolina-state,team_stats
29,15th,316th,40th,8th,11th,10th,82nd,102nd,16th,220th,5th,114th,213th,134th,223rd,270th,92nd,28th,10th,118th,10th,127th,north-carolina-central,team_stats
30,127th,70th,134th,164th,84th,5th,272nd,314th,202nd,317th,10th,310th,87th,313th,59th,226th,53rd,153rd,71st,149th,312th,175th,new-mexico,team_stats
31,28th,47th,61st,303rd,333rd,9th,350th,26th,101st,34th,27th,344th,224th,325th,174th,345th,2nd,280th,96th,189th,181st,245th,new-mexico-state,team_stats
32,50th,84th,258th,39th,43rd,155th,54th,102nd,45th,162nd,92nd,62nd,183rd,84th,210th,78th,214th,50th,53rd,36th,181st,181st,nebraska,team_stats
33,252nd,38th,317th,350th,350th,344th,342nd,16th,127th,17th,346th,283rd,154th,331st,107th,194th,214th,329th,334th,133rd,91st,299th,mount-st-marys,team_stats
34,206th,283rd,334th,311th,310th,235th,302nd,174th,34th,276th,176th,307th,224th,344th,164th,243rd,25th,303rd,195th,336th,80th,320th,milwaukee,team_stats
35,259th,77th,231st,331st,336th,248th,319th,159th,52nd,244th,218th,328th,21st,322nd,13th,215th,174th,272nd,51st,87th,175th,231st,michigan,team_stats
36,179th,136th,308th,242nd,147th,28th,275th,330th,112th,337th,21st,334th,322nd,320th,301st,253rd,98th,313th,63rd,262nd,77th,303rd,michigan-state,team_stats
37,239th,129th,237th,236th,171st,97th,225th,296th,18th,346th,28th,322nd,266th,177th,263rd,295th,63rd,275th,89th,189th,72nd,276th,mercer,team_stats
38,287th,291st,194th,321st,339th,201st,334th,76th,24th,157th,182nd,325th,66th,5th,123rd,329th,81st,265th,193rd,350th,28th,279th,memphis,team_stats
39,309th,349th,196th,276th,322nd,114th,338th,37th,28th,79th,113th,302nd,169th,58th,201st,298th,144th,227th,209th,209th,80th,249th,massachusetts,team_stats
40,134th,340th,231st,85th,167th,38th,282nd,34th,89th,38th,50th,190th,347th,182nd,345th,314th,8th,201st,174th,227th,17th,285th,manhattan,team_stats
41,123rd,90th,319th,181st,256th,45th,317th,47th,2nd,169th,20th,299th,205th,81st,234th,335th,11th,167th,15th,40th,1st,337th,louisville,team_stats
42,192nd,350th,286th,333rd,334th,223rd,325th,176th,125th,213th,228th,326th,327th,146th,330th,298th,18th,340th,300th,251st,35th,309th,louisiana-lafayette,team_stats
43,210th,234th,244th,343rd,341st,53rd,348th,256th,67th,311th,59th,349th,292nd,126th,309th,337th,1st,345th,81st,321st,113th,316th,kentucky,team_stats
