,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,high_school,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,0.8,0.8,SR,4.6,.579,3.4,5.8,.373,1.8,4.9,.484,5.2,10.7,.844,4.2,5.0,36,36,6-8,Pine Bush,"Middletown, NY",27.4,11,1.3,2.3,Cleanthony Early,F,16.4,,0.8," 16.4 Pts, 5.9 Reb, 0.8 Ast",wichita-state,1.9,5.9,per_game,219
1,3.1,0.6,SO,3.1,.553,2.2,3.9,.380,1.9,5.0,.456,4.1,8.9,.842,3.1,3.7,36,36,6-4,Scott City HS,"Scott City, KS",29.9,31,0.8,1.8,Ron Baker,G,13.1,,1.4," 13.1 Pts, 3.8 Reb, 3.1 Ast",wichita-state,1.7,3.8,per_game,220
2,5.4,0.1,SO,3.1,.516,2.7,5.2,.418,1.1,2.5,.484,3.7,7.7,.830,3.1,3.8,36,36,6-0,Auburn HS,"Rockford, IL",31.7,23,0.7,1.9,Fred VanVleet,G,11.6,,1.9," 11.6 Pts, 3.9 Reb, 5.4 Ast",wichita-state,1.3,3.9,per_game,195
3,2.4,0.3,JR,2.7,.509,2.4,4.6,.371,1.2,3.2,.452,3.6,7.9,.692,2.0,2.9,36,36,6-3,Whitefield Academy,"Marietta, GA",30.1,32,1.3,2.0,Tekele Cotton,G,10.3,,1.4," 10.3 Pts, 4.0 Reb, 2.4 Ast",wichita-state,1.1,4.0,per_game,205
4,0.1,0.0,JR,0.0,.500,0.1,0.2,.000,0.0,0.1,.333,0.1,0.3,1.000,0.2,0.2,11,0,6-3,Mater Dei,"Anaheim Hills, CA",1.8,13,0.1,0.0,David Brown,G,0.4,,0.0," 0.4 Pts, 0.1 Reb, 0.1 Ast",ucla,0.0,0.1,per_game,185
5,0.3,0.8,JR,3.1,.524,2.8,5.3,,0.0,0.0,.524,2.8,5.3,.641,2.3,3.7,35,6,6-7,Firestone,"Akron, OH",18.3,12,1.4,2.0,Darius Carter,F,7.9,,0.3," 7.9 Pts, 4.5 Reb, 0.3 Ast",wichita-state,0.5,4.5,per_game,245
6,1.1,1.5,SR,6.5,.562,5.9,10.5,.182,0.2,1.1,.527,6.1,11.5,.770,3.8,4.9,31,31,6-11,Lawrence,"Paw Paw, MI",31.8,21,2.4,2.4,Shayne Whittington,C,16.1,,0.8," 16.1 Pts, 8.9 Reb, 1.1 Ast",western-michigan,1.9,8.9,per_game,250
7,0.2,0.8,SR,3.2,.552,2.2,4.0,,0.0,0.0,.552,2.2,4.0,.593,1.4,2.4,36,11,6-9,Assumption,,16.7,0,1.8,1.4,Chadrack Lufile,F,5.9,,0.3," 5.9 Pts, 5.0 Reb, 0.2 Ast",wichita-state,1.1,5.0,per_game,266
8,2.9,0.5,SO,3.9,.606,4.2,6.8,.100,0.0,0.3,.585,4.2,7.2,.653,3.4,5.2,33,33,6-6,Warren De La Salle HS,"Macomb, MI",29.6,2,1.8,2.7,Connar Tava,F,11.8,,1.2," 11.8 Pts, 5.7 Reb, 2.9 Ast",western-michigan,3.3,5.7,per_game,235
9,2.3,0.1,JR,2.0,.422,0.8,1.9,.413,1.3,3.2,.417,2.1,5.1,.726,2.3,3.2,33,33,6-3,Lowell,"Lowell, IN",33.3,22,0.2,2.5,Austin Richie,G,7.9,,0.9," 7.9 Pts, 2.2 Reb, 2.3 Ast",western-michigan,1.3,2.2,per_game,185
10,4.2,0.2,SO,2.2,.491,5.4,10.9,.388,0.6,1.4,.479,5.9,12.4,.668,4.6,6.9,34,34,6-3,Brewster Academy (NH),"Cincinnati, OH",35.3,0,0.4,2.1,Semaj Christon,G,17.0,2012,1.3," 17.0 Pts, 2.7 Reb, 4.2 Ast",xavier,2.6,2.7,per_game,190
11,0.6,0.3,SR,1.7,.486,1.0,2.1,.253,0.6,2.4,.360,1.6,4.5,.587,1.2,2.1,36,0,6-6,Godby (FL),,15.2,15,0.6,1.3,Nick Wiggins,G,5.1,,0.3," 5.1 Pts, 2.3 Reb, 0.6 Ast",wichita-state,0.8,2.3,per_game,192
12,0.9,0.1,FR,2.6,.500,1.9,3.7,.317,0.7,2.1,.435,2.5,5.8,.677,1.4,2.1,29,24,6-6,Garfield HS,"Seattle, WA",23.9,1,1.2,2.0,Tucker Haymond,G,7.1,,0.5," 7.1 Pts, 3.8 Reb, 0.9 Ast",western-michigan,1.5,3.8,per_game,220
13,1.0,0.3,JR,4.1,.524,2.3,4.4,.373,1.5,4.1,.452,3.8,8.5,.769,2.5,3.3,33,30,6-6,Lawrence North/Mountain State Academy (WV),"Indianapolis, IN",28.2,20,1.1,2.8,Justin Martin,F,11.7,2010,0.8," 11.7 Pts, 5.2 Reb, 1.0 Ast",xavier,1.9,5.2,per_game,205
14,3.0,0.6,JR,4.4,.441,3.5,7.9,.382,2.4,6.2,.415,5.8,14.1,.675,1.6,2.4,33,22,6-1,Walton,"Marietta, GA",30.6,2,0.6,2.2,Karl Cochran,G,15.7,,1.7," 15.7 Pts, 5.0 Reb, 3.0 Ast",wofford,1.9,5.0,per_game,175
15,0.2,1.3,SR,1.9,.452,1.1,2.3,,0.0,0.0,.452,1.1,2.3,.500,0.5,1.0,36,19,6-9,Christian Life Center Academy,,12.9,20,0.9,2.2,Kadeem Coleby,C,2.6,,0.1," 2.6 Pts, 2.8 Reb, 0.2 Ast",wichita-state,0.6,2.8,per_game,251
