,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,211th,25th,233rd,264th,207th,86th,272nd,301st,161st,317th,76th,307th,161st,93rd,177th,234th,112th,264th,269th,183rd,320th,241st,ucla,team_stats
1,236th,274th,113th,197th,110th,159th,106th,316th,165th,323rd,113th,242nd,83rd,76th,108th,230th,222nd,189th,169th,49th,160th,158th,virginia-tech,team_stats
2,335th,148th,328th,346th,346th,151st,346th,265th,21st,332nd,107th,350th,241st,334th,204th,301st,24th,346th,114th,138th,31st,327th,villanova,team_stats
3,299th,287th,140th,317th,274th,183rd,281st,327th,97th,343rd,120th,330th,141st,348th,82nd,86th,8th,316th,239th,326th,246th,113th,xavier,team_stats
4,136th,128th,277th,139th,100th,39th,185th,252nd,160th,269th,48th,242nd,94th,169th,102nd,104th,19th,125th,29th,209th,16th,223rd,wright-state,team_stats
5,22nd,199th,34th,122nd,57th,38th,126th,288th,266th,271st,67th,199th,216th,264th,199th,30th,71st,176th,152nd,175th,280th,26th,wichita-state,team_stats
6,3rd,48th,86th,1st,3rd,4th,25th,46th,10th,129th,3rd,30th,6th,285th,3rd,48th,321st,1st,1st,2nd,164th,56th,virginia,team_stats
7,245th,339th,307th,177th,95th,26th,200th,306th,323rd,239th,90th,238th,349th,183rd,349th,297th,29th,291st,100th,209th,3rd,308th,west-virginia,team_stats
8,39th,319th,197th,116th,115th,18th,232nd,174th,39th,261st,11th,270th,313th,117th,316th,290th,1st,196th,16th,291st,7th,245th,texas-tech,team_stats
9,136th,119th,255th,223rd,245th,90th,294th,122nd,85th,168th,82nd,279th,43rd,182nd,41st,250th,154th,151st,80th,78th,180th,263rd,texas,team_stats
10,344th,333rd,335th,348th,347th,169th,348th,286th,278th,253rd,248th,346th,247th,5th,289th,346th,3rd,349th,328th,133rd,177th,347th,texas-southern,team_stats
11,319th,312th,225th,266th,245th,32nd,317th,252nd,48th,311th,27th,329th,108th,44th,150th,301st,134th,237th,127th,304th,280th,275th,texas-am,team_stats
12,318th,323rd,14th,271st,258th,195th,261st,228th,312th,133rd,270th,233rd,157th,281st,139th,73rd,139th,249th,256th,217th,215th,22nd,texas-christian,team_stats
13,52nd,206th,167th,81st,125th,42nd,217th,62nd,22nd,139th,30th,192nd,288th,162nd,285th,312th,50th,120th,25th,141st,66th,238th,tennessee,team_stats
14,347th,235th,211th,107th,45th,19th,117th,310th,22nd,345th,5th,288th,224th,279th,206th,328th,43rd,171st,10th,307th,87th,287th,syracuse,team_stats
15,209th,283rd,140th,57th,54th,75th,96th,158th,236th,123rd,104th,85th,346th,42nd,350th,177th,13th,191st,64th,349th,1st,148th,stephen-f-austin,team_stats
16,248th,305th,199th,118th,79th,180th,79th,245th,30th,317th,69th,192nd,306th,202nd,300th,250th,67th,204th,135th,78th,61st,231st,st-bonaventure,team_stats
17,102nd,69th,334th,325th,301st,144th,314th,315th,92nd,339th,101st,338th,77th,216th,71st,116th,56th,304th,226th,41st,292nd,293rd,south-dakota-state,team_stats
18,185th,199th,147th,282nd,269th,189th,275th,228th,116th,271st,181st,294th,174th,251st,158th,234th,64th,267th,217th,183rd,167th,179th,seton-hall,team_stats
19,177th,187th,105th,99th,89th,95th,124th,181st,51st,258th,54th,186th,78th,266th,62nd,91st,103rd,75th,58th,183rd,135th,88th,san-diego-state,team_stats
20,116th,257th,177th,149th,117th,131st,132nd,217th,188th,217th,128th,172nd,157th,339th,113th,150th,164th,149th,20th,160th,87th,165th,radford,team_stats
21,71st,148th,265th,128th,254th,219th,241st,4th,83rd,6th,251st,80th,312th,292nd,295th,104th,186th,151st,80th,112th,13th,211th,rhode-island,team_stats
22,189th,87th,190th,284th,295th,27th,332nd,181st,90th,235th,37th,331st,25th,49th,40th,299th,32nd,223rd,24th,127th,124th,252nd,purdue,team_stats
23,193rd,290th,316th,292nd,308th,261st,289th,137th,33rd,219th,208th,292nd,239th,282nd,222nd,260th,47th,285th,183rd,304th,87th,308th,providence,team_stats
24,7th,102nd,322nd,139th,245th,84th,297th,8th,2nd,87th,44th,246th,188th,299th,158th,35th,144th,104th,87th,49th,226th,236th,pennsylvania,team_stats
25,261st,323rd,240th,334th,307th,155th,318th,319th,258th,303rd,200th,324th,64th,112th,77th,312th,220th,315th,337th,267th,199th,287th,oklahoma,team_stats
26,341st,351st,240th,338th,230th,21st,311th,351st,321st,349th,75th,344th,100th,40th,138th,277th,75th,336th,198th,307th,160th,263rd,north-carolina,team_stats
27,85th,62nd,98th,128th,75th,41st,150th,265th,192nd,269th,56th,219th,86th,106th,103rd,100th,170th,118th,52nd,49th,195th,89th,ohio-state,team_stats
28,224th,300th,146th,287th,336th,313th,300th,15th,18th,50th,296th,226th,213th,114th,224th,279th,166th,242nd,246th,212th,63rd,203rd,north-carolina-state,team_stats
29,18th,21st,155th,21st,33rd,60th,59th,92nd,17th,192nd,21st,82nd,273rd,263rd,264th,23rd,211th,50th,5th,336th,20th,75th,north-carolina-greensboro,team_stats
30,245th,148th,164th,200th,166th,79th,244th,208th,72nd,281st,54th,281st,233rd,200th,231st,267th,278th,221st,96th,78th,186th,207th,north-carolina-central,team_stats
31,5th,31st,179th,50th,79th,15th,200th,62nd,11th,170th,9th,196th,150th,171st,156th,52nd,161st,47th,13th,27th,99th,123rd,new-mexico-state,team_stats
