,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,194th,153rd,44th,71st,45th,35th,113th,208th,162nd,220th,44th,156th,140th,330th,100th,48th,95th,78th,76th,75th,250th,27th,xavier,team_stats
1,60th,192nd,112th,235th,266th,226th,242nd,108th,212th,103rd,249th,198th,292nd,304th,270th,169th,62nd,265th,179th,156th,138th,129th,wofford,team_stats
2,15th,1st,138th,66th,92nd,71st,152nd,77th,310th,36th,153rd,72nd,70th,343rd,28th,10th,233rd,39th,4th,2nd,337th,44th,wisconsin,team_stats
3,64th,141st,69th,155th,209th,149th,224th,51st,4th,187th,63rd,228th,173rd,189th,162nd,302nd,32nd,138th,79th,207th,273rd,190th,west-virginia,team_stats
4,338th,337th,345th,342nd,342nd,222nd,339th,260th,137th,281st,228th,338th,268th,99th,281st,343rd,8th,340th,138th,283rd,9th,345th,virginia-commonwealth,team_stats
5,98th,105th,280th,299th,316th,75th,329th,95th,92nd,130th,95th,316th,336th,111th,339th,296th,84th,322nd,253rd,192nd,42nd,294th,washington,team_stats
6,247th,246th,112th,134th,102nd,77th,159th,219th,48th,272nd,43rd,227th,198th,262nd,173rd,183rd,102nd,149th,95th,125th,266th,134th,villanova,team_stats
7,120th,234th,184th,302nd,304th,86th,319th,186th,27th,264th,60th,323rd,68th,194th,59th,305th,55th,256th,168th,278th,243rd,259th,vanderbilt,team_stats
8,55th,111th,49th,47th,62nd,13th,190th,104th,11th,224th,3rd,219th,94th,95th,107th,71st,75th,41st,5th,88th,227th,42nd,utah-state,team_stats
9,166th,111th,112th,271st,304th,37th,328th,68th,209th,48th,90th,295th,121st,75th,144th,269th,93rd,220th,119th,288th,234th,190th,ucla,team_stats
10,26th,161st,268th,266th,312th,5th,341st,36th,6th,116th,6th,329th,137th,133rd,144th,311th,7th,210th,33rd,109th,112th,299th,texas,team_stats
11,247th,204th,298th,260th,166th,178th,169th,329th,113th,336th,102nd,287th,227th,182nd,220th,298th,39th,286th,217th,147th,82nd,304th,texas-san-antonio,team_stats
12,67th,333rd,23rd,56th,84th,103rd,120th,77th,34th,142nd,68th,118th,103rd,142nd,109th,73rd,47th,47th,19th,196th,163rd,26th,texas-am,team_stats
13,184th,321st,212th,214th,155th,140th,180th,284th,118th,312th,90th,256th,249th,234th,236th,255th,100th,253rd,163rd,265th,91st,243rd,tennessee,team_stats
14,111th,161st,259th,226th,251st,26th,316th,107th,254th,75th,73rd,273rd,19th,262nd,11th,123rd,216th,125th,37th,42nd,147th,216th,temple,team_stats
15,329th,125th,149th,223rd,136th,43rd,213th,312th,30th,338th,13th,310th,58th,49th,81st,331st,155th,195th,52nd,250th,73rd,268th,syracuse,team_stats
16,324th,295th,138th,134th,34th,177th,38th,325th,315th,294th,187th,118th,218th,219th,196th,174th,57th,192nd,144th,171st,27th,154th,st-johns-ny,team_stats
17,26th,117th,267th,138th,145th,41st,229th,127th,134th,147th,54th,216th,173rd,213th,156th,79th,182nd,136th,42nd,32nd,247th,203rd,southern-california,team_stats
18,145th,125th,212th,247th,266th,15th,322nd,143rd,43rd,212th,16th,319th,52nd,312th,29th,241st,142nd,177th,7th,90th,117th,238th,san-diego-state,team_stats
19,47th,309th,286th,35th,58th,2nd,241st,63rd,14th,151st,2nd,223rd,254th,24th,289th,318th,80th,62nd,12th,307th,77th,307th,saint-peters,team_stats
20,189th,105th,322nd,286th,302nd,58th,326th,108th,15th,222nd,40th,322nd,86th,139th,90th,330th,87th,234th,22nd,42nd,133rd,333rd,richmond,team_stats
21,222nd,192nd,264th,187th,247th,62nd,298th,44th,74th,68th,75th,245th,52nd,198th,45th,153rd,126th,111th,31st,143rd,87th,234th,purdue,team_stats
22,33rd,280th,46th,98th,197th,97th,247th,17th,101st,18th,131st,117th,106th,293rd,84th,20th,257th,51st,49th,67th,285th,20th,princeton,team_stats
23,130th,322nd,11th,125th,120th,20th,229th,167th,71st,214th,20th,239th,74th,85th,86th,157th,46th,87th,21st,29th,297th,30th,pittsburgh,team_stats
24,317th,288th,96th,181st,109th,209th,89th,299th,289th,256th,219th,160th,15th,199th,16th,61st,195th,130th,40th,15th,306th,65th,penn-state,team_stats
25,219th,147th,7th,89th,25th,14th,90th,315th,297th,288th,36th,188th,2nd,5th,7th,84th,142nd,33rd,3rd,140th,274th,14th,old-dominion,team_stats
26,212th,252nd,188th,295th,257th,145th,277th,289th,164th,300th,132nd,300th,1st,339th,1st,126th,34th,190th,10th,6th,13th,166th,ohio-state,team_stats
27,320th,105th,204th,344th,343rd,180th,342nd,293rd,273rd,254th,242nd,342nd,235th,315th,189th,317th,22nd,341st,329th,288th,201st,276th,oakland,team_stats
28,278th,212th,148th,264th,210th,27th,295th,297th,232nd,283rd,52nd,307th,23rd,277th,17th,222nd,34th,203rd,99th,48th,323rd,183rd,notre-dame,team_stats
29,142nd,171st,52nd,33rd,8th,89th,12th,305th,198th,302nd,59th,80th,259th,259th,240th,45th,102nd,114th,105th,147th,158th,32nd,northern-colorado,team_stats
30,306th,221st,335th,339th,325th,44th,338th,341st,111th,342nd,40th,344th,36th,32nd,61st,335th,11th,329th,204th,344th,29th,340th,north-carolina,team_stats
31,230th,262nd,278th,248th,217th,98th,265th,245th,141st,262nd,87th,280th,268th,119th,275th,328th,45th,274th,197th,321st,7th,309th,north-carolina-asheville,team_stats
32,45th,28th,161st,59th,67th,40th,151st,113th,96th,156th,40th,151st,218th,194th,205th,202nd,102nd,90th,47th,21st,23rd,174th,nevada-las-vegas,team_stats
33,275th,83rd,36th,125th,37th,72nd,73rd,315th,283rd,291st,96th,171st,146th,173rd,138th,56th,62nd,152nd,28th,296th,33rd,28th,morehead-state,team_stats
34,282nd,92nd,298th,306th,312th,189th,307th,160th,174th,160th,212th,288th,295th,163rd,296th,325th,107th,314th,271st,143rd,3rd,319th,missouri,team_stats
35,268th,125th,310th,233rd,197th,260th,143rd,260th,42nd,315th,155th,242nd,28th,102nd,35th,109th,212th,174th,39th,6th,236th,263rd,michigan,team_stats
36,151st,204th,228th,222nd,194th,67th,257th,233rd,281st,184th,122nd,247th,207th,37th,248th,148th,166th,231st,125th,229th,231st,197th,michigan-state,team_stats
37,266th,324th,228th,281st,288th,90th,306th,197th,101st,230th,83rd,304th,288th,124th,299th,332nd,69th,296th,186th,332nd,36th,292nd,memphis,team_stats
38,344th,295th,282nd,335th,323rd,194th,320th,334th,254th,326th,214th,332nd,80th,35th,108th,320th,5th,331st,205th,280th,42nd,305th,marquette,team_stats
39,336th,221st,270th,338th,339th,280th,331st,208th,7th,318th,194th,334th,26th,33rd,48th,315th,3rd,319th,311th,250th,65th,300th,long-island-university,team_stats
40,133rd,65th,288th,169th,176th,25th,280th,167th,25th,250th,12th,284th,295th,190th,293rd,336th,186th,228th,74th,294th,12th,321st,louisville,team_stats
41,196th,309th,320th,313th,310th,10th,339th,219th,60th,264th,15th,336th,209th,321st,162nd,318th,40th,306th,54th,162nd,129th,329th,kentucky,team_stats
42,223rd,147th,232nd,312th,298th,47th,324th,273rd,8th,333rd,13th,336th,268th,331st,225th,271st,18th,318th,80th,270th,21st,259th,kansas,team_stats
43,71st,212th,93rd,152nd,197th,63rd,263rd,72nd,225th,52nd,114th,196th,327th,265th,317th,157th,14th,216th,115th,250th,31st,104th,kansas-state,team_stats
44,98th,75th,247th,81st,75th,42nd,164th,143rd,113th,174th,46th,169th,329th,306th,313th,150th,78th,177th,73rd,180th,153rd,219th,indiana-state,team_stats
45,189th,83rd,146th,205th,205th,92nd,252nd,197th,13th,290th,35th,281st,171st,319th,120th,250th,267th,199th,90th,109th,221st,203rd,illinois,team_stats
46,21st,161st,327th,93rd,129th,3rd,287th,81st,36th,144th,4th,254th,153rd,80th,182nd,333rd,75th,83rd,43rd,32nd,38th,337th,hampton,team_stats
47,75th,125th,121st,217th,109th,12th,250th,325th,292nd,313th,33rd,290th,224th,230th,197th,190th,26th,260th,111th,265th,58th,150th,gonzaga,team_stats
48,4th,198th,67th,138th,147th,24th,257th,117th,41st,191st,19th,251st,157th,209th,144th,255th,241st,129th,70th,235th,263rd,150th,georgia,team_stats
49,125th,266th,9th,132nd,170th,70th,232nd,68th,149th,74th,90th,178th,204th,252nd,177th,197th,279th,123rd,121st,258th,310th,36th,georgetown,team_stats
50,125th,192nd,155th,167th,167th,84th,219th,176th,74th,224th,66th,238th,67th,106th,74th,230th,72nd,125th,37th,75th,133rd,194th,george-mason,team_stats
51,203rd,238th,253rd,315th,315th,171st,317th,226th,22nd,306th,109th,326th,40th,72nd,57th,259th,58th,276th,53rd,260th,112th,267th,florida,team_stats
