,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,1.3,0.6,SR,3.5,.566,2.3,4.1,.417,1.5,3.6,.496,3.8,7.7,.853,3.3,3.9,37,16,6-9,"Cincinnati, OH",22.4,1,1.2,2.4,Josh Duncan,F,12.4,,0.4," 12.4 Pts, 4.7 Reb, 1.3 Ast",xavier,1.6,4.7,per_game,238
1,1.7,0.8,SO,4.5,.649,3.7,5.7,.344,0.3,0.9,.609,4.0,6.6,.706,2.6,3.7,37,37,6-8,"Dayton, OH",28.1,5,2.0,2.5,Derrick Brown,F,10.9,,0.9," 10.9 Pts, 6.5 Reb, 1.7 Ast",xavier,1.9,6.5,per_game,227
2,0.8,0.8,SR,4.4,.500,3.8,7.6,.309,0.7,2.3,.456,4.5,9.9,.647,2.7,4.2,36,36,6-11,"Appleton, WI",24.6,32,2.1,1.9,Brian Butch,F,12.4,2003,0.6," 12.4 Pts, 6.6 Reb, 0.8 Ast",wisconsin,1.4,6.6,per_game,235
3,1.5,0.3,JR,3.8,.518,4.0,7.7,,0.0,0.0,.518,4.0,7.7,.669,2.8,4.2,37,28,6-6,"Cincinnati, OH",26.1,20,2.2,2.5,C.J. Anderson,G,10.7,,0.8," 10.7 Pts, 5.9 Reb, 1.5 Ast",xavier,2.3,5.9,per_game,225
4,4.5,0.1,SR,2.4,.440,1.8,4.2,.407,1.6,4.0,.424,3.5,8.2,.868,2.2,2.5,36,36,5-7,"Columbus, OH",30.8,24,0.3,1.4,Drew Lavender,G,10.8,2003,1.0," 10.8 Pts, 2.7 Reb, 4.5 Ast",xavier,1.7,2.7,per_game,153
5,0.9,0.4,JR,2.1,.537,1.2,2.2,.412,2.2,5.4,.448,3.4,7.6,.816,0.8,1.0,37,9,6-6,"Toledo, OH",23.1,11,0.9,2.0,B.J. Raymond,F,9.9,,0.5," 9.9 Pts, 3.0 Reb, 0.9 Ast",xavier,0.8,3.0,per_game,226
6,3.8,0.1,SR,1.7,.389,1.7,4.4,.393,1.2,3.0,.391,2.9,7.4,.823,2.8,3.4,37,37,6-3,"Indianapolis, IN",32.0,34,0.5,1.5,Stanley Burrell,G,9.7,,0.8," 9.7 Pts, 2.2 Reb, 3.8 Ast",xavier,2.3,2.2,per_game,210
7,0.5,0.8,SO,3.0,.562,2.1,3.7,,0.0,0.0,.562,2.1,3.7,.604,1.8,3.0,37,21,6-9,"Philadelphia, PA",18.0,31,2.4,2.5,Jason Love,F,6.0,,0.2," 6.0 Pts, 5.5 Reb, 0.5 Ast",xavier,1.0,5.5,per_game,265
8,0.6,0.1,FR,1.0,.320,0.2,0.7,.370,0.5,1.3,.352,0.7,2.0,.615,0.5,0.7,35,1,6-5,"Greenfield, OH",10.4,25,0.1,1.4,Dante Jackson,G,2.4,,0.6," 2.4 Pts, 1.1 Reb, 0.6 Ast",xavier,0.6,1.1,per_game,195
9,0.6,0.1,SO,0.9,.650,0.4,0.6,.240,0.4,1.5,.357,0.7,2.1,1.000,0.0,0.0,34,0,6-4,"Cincinnati, OH",8.1,3,0.1,0.7,Adrion Graves,G,1.9,2006,0.2," 1.9 Pts, 1.0 Reb, 0.6 Ast",xavier,0.4,1.0,per_game,201
10,0.1,0.2,JR,0.6,.571,0.8,1.3,,0.0,0.0,.571,0.8,1.3,.750,0.6,0.8,16,0,6-9,"Philadelphia, PA",4.3,4,0.4,0.7,Charles Bronson,F,2.1,,0.1," 2.1 Pts, 1.1 Reb, 0.1 Ast",xavier,0.4,1.1,per_game,232
11,2.5,0.1,SO,2.3,.459,2.2,4.9,.314,1.2,3.9,.394,3.5,8.8,.688,3.1,4.5,35,34,6-1,"Queens, NY",30.2,3,0.7,2.2,Trevon Hughes,G,11.2,2006,1.8," 11.2 Pts, 3.1 Reb, 2.5 Ast",wisconsin,2.1,3.1,per_game,193
