,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,opp_pts,pts,school_name,sos,srs,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,55.9,5.3,.522,.402,.305,.413,33,12,4,4,7,2049,2140,American,-4.00,-1.87,19.4,52.2,.564,.636,21,10,11,10
1,62.4,6.3,.540,.321,.304,.406,34,15,10,6,7,2276,2443,Arizona,10.22,14.55,16.4,48.8,.580,.559,19,8,11,6
2,54.0,9.3,.519,.303,.257,.379,35,12,7,1,7,2392,2593,Arkansas,6.73,12.48,18.4,53.1,.549,.657,23,9,15,2
3,58.6,4.0,.517,.373,.317,.443,35,11,4,1,8,2477,2590,Austin Peay,-5.24,-2.21,15.9,48.0,.558,.686,24,16,13,9
4,43.2,7.2,.524,.367,.267,.359,32,11,7,4,4,2396,2601,Baylor,5.75,11.46,14.8,49.9,.561,.656,21,9,12,6
5,62.6,3.3,.537,.471,.231,.332,34,9,2,1,5,2497,2714,Belmont,-3.44,-0.12,17.2,51.1,.564,.735,25,14,14,9
6,60.9,3.8,.577,.353,.260,.393,34,9,4,5,3,2567,2767,Boise State,-2.07,1.60,18.7,51.7,.596,.735,25,12,11,12
7,64.8,6.6,.532,.388,.245,.374,35,8,2,0,5,2213,2580,Brigham Young,1.33,11.82,17.5,53.0,.556,.771,27,14,16,8
8,57.3,4.9,.541,.485,.271,.367,34,4,2,1,2,1985,2339,Butler,2.64,13.00,14.8,48.9,.576,.882,30,16,14,11
9,51.8,2.7,.542,.360,.227,.323,33,9,4,3,5,2398,2700,Cal State Fullerton,-3.06,5.64,15.8,50.7,.568,.727,24,12,11,9
10,53.5,9.4,.518,.332,.193,.309,34,10,6,2,5,2372,2693,Clemson,9.08,18.05,16.7,51.5,.536,.706,24,10,14,7
11,56.2,13.1,.506,.247,.347,.481,33,9,5,1,4,2266,2556,Connecticut,6.76,15.54,16.3,54.2,.553,.727,24,13,16,7
12,44.8,4.0,.437,.240,.265,.372,37,21,9,5,14,2443,2212,Coppin State,-6.20,-14.51,19.1,46.5,.485,.432,16,7,5,4
13,56.3,5.6,.558,.357,.251,.330,28,6,0,1,4,1917,2136,Cornell,-4.74,0.76,17.4,50.3,.591,.786,22,14,12,10
