,opp_ast,opp_blk,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_trb,team_name,type
0,,,273rd,,,,,,,42nd,316th,,,,,274th,53rd,,234th,xavier,team_stats
1,,,100th,,,,,,,5th,254th,,,,,32nd,1st,,170th,wisconsin,team_stats
2,,,47th,,,,,,,20th,163rd,,,,,48th,8th,,175th,winthrop,team_stats
3,,,200th,,,,,,,103rd,237th,,,,,296th,125th,,274th,western-kentucky,team_stats
4,,,255th,,,,,,,88th,287th,,,,,276th,55th,,317th,west-virginia,team_stats
5,,,332nd,,,,,,,179th,324th,,,,,330th,299th,,301st,vanderbilt,team_stats
6,,,215th,,,,,,,164th,223rd,,,,,303rd,195th,,276th,villanova,team_stats
7,,,93rd,,,,,,,57th,166th,,,,,39th,3rd,,101st,washington-state,team_stats
8,,,303rd,,,,,,,9th,336th,,,,,315th,82nd,,338th,texas,team_stats
9,,,193rd,,,,,,,27th,286th,,,,,240th,175th,,252nd,texas-arlington,team_stats
10,,,313th,,,,,,,75th,328th,,,,,257th,10th,,202nd,ucla,team_stats
11,,,314th,,,,,,,134th,319th,,,,,325th,203rd,,336th,tennessee,team_stats
12,,,257th,,,,,,,14th,321st,,,,,201st,23rd,,252nd,texas-am,team_stats
13,,,260th,,,,,,,113th,279th,,,,,270th,167th,,245th,temple,team_stats
14,,,223rd,,,,,,,19th,309th,,,,,201st,23rd,,230th,stanford,team_stats
15,,,170th,,,,,,,13th,285th,,,,,117th,58th,,194th,southern-california,team_stats
16,,,182nd,,,,,,,84th,234th,,,,,158th,94th,,80th,south-alabama,team_stats
17,,,275th,,,,,,,197th,269th,,,,,255th,61st,,266th,san-diego,team_stats
18,,,331st,,,,,,,257th,313th,,,,,302nd,230th,,331st,siena,team_stats
19,,,144th,,,,,,,35th,239th,,,,,77th,57th,,207th,saint-marys-ca,team_stats
20,,,116th,,,,,,,160th,113th,,,,,124th,42nd,,212th,purdue,team_stats
21,4th,3rd,244th,4th,5th,4th,6th,4th,5th,167th,238th,2nd,2nd,3rd,3rd,254th,140th,4th,166th,saint-josephs,team_stats
22,,,232nd,,,,,,,207th,221st,,,,,225th,154th,,135th,portland-state,team_stats
23,,,316th,,,,,,,85th,326th,,,,,298th,88th,,313th,pittsburgh,team_stats
24,,,125th,,,,,,,26th,233rd,,,,,82nd,34th,,215th,oral-roberts,team_stats
25,,,267th,,,,,,,214th,247th,,,,,267th,263rd,,104th,oregon,team_stats
26,,,226th,,,,,,,59th,276th,,,,,216th,64th,,250th,oklahoma,team_stats
27,,,311th,,,,,,,50th,330th,,,,,256th,197th,,281st,notre-dame,team_stats
28,,,341st,,,,,,,118th,341st,,,,,341st,262nd,,325th,north-carolina,team_stats
29,,,185th,,,,,,,46th,264th,,,,,175th,39th,,326th,nevada-las-vegas,team_stats
30,1st,2nd,239th,6th,3rd,6th,1st,1st,2nd,100th,271st,5th,5th,5th,2nd,259th,147th,3rd,297th,mount-st-marys,team_stats
31,,,198th,,,,,,,207th,194th,,,,,170th,104th,,279th,mississippi-valley-state,team_stats
32,,,211th,,,,,,,2nd,332nd,,,,,209th,96th,,314th,mississippi-state,team_stats
33,,,218th,,,,,,,29th,303rd,,,,,229th,44th,,166th,michigan-state,team_stats
34,,,236th,,,,,,,39th,302nd,,,,,263rd,151st,,300th,miami-fl,team_stats
35,,,262nd,,,,,,,151st,261st,,,,,231st,159th,,272nd,maryland-baltimore-county,team_stats
36,,,326th,,,,,,,12th,340th,,,,,319th,31st,,340th,memphis,team_stats
37,,,207th,,,,,,,64th,265th,,,,,237th,79th,,288th,marquette,team_stats
38,,,183rd,,,,,,,8th,306th,,,,,199th,22nd,,311th,louisville,team_stats
39,,,28th,,,,,,,18th,130th,,,,,75th,98th,,57th,kentucky,team_stats
40,,,150th,,,,,,,53rd,228th,,,,,163rd,30th,,217th,kent-state,team_stats
41,,,220th,,,,,,,108th,251st,,,,,240th,175th,,165th,kansas-state,team_stats
42,,,298th,,,,,,,3rd,337th,,,,,314th,21st,,310th,kansas,team_stats
43,,,183rd,,,,,,,52nd,254th,,,,,154th,91st,,101st,indiana,team_stats
44,,,134th,,,,,,,21st,253rd,,,,,119th,63rd,,139th,gonzaga,team_stats
45,,,267th,,,,,,,122nd,287th,,,,,252nd,138th,,266th,georgia,team_stats
46,,,23rd,,,,,,,1st,227th,,,,,41st,6th,,173rd,georgetown,team_stats
47,,,196th,,,,,,,87th,242nd,,,,,126th,43rd,,110th,george-mason,team_stats
48,,,317th,,,,,,,152nd,315th,,,,,279th,194th,,318th,duke,team_stats
49,,,165th,,,,,,,156th,183rd,,,,,84th,37th,,93rd,drake,team_stats
50,,,215th,,,,,,,96th,252nd,,,,,240th,49th,,281st,davidson,team_stats
51,,,31st,,,,,,,121st,50th,,,,,21st,160th,,21st,cornell,team_stats
52,,,280th,,,,,,,6th,333rd,,,,,235th,166th,,278th,connecticut,team_stats
53,,,289th,,,,,,,177th,279th,,,,,308th,107th,,333rd,coppin-state,team_stats
54,,,302nd,,,,,,,168th,300th,,,,,280th,199th,,307th,clemson,team_stats
55,,,312th,,,,,,,291st,259th,,,,,294th,265th,,256th,cal-state-fullerton,team_stats
56,,,215th,,,,,,,11th,317th,,,,,198th,50th,,293rd,brigham-young,team_stats
57,,,334th,,,,,,,198th,325th,,,,,336th,311th,,242nd,boise-state,team_stats
58,,,108th,,,,,,,137th,120th,,,,,44th,7th,,135th,butler,team_stats
59,,,325th,,,,,,,272nd,297th,,,,,323rd,279th,,290th,belmont,team_stats
60,,,265th,,,,,,,140th,275th,,,,,293rd,304th,,294th,baylor,team_stats
61,,,321st,,,,,,,301st,261st,,,,,319th,219th,,292nd,austin-peay,team_stats
62,,,277th,,,,,,,116th,300th,,,,,289th,158th,,226th,arkansas,team_stats
63,,,285th,,,,,,,195th,272nd,,,,,243rd,130th,,191st,arizona,team_stats
64,,,48th,,,,,,,62nd,99th,,,,,83rd,36th,,43rd,american,team_stats
