,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,1,Kentucky,SEC,38-2,32.59,122.2,89.6,65.4,0.032,7.99,106.8,98.8,-1.06
1,2.0,2,Ohio St.,B10,31-8,30.07,118.1,88.1,66.9,-0.05,10.1,108.9,98.8,-3.34
2,3.0,1,Michigan St.,B10,29-8,27.87,114.7,86.9,64.3,-0.027,10.21,108.6,98.4,-1.07
3,4.0,2,Kansas,B12,32-7,26.91,114.0,87.1,66.3,0.027,11.15,108.8,97.6,5.21
4,5.0,1,Syracuse,BE,34-3,26.04,117.7,91.7,64.4,0.06,7.98,107.0,99.0,-2.11
5,6.0,1,North Carolina,ACC,32-6,25.44,116.1,90.7,70.9,0.016,7.41,107.2,99.8,1.89
6,7.0,2,Missouri,B12,30-5,25.28,125.1,99.8,65.4,0.017,5.8,105.7,99.9,-6.18
7,8.0,4,Wisconsin,B10,26-10,24.09,113.7,89.6,57.5,-0.018,8.8,107.6,98.8,-3.88
8,9.0,4,Indiana,B10,27-9,22.55,120.2,97.6,66.7,0.007,8.41,107.4,99.0,-4.96
9,10.0,7,Florida,SEC,26-11,22.47,120.4,98.0,64.2,-0.043,7.18,105.4,98.2,-1.67
10,11.0,5,Wichita St.,MVC,27-6,22.36,116.1,93.8,65.7,-0.017,3.97,105.1,101.2,3.5
11,12.0,8,Memphis,CUSA,26-9,21.9,114.2,92.3,67.5,-0.064,5.1,104.9,99.8,6.96
12,13.0,3,Baylor,B12,30-8,21.29,116.0,94.7,65.6,0.059,9.61,108.1,98.5,-2.7
13,14.0,9,Saint Louis,A10,26-8,21.2,111.9,90.7,61.9,-0.056,4.36,105.0,100.6,-2.55
14,15.0,3,Georgetown,BE,24-9,21.05,111.2,90.1,62.1,-0.014,8.32,107.3,99.0,-1.04
15,16.0,5,Vanderbilt,SEC,25-11,20.9,115.6,94.7,64.7,-0.048,8.48,107.7,99.2,3.03
16,17.0,4,Louisville,BE,30-10,20.67,106.2,85.5,66.1,0.031,10.06,108.6,98.6,0.11
17,18.0,3,Marquette,BE,27-8,20.22,111.5,91.3,70.0,0.042,8.24,106.6,98.3,-0.95
18,19.0,2,Duke,ACC,27-7,19.7,117.7,98.0,66.4,0.057,8.18,107.3,99.1,7.68
19,20.0,5,New Mexico,MWC,28-7,19.45,110.8,91.4,65.5,0.003,2.65,103.9,101.3,-4.16
20,21.0,7,Gonzaga,WCC,26-7,18.39,113.1,94.7,64.8,-0.018,2.08,104.9,102.8,1.05
