,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,4,Louisville,Amer,31-6,30.41,118.9,88.5,67.2,-0.045,4.31,107.0,102.7,-4.65
1,2.0,1,Arizona,P12,33-5,30.11,116.5,86.4,62.8,0.014,9.3,109.9,100.6,1.62
2,3.0,1,Florida,SEC,36-3,28.57,116.5,88.0,61.3,0.053,9.02,109.4,100.4,2.39
3,4.0,1,Virginia,ACC,30-7,26.46,114.8,88.3,59.5,0.012,8.67,109.4,100.8,1.57
4,5.0,2,Wisconsin,B10,30-8,25.89,122.0,96.1,62.4,0.019,11.44,110.2,98.8,3.33
5,6.0,1,Wichita St.,MVC,35-1,25.36,117.8,92.4,63.5,-0.009,1.04,105.8,104.8,2.89
6,7.0,2,Kansas,B12,25-10,24.6,119.3,94.7,66.6,-0.051,12.13,112.2,100.0,9.47
7,8.0,3,Duke,ACC,26-9,24.25,124.7,100.4,64.6,-0.035,8.76,109.2,100.5,2.4
8,9.0,4,Michigan St.,B10,29-9,23.92,118.6,94.7,64.4,-0.003,10.44,110.2,99.7,0.57
9,10.0,11,Tennessee,SEC,24-13,23.69,117.9,94.2,61.6,-0.099,8.12,108.9,100.8,1.46
10,11.0,2,Villanova,BE,29-5,23.68,116.3,92.6,66.0,0.075,7.47,110.1,102.6,2.61
11,12.0,2,Michigan,B10,28-9,23.44,123.9,100.5,61.0,0.047,11.65,110.3,98.6,0.62
12,13.0,8,Kentucky,SEC,29-11,22.55,118.3,95.8,64.0,-0.025,10.73,110.5,99.8,4.19
13,14.0,4,UCLA,P12,28-9,22.53,118.7,96.1,68.4,-0.019,7.63,109.1,101.5,-3.26
14,15.0,7,Connecticut,Amer,32-8,22.13,113.6,91.5,63.2,0.08,9.43,109.7,100.3,0.91
15,16.0,9,Pittsburgh,ACC,26-10,21.89,116.9,95.0,62.2,-0.038,7.62,108.0,100.4,-3.66
16,17.0,3,Creighton,BE,27-8,21.72,124.2,102.5,63.6,0.024,7.5,108.5,101.0,1.31
17,18.0,3,Syracuse,ACC,28-6,21.62,114.6,93.0,59.6,0.016,7.23,109.4,102.2,-1.01
18,19.0,6,Ohio St.,B10,25-10,21.3,109.3,88.0,64.0,-0.043,7.8,109.2,101.4,-3.36
19,20.0,3,Iowa St.,B12,28-8,21.07,118.9,97.8,70.2,0.064,10.77,111.1,100.4,1.44
20,21.0,9,Oklahoma St.,B12,21-13,20.98,115.9,95.0,67.2,-0.11,9.06,109.9,100.8,-1.15
21,22.0,11,Iowa,B10,20-13,20.44,120.2,99.8,68.6,-0.116,8.35,108.6,100.2,-6.19
22,23.0,4,San Diego St.,MWC,31-5,20.38,110.4,90.0,62.3,0.067,5.18,108.0,102.8,2.71
23,24.0,8,Gonzaga,WCC,29-7,20.14,114.0,93.8,65.0,0.016,5.05,109.0,103.9,2.2
24,25.0,5,VCU,A10,26-9,19.8,109.2,89.4,68.9,-0.058,5.45,107.4,102.0,1.33
25,26.0,6,Baylor,B12,26-12,19.39,118.9,99.5,61.3,0.012,10.31,111.0,100.6,-0.36
26,27.0,5,Cincinnati,Amer,27-7,19.24,109.7,90.4,61.1,0.036,4.72,107.3,102.6,-4.57
27,28.0,7,Oregon,P12,24-10,19.02,118.9,99.9,67.5,-0.037,7.39,109.1,101.8,-1.18
28,29.0,6,North Carolina,ACC,24-10,18.44,112.6,94.2,69.2,0.0,8.83,110.5,101.6,1.31
29,30.0,5,Oklahoma,B12,23-10,17.9,117.9,100.0,69.6,-0.022,9.13,110.2,101.0,0.5
30,32.0,12,Harvard,Ivy,27-5,17.58,112.9,95.3,64.1,0.02,0.13,104.5,104.3,0.98
31,33.0,7,New Mexico,MWC,27-7,17.15,113.5,96.3,64.4,0.032,4.83,107.7,102.9,3.24
32,34.0,10,Stanford,P12,23-13,16.06,112.4,96.4,65.3,0.016,9.42,110.2,100.7,2.34
33,35.0,5,Saint Louis,A10,27-7,15.72,105.7,90.0,65.6,0.04,5.04,107.2,102.2,-1.5
34,36.0,8,Memphis,Amer,24-10,15.22,112.4,97.1,67.5,0.048,7.25,108.3,101.1,0.02
35,39.0,10,Arizona St.,P12,21-12,14.82,111.2,96.4,67.4,0.003,7.5,108.6,101.1,-2.6
36,41.0,7,Texas,B12,24-11,14.52,111.8,97.3,66.8,0.092,9.61,110.9,101.3,-1.74
37,42.0,11,Dayton,A10,26-11,14.25,113.8,99.6,63.8,0.038,6.25,107.7,101.4,-0.57
38,45.0,9,Kansas St.,B12,20-13,14.1,107.8,93.7,63.3,0.001,8.17,110.5,102.3,-4.06
39,47.0,9,George Washington,A10,24-9,13.82,110.8,97.0,65.3,0.056,5.56,107.3,101.7,-0.08
40,48.0,11,Providence,BE,23-12,13.81,114.6,100.8,62.9,0.051,8.35,109.2,100.8,0.81
41,49.0,10,BYU,WCC,23-12,13.77,114.5,100.7,70.8,-0.004,6.59,109.6,103.0,8.43
42,50.0,6,Massachusetts,A10,24-9,13.46,110.0,96.5,70.3,0.065,7.33,108.0,100.6,5.53
43,52.0,12,Xavier,BE,21-13,13.11,112.9,99.8,64.2,0.017,7.89,109.1,101.2,0.41
44,55.0,10,Saint Joseph's,A10,24-10,12.93,112.3,99.4,64.3,0.079,6.18,107.5,101.3,0.17
45,56.0,11,Nebraska,B10,19-13,12.64,108.8,96.1,64.7,0.047,9.3,108.4,99.1,-1.95
46,61.0,12,North Dakota St.,Sum,26-7,11.76,115.5,103.7,62.3,0.089,1.38,106.8,105.4,5.32
47,62.0,12,N.C. State,ACC,22-14,11.6,114.0,102.4,64.7,0.065,7.77,108.4,100.7,-4.31
48,67.0,8,Colorado,P12,23-12,11.2,107.7,96.5,64.8,0.12,8.74,109.5,100.8,1.71
49,70.0,12,Stephen F. Austin,Slnd,32-3,10.83,112.3,101.5,61.2,0.073,-7.12,102.0,109.2,-4.19
50,72.0,13,New Mexico St.,WAC,26-10,10.54,112.9,102.4,65.2,-0.03,-3.64,103.0,106.7,2.6
51,74.0,13,Manhattan,MAAC,25-8,10.21,107.2,97.0,67.7,-0.008,-0.2,105.6,105.8,3.46
52,82.0,13,Tulsa,CUSA,21-13,8.93,106.1,97.2,66.8,-0.023,0.57,104.9,104.3,2.81
53,87.0,14,Mercer,ASun,27-9,8.34,110.8,102.4,63.6,0.022,-4.44,103.6,108.0,4.65
54,92.0,14,North Carolina Central,MEAC,28-6,7.98,108.6,100.7,62.3,0.04,-10.35,98.1,108.5,-1.94
55,106.0,13,Delaware,CAA,25-10,5.83,112.0,106.2,70.4,0.064,-0.68,105.2,105.9,2.88
56,113.0,14,Louisiana Lafayette,SB,23-12,5.19,110.2,105.0,68.5,0.038,-0.57,105.0,105.6,4.65
57,120.0,15,American,Pat,20-13,4.57,103.4,98.9,59.7,0.007,-2.59,103.6,106.2,-0.1
58,125.0,15,Eastern Kentucky,OVC,24-10,3.96,112.4,108.4,64.2,0.036,-4.97,104.1,109.0,-5.04
59,131.0,14,Western Michigan,MAC,23-10,3.36,106.3,103.0,65.2,0.098,-1.86,103.9,105.7,-3.25
60,168.0,15,Milwaukee,Horz,21-14,0.08,104.7,104.6,65.8,0.119,0.03,104.4,104.4,-2.92
61,172.0,16,Weber St.,BSky,19-12,-0.62,106.4,107.0,62.9,-0.009,-6.78,103.3,110.0,6.69
62,176.0,16,Cal Poly,BW,14-20,-0.82,103.6,104.4,58.8,-0.044,2.38,107.4,105.0,10.19
