Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Kentucky,SEC,38-1,36.91,121.3,84.4,62.4,0.048,8.58,108.7,100.1,3.13
2.0,Wisconsin,B10,36-4,33.72,129.0,95.2,58.7,0.015,11.03,109.8,98.8,5.3
3.0,Duke,ACC,35-4,32.48,124.5,92.0,65.8,0.067,11.17,110.7,99.5,1.31
4.0,Arizona,P12,34-4,32.36,119.9,87.5,65.8,-0.033,7.37,108.3,100.9,0.09
5.0,Villanova,BE,33-3,30.65,122.7,92.0,64.2,0.031,7.67,108.2,100.6,0.23
6.0,Virginia,ACC,30-4,30.06,115.6,85.5,58.0,0.023,8.21,108.5,100.3,0.46
7.0,Gonzaga,WCC,35-3,27.78,121.7,93.9,64.7,0.018,4.37,107.3,102.9,3.0
8.0,Utah,P12,26-9,27.24,116.4,89.2,60.5,-0.054,8.19,108.8,100.6,0.6
9.0,Notre Dame,ACC,32-6,24.96,125.4,100.4,63.4,0.062,7.59,107.7,100.1,-11.62
10.0,North Carolina,ACC,26-12,23.85,119.1,95.3,69.2,-0.026,12.76,111.1,98.3,7.64
11.0,Oklahoma,B12,24-11,22.8,112.5,89.7,66.7,-0.045,11.0,110.2,99.2,1.05
12.0,Kansas,B12,27-9,22.72,114.5,91.8,67.0,0.07,13.17,110.6,97.4,9.57
13.0,Wichita St.,MVC,30-5,22.21,115.8,93.6,62.3,0.022,3.24,105.5,102.3,3.44
14.0,Baylor,B12,24-10,22.14,116.6,94.5,61.5,-0.035,10.22,108.9,98.7,-0.51
15.0,Michigan St.,B10,27-12,21.72,116.6,94.9,63.1,-0.017,10.49,110.3,99.8,-0.88
16.0,Iowa St.,B12,25-9,21.49,119.0,97.5,69.6,0.005,10.59,109.0,98.5,-1.18
17.0,Louisville,ACC,27-9,21.21,110.2,88.9,64.6,0.027,9.69,109.5,99.8,-2.36
18.0,Northern Iowa,MVC,31-4,20.98,116.3,95.3,58.2,0.018,1.42,104.4,103.0,0.61
19.0,Ohio St.,B10,24-11,20.75,115.6,94.8,65.2,-0.043,6.76,108.1,101.4,-7.41
20.0,Butler,BE,23-11,20.09,110.2,90.1,63.2,-0.023,9.72,110.6,100.9,0.69
21.0,Xavier,BE,23-14,19.49,116.6,97.1,65.0,-0.062,10.29,109.5,99.2,2.07
22.0,Georgetown,BE,22-11,19.13,114.3,95.1,64.0,-0.0,10.23,110.5,100.3,3.24
23.0,Iowa,B10,22-12,19.02,114.2,95.1,63.7,-0.007,8.58,108.9,100.4,-1.58
24.0,Texas,B12,20-14,18.94,112.4,93.4,62.0,-0.079,9.52,108.3,98.8,-2.47
25.0,West Virginia,B12,25-10,17.64,112.6,94.9,67.9,0.087,9.56,108.9,99.3,-2.65
26.0,SMU,Amer,27-7,17.51,113.1,95.6,63.1,-0.004,2.52,105.3,102.8,0.99
27.0,Providence,BE,22-12,16.72,112.6,95.9,65.2,0.038,10.26,109.7,99.4,2.18
28.0,BYU,WCC,25-10,16.69,119.4,102.7,70.4,-0.055,3.96,107.0,103.0,3.78
29.0,Arkansas,SEC,27-9,16.44,114.7,98.3,69.3,0.045,6.09,107.2,101.1,-3.44
30.0,VCU,A10,26-10,16.27,111.1,94.9,66.5,0.043,6.65,107.9,101.2,8.77
31.0,San Diego St.,MWC,27-9,15.95,104.9,89.0,60.4,0.026,3.63,106.1,102.5,3.5
32.0,North Carolina St.,ACC,22-14,15.93,114.9,98.9,64.1,-0.003,9.84,109.3,99.5,-0.65
33.0,Maryland,B10,28-7,15.68,111.3,95.7,63.9,0.127,7.15,108.3,101.1,-3.33
35.0,Georgia,SEC,21-12,15.09,109.6,94.5,64.1,0.001,8.73,108.6,99.9,1.41
36.0,Davidson,A10,24-8,15.0,119.7,104.7,66.7,0.056,3.16,105.3,102.2,-3.78
38.0,Oklahoma St.,B12,18-14,14.92,111.8,96.8,63.3,-0.045,10.42,108.2,97.8,-1.65
40.0,UCLA,P12,22-14,14.65,112.9,98.2,65.8,0.032,8.4,107.9,99.5,2.63
42.0,Dayton,A10,27-9,14.24,109.2,95.0,63.4,0.022,3.39,105.4,102.0,0.07
43.0,Cincinnati,Amer,23-11,14.15,108.2,94.0,59.8,-0.016,3.39,104.9,101.5,1.69
44.0,Purdue,B10,21-13,13.96,110.9,97.0,64.3,-0.006,7.45,109.0,101.6,-2.75
45.0,Oregon,P12,26-10,13.88,115.2,101.3,66.6,0.119,7.28,108.4,101.1,-2.34
46.0,Mississippi,SEC,21-13,13.88,114.5,100.6,66.2,-0.033,7.1,107.3,100.2,-1.19
47.0,Boise St.,MWC,25-9,13.85,111.9,98.1,62.8,0.009,0.94,104.8,103.9,-0.31
48.0,Indiana,B10,20-14,13.83,119.8,106.0,66.6,-0.044,6.92,107.8,100.9,-5.96
49.0,LSU,SEC,22-11,13.76,108.9,95.1,69.3,-0.043,5.09,106.2,101.2,-4.77
50.0,St. John's,BE,21-12,13.7,110.7,97.0,66.7,0.05,8.72,109.0,100.3,-1.5
51.0,Stephen F. Austin,Slnd,29-5,13.64,113.9,100.3,65.4,0.02,-5.56,102.2,107.7,0.63
58.0,Buffalo,MAC,23-10,11.87,111.3,99.4,68.3,0.001,1.83,106.0,104.2,0.81
64.0,Valparaiso,Horz,28-6,11.13,107.4,96.3,62.3,0.053,-2.06,104.2,106.3,-3.69
68.0,Georgia St.,SB,25-10,10.32,111.6,101.3,62.4,-0.003,-1.47,102.4,103.9,3.63
75.0,Harvard,Ivy,22-8,9.23,104.8,95.6,61.1,0.091,-0.18,104.3,104.5,0.36
91.0,UC Irvine,BW,21-13,7.09,106.3,99.2,63.4,-0.022,0.9,104.7,103.8,2.29
96.0,Wofford,SC,28-7,6.72,105.2,98.5,60.5,0.122,-3.98,104.0,108.0,6.79
98.0,New Mexico St.,WAC,23-11,6.63,107.4,100.8,63.0,-0.042,-5.37,101.1,106.5,1.78
109.0,Wyoming,MWC,25-10,5.67,104.8,99.1,59.1,0.083,-1.04,103.0,104.1,-10.31
117.0,Northeastern,CAA,23-12,5.12,108.3,103.1,63.3,0.025,-1.29,104.5,105.7,1.8
131.0,Albany,AE,24-9,3.29,107.2,103.9,60.8,0.054,-5.5,100.4,105.9,0.18
133.0,Eastern Washington,BSky,26-9,3.25,112.9,109.6,68.2,0.067,-3.75,104.2,108.0,3.94
135.0,UAB,CUSA,20-16,3.06,104.9,101.9,64.7,0.025,0.29,103.9,103.6,3.4
140.0,Coastal Carolina,BSth,24-10,2.38,106.7,104.3,64.1,0.006,-6.45,102.2,108.6,-1.05
142.0,Belmont,OVC,22-11,2.27,110.2,107.9,66.9,0.065,-3.33,102.4,105.7,-1.68
143.0,North Florida,ASun,23-12,2.26,108.4,106.2,67.1,-0.022,-7.19,101.0,108.2,2.23
152.0,North Dakota St.,Sum,23-10,1.41,103.8,102.4,60.8,0.105,-4.21,102.9,107.1,-5.5
