Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,North Carolina,ACC,31-7,31.37,121.0,89.6,72.4,-0.046,10.95,111.0,100.1,3.1
2.0,Florida,SEC,35-5,30.81,122.8,92.0,65.8,0.028,8.73,109.1,100.3,-6.87
3.0,Ohio St.,B10,35-4,29.33,121.0,91.7,64.9,0.057,9.82,109.0,99.2,-1.71
4.0,Georgetown,BE,30-7,28.48,122.0,93.5,59.4,0.006,10.41,109.7,99.3,-1.02
5.0,Kansas,B12,33-5,27.81,115.3,87.5,68.7,0.031,6.86,108.1,101.2,-0.93
6.0,UCLA,P10,30-6,27.15,115.4,88.3,63.7,0.019,11.08,111.0,99.9,5.93
7.0,Texas A&M,B12,27-7,26.97,119.3,92.3,63.7,-0.047,5.38,106.7,101.4,-5.98
8.0,Wisconsin,B10,30-6,25.45,115.6,90.1,63.8,0.034,7.78,108.1,100.3,-1.57
9.0,Memphis,CUSA,33-4,24.81,115.4,90.6,68.4,0.03,2.93,105.3,102.4,3.41
10.0,Duke,ACC,22-11,23.3,113.2,89.9,64.5,-0.074,11.3,110.7,99.4,3.88
11.0,Pittsburgh,BE,29-8,22.9,118.1,95.2,62.2,0.033,9.54,109.6,100.1,0.72
12.0,Maryland,ACC,25-9,22.42,112.4,90.0,71.4,-0.027,8.48,108.9,100.4,-3.07
13.0,Kentucky,SEC,22-12,21.73,117.0,95.3,65.8,-0.029,13.23,111.0,97.8,8.21
14.0,Indiana,B10,21-11,21.58,115.4,93.8,64.9,-0.058,9.96,108.5,98.5,1.51
15.0,Butler,Horz,29-7,21.45,118.0,96.5,58.1,0.016,4.77,106.6,101.8,6.61
16.0,Southern Illinois,MVC,29-7,21.03,109.8,88.8,61.0,0.017,10.19,110.2,100.0,7.3
17.0,Michigan St.,B10,23-12,20.97,112.8,91.8,60.3,-0.036,9.07,109.2,100.2,-1.63
18.0,Oregon,P10,29-8,20.76,118.3,97.6,66.0,0.031,7.19,108.0,100.8,-9.09
19.0,Louisville,BE,24-10,20.35,113.5,93.1,64.2,-0.046,7.29,107.9,100.6,-3.61
21.0,Villanova,BE,22-11,20.11,113.4,93.3,65.8,-0.036,11.02,110.5,99.5,2.82
22.0,Notre Dame,BE,24-8,20.02,118.1,98.1,70.7,-0.018,4.03,105.9,101.9,-13.12
23.0,Georgia Tech,ACC,20-12,19.61,116.9,97.3,67.2,-0.067,9.63,109.5,99.9,-3.11
24.0,Arizona,P10,20-11,19.43,119.5,100.1,68.3,-0.009,12.2,110.4,98.2,10.23
25.0,Texas,B12,25-10,19.24,119.5,100.3,67.6,-0.008,7.56,108.1,100.6,-2.0
27.0,Washington St.,P10,26-8,18.87,111.7,92.8,60.0,0.004,6.79,107.6,100.9,-4.96
28.0,Creighton,MVC,22-11,18.53,113.8,95.3,62.7,-0.023,8.84,108.3,99.4,4.1
30.0,Purdue,B10,22-12,18.31,110.7,92.4,66.5,0.002,9.37,109.8,100.4,1.08
31.0,Tennessee,SEC,24-11,18.29,115.9,97.6,71.3,0.035,10.57,110.3,99.8,1.81
32.0,Xavier,A10,25-9,18.13,117.3,99.2,66.2,-0.047,2.83,106.5,103.6,3.4
36.0,Illinois,B10,23-12,17.5,107.3,89.8,62.0,-0.017,8.06,108.4,100.4,-0.2
37.0,Virginia Tech,ACC,22-12,17.38,112.4,95.0,63.7,-0.004,9.85,109.9,100.1,0.79
38.0,Marquette,BE,24-10,17.18,111.8,94.6,67.6,0.009,7.59,108.3,100.7,-4.27
39.0,USC,P10,25-12,16.86,111.0,94.2,67.1,0.016,8.26,108.3,100.0,-6.62
41.0,UNLV,MWC,30-7,16.83,112.6,95.8,65.2,0.098,5.61,109.1,103.5,2.29
42.0,Arkansas,SEC,21-14,16.62,110.6,93.9,66.1,-0.021,10.1,110.3,100.2,1.28
43.0,Vanderbilt,SEC,22-12,16.23,115.7,99.4,66.6,0.008,9.34,109.5,100.2,-2.74
44.0,Boston College,ACC,21-12,16.18,117.3,101.1,64.3,0.026,10.36,110.7,100.4,-2.41
46.0,BYU,MWC,25-9,16.11,116.7,100.6,67.6,0.001,4.24,106.8,102.5,-0.3
47.0,Nevada,WAC,29-5,16.09,117.2,101.2,66.3,0.03,1.98,104.2,102.2,1.53
48.0,Virginia,ACC,21-11,15.43,114.1,98.7,67.9,0.006,8.27,109.2,100.9,-4.35
49.0,Gonzaga,WCC,23-11,15.31,115.3,100.0,67.1,-0.032,4.15,106.7,102.5,9.52
51.0,Winthrop,BSth,29-5,14.81,112.9,98.0,61.9,0.055,-2.71,103.1,105.8,15.06
52.0,VCU,CAA,28-7,14.55,116.6,102.0,65.5,0.002,0.2,104.2,104.0,0.25
61.0,Davidson,SC,29-5,13.32,111.8,98.5,71.9,0.067,-1.7,103.2,104.9,4.64
64.0,Old Dominion,CAA,24-9,12.7,108.6,95.9,65.8,0.013,0.84,105.6,104.8,0.64
66.0,Stanford,P10,18-13,12.37,109.7,97.3,65.9,0.028,9.5,109.2,99.7,-0.33
71.0,Texas Tech,B12,21-13,10.98,112.2,101.3,64.9,0.056,7.79,108.3,100.5,2.29
87.0,Miami OH,MAC,18-15,8.38,105.7,97.4,58.1,-0.024,4.09,106.2,102.1,6.44
88.0,Oral Roberts,MCon,23-11,8.36,107.1,98.7,66.5,-0.007,-0.93,104.9,105.8,4.23
91.0,Texas A&M Corpus Chris,Slnd,26-7,7.76,114.1,106.4,68.1,0.057,-5.12,100.8,105.9,2.12
92.0,Penn,Ivy,22-9,7.69,109.8,102.1,67.9,0.047,-2.74,102.5,105.3,1.14
93.0,Holy Cross,Pat,25-9,7.4,103.0,95.6,62.5,0.025,-3.7,101.5,105.2,0.98
95.0,George Washington,A10,23-9,7.28,105.0,97.7,66.9,0.089,-0.57,104.7,105.3,-5.16
96.0,New Mexico St.,WAC,25-9,7.27,108.3,101.1,69.7,0.035,-0.3,104.2,104.5,-3.75
100.0,Wright St.,Horz,23-10,6.66,104.5,97.8,63.0,0.137,0.23,105.7,105.5,-2.57
113.0,Long Beach St.,BW,24-8,5.44,112.2,106.8,71.0,0.11,-3.34,102.0,105.4,-2.96
121.0,Belmont,ASun,23-10,4.38,106.6,102.2,66.1,0.022,-6.74,100.0,106.8,2.22
138.0,Albany,AE,23-10,2.25,107.4,105.2,63.7,0.109,-3.47,102.4,105.9,0.94
162.0,North Texas,SB,23-11,-0.98,103.0,104.0,69.1,0.034,-6.4,102.2,108.6,-2.88
177.0,Central Connecticut,NEC,22-12,-2.24,104.1,106.3,63.3,0.06,-8.44,100.4,108.8,-5.1
182.0,Eastern Kentucky,OVC,21-12,-2.58,102.7,105.3,61.3,0.078,-6.17,101.8,107.9,6.66
184.0,Weber St.,BSky,20-12,-2.71,102.1,104.8,65.2,0.098,-3.46,104.8,108.3,1.83
186.0,Niagara,MAAC,23-12,-2.76,107.2,110.0,68.3,0.118,-6.17,101.3,107.5,-5.19
251.0,Jackson St.,SWAC,21-14,-9.48,100.2,109.7,69.7,0.14,-10.16,95.6,105.8,7.09
