,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
83,84.0,77,North Carolina,ACC,14-19,9.36,107.7,98.4,70.4,-0.05,10.39,107.9,97.5,7.39
84,85.0,44,Nevada,MWC,19-12,9.32,110.3,101.0,71.0,-0.007,2.68,104.3,101.6,2.0
85,86.0,119,TCU,B12,16-16,9.31,105.5,96.1,65.1,-0.005,9.71,105.6,95.9,-1.05
86,87.0,39,Oregon St.,P12,18-13,8.93,110.9,102.0,65.6,-0.002,5.06,104.6,99.5,-5.88
87,88.0,28,SMU,Amer,19-11,8.62,112.4,103.8,64.8,0.004,2.6,102.2,99.6,-4.81
88,89.0,48,Iowa St.,B12,12-20,8.35,109.6,101.2,69.9,-0.092,11.89,107.0,95.2,2.61
89,90.0,177,Kansas St.,B12,11-21,8.25,102.5,94.2,67.2,-0.129,10.83,106.4,95.5,1.48
90,91.0,80,New Mexico St.,WAC,25-6,8.14,107.6,99.4,63.5,0.06,-4.86,99.7,104.6,1.26
91,92.0,160,UNC Greensboro,SC,23-9,8.12,103.7,95.5,67.8,-0.009,-1.77,102.2,104.0,-1.46
92,93.0,101,Texas St.,SB,21-11,7.91,106.3,98.3,65.2,-0.05,-0.69,102.0,102.7,0.28
93,94.0,165,DePaul,BE,16-16,7.9,103.4,95.5,70.6,0.022,10.11,108.1,98.0,-2.38
94,95.0,94,Duquesne,A10,21-9,7.58,106.6,99.0,67.8,0.049,0.52,102.8,102.3,-5.04
95,96.0,71,Georgia,SEC,16-16,7.44,108.2,100.8,70.5,-0.017,8.15,106.9,98.7,1.66
96,97.0,150,Missouri,SEC,15-16,7.44,104.1,96.7,66.5,-0.057,7.22,106.0,98.8,0.12
97,98.0,74,UNLV,MWC,17-15,7.28,107.9,100.6,67.0,-0.019,3.75,104.6,100.9,1.02
98,99.0,52,Colorado St.,MWC,20-12,7.15,109.3,102.1,69.3,0.045,2.91,104.4,101.5,1.71
99,100.0,152,Stephen F. Austin,Slnd,28-3,7.0,104.1,97.1,71.8,0.042,-8.13,98.6,106.7,0.55
100,101.0,159,Loyola Chicago,MVC,21-11,6.87,103.7,96.8,65.3,0.006,-0.19,102.4,102.6,-3.32
101,102.0,158,Mississippi,SEC,15-17,6.72,103.7,97.0,68.0,-0.042,6.58,106.1,99.5,-3.68
102,103.0,61,Wake Forest,ACC,13-18,6.7,108.7,102.0,70.1,-0.034,8.52,106.0,97.4,0.91
103,104.0,79,Miami FL,ACC,15-16,6.39,107.7,101.3,68.3,0.034,9.57,106.3,96.8,1.07
104,105.0,147,Virginia Tech,ACC,16-16,6.33,104.3,98.0,65.5,-0.04,6.34,105.3,99.0,-9.83
