Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
20.0,Butler,Horz,30-4,19.97,116.2,96.2,59.5,0.002,2.79,104.3,101.5,5.43
21.0,Texas A&M,B12,25-11,19.93,112.3,92.3,61.8,0.004,8.28,107.4,99.1,-5.13
22.0,Pittsburgh,BE,27-10,19.91,116.5,96.6,63.9,0.027,9.52,107.8,98.3,-1.69
23.0,Arizona,P10,19-15,19.14,116.4,97.3,63.5,-0.079,12.72,110.3,97.6,8.75
24.0,Notre Dame,BE,25-8,19.07,114.6,95.6,69.5,0.042,6.88,107.5,100.6,-7.02
25.0,Gonzaga,WCC,25-8,19.05,114.5,95.5,65.9,-0.029,2.57,104.0,101.5,7.71
26.0,Kansas St.,B12,21-12,18.9,114.2,95.3,69.7,-0.049,9.09,108.0,98.9,-2.73
27.0,Connecticut,BE,24-9,18.9,115.2,96.3,67.1,-0.001,7.67,107.7,100.0,-1.27
28.0,USC,P10,21-12,18.67,110.5,91.9,65.2,-0.005,11.18,109.7,98.5,0.4
29.0,Indiana,B10,25-8,18.43,114.6,96.1,66.2,0.037,6.28,106.6,100.3,-2.3
30.0,Purdue,B10,25-9,18.3,110.5,92.2,66.9,-0.025,6.41,106.2,99.7,-3.61
33.0,Mississippi St.,SEC,23-11,16.77,108.2,91.5,66.6,-0.043,6.22,108.1,101.8,-1.48
35.0,BYU,MWC,27-8,15.76,107.4,91.7,67.8,0.027,1.47,104.2,102.7,-4.23
36.0,Oregon,P10,18-14,15.66,118.8,103.1,65.8,-0.035,10.56,108.9,98.4,0.11
37.0,Miami FL,ACC,23-11,15.38,112.5,97.1,65.8,-0.003,7.78,106.7,98.9,-5.55
40.0,Arkansas,SEC,23-12,15.19,111.4,96.2,66.5,0.008,7.19,108.4,101.2,-0.61
41.0,Baylor,B12,21-11,14.82,115.7,100.9,70.1,-0.028,7.58,106.9,99.3,-4.83
42.0,Saint Mary's,WCC,25-7,14.66,109.2,94.6,66.4,0.03,0.11,103.4,103.3,2.34
43.0,Western Kentucky,SB,29-7,14.6,111.9,97.3,68.2,-0.021,-0.85,103.3,104.2,1.69
44.0,Oklahoma,B12,23-12,14.47,109.5,95.1,63.1,0.077,9.45,108.3,98.9,-0.55
45.0,Saint Joseph's,A10,21-13,14.32,115.1,100.8,64.0,-0.069,5.81,106.9,101.1,1.34
46.0,Villanova,BE,22-13,14.21,109.2,95.0,68.1,0.037,9.14,108.9,99.8,-2.4
48.0,UNLV,MWC,27-8,13.71,110.2,96.5,63.9,0.081,3.1,104.3,101.2,-0.86
55.0,Kent St.,MAC,28-7,13.04,107.8,94.8,65.1,0.075,1.03,103.5,102.5,-0.11
56.0,Vanderbilt,SEC,26-8,12.65,112.3,99.6,68.2,0.11,5.2,107.4,102.2,-1.7
57.0,Temple,A10,21-13,12.37,112.8,100.4,63.6,-0.018,6.08,107.4,101.3,3.73
65.0,South Alabama,SB,26-7,11.8,112.6,100.8,64.8,-0.002,-2.07,103.1,105.2,0.9
77.0,Oral Roberts,Sum,24-9,10.27,104.7,94.5,63.6,0.032,-0.01,105.4,105.4,8.75
78.0,Kentucky,SEC,18-13,10.01,107.8,97.8,62.4,0.01,6.74,107.4,100.7,-3.13
80.0,George Mason,CAA,23-11,9.68,110.7,101.0,61.6,-0.01,-0.57,102.6,103.2,2.28
88.0,Cal St. Fullerton,BW,24-9,8.47,112.3,103.9,71.6,-0.01,-3.95,101.5,105.5,-3.01
91.0,Georgia,SEC,17-17,8.08,104.3,96.2,64.7,-0.032,7.55,108.5,101.0,-4.1
93.0,Siena,MAAC,23-11,7.99,108.6,100.7,67.6,0.036,-1.41,104.1,105.5,3.69
104.0,Winthrop,BSth,22-12,6.38,99.5,93.1,61.6,-0.0,-1.01,105.1,106.1,7.81
112.0,Portland St.,BSky,23-10,5.4,108.6,103.2,66.3,0.062,-3.5,102.7,106.2,3.95
120.0,San Diego,WCC,22-14,4.64,101.6,97.0,63.0,0.045,1.43,104.3,102.9,2.61
123.0,Cornell,Ivy,22-6,4.41,110.1,105.7,67.9,0.086,-6.93,99.1,106.0,-3.59
126.0,Boise St.,WAC,25-9,3.89,108.7,104.8,70.7,0.085,-2.64,103.3,105.9,-3.36
127.0,UMBC,AE,24-9,3.86,113.2,109.3,63.7,0.057,-4.31,100.7,105.0,2.68
129.0,Belmont,ASun,25-9,3.53,109.7,106.2,68.6,0.075,-5.21,100.9,106.1,0.51
150.0,American,Pat,21-12,1.67,107.9,106.3,60.4,0.045,-4.23,99.9,104.1,-2.17
168.0,Austin Peay,OVC,24-11,-0.3,104.6,104.9,65.5,0.086,-6.35,102.5,108.8,5.19
173.0,Mount St. Mary's,NEC,19-15,-1.32,99.3,100.6,66.1,0.014,-5.35,101.6,106.9,-0.05
180.0,UT Arlington,Slnd,21-12,-2.31,101.3,103.6,68.6,0.045,-4.81,99.5,104.3,-5.9
298.0,Coppin St.,MEAC,16-21,-14.41,92.4,106.8,62.9,0.065,-7.38,98.1,105.5,7.87
306.0,Mississippi Valley St.,SWAC,17-16,-15.21,91.9,107.1,63.0,0.115,-11.0,96.7,107.7,13.04
