Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Virginia,ACC,35-3,34.22,123.4,89.2,59.4,0.05,11.18,109.2,98.1,-3.24
2.0,Gonzaga,WCC,33-4,32.85,124.5,91.6,70.2,-0.001,4.46,106.9,102.5,1.87
3.0,Michigan St.,B10,32-7,30.81,121.0,90.2,66.9,0.001,13.67,110.6,96.9,3.24
4.0,Duke,ACC,32-6,30.62,120.0,89.3,72.1,0.018,12.85,110.7,97.8,5.08
5.0,Texas Tech,B12,31-7,30.03,114.1,84.1,66.6,0.004,11.18,109.8,98.7,-5.39
6.0,Michigan,B10,30-7,28.32,114.5,86.2,64.8,-0.001,11.27,109.2,98.0,-5.42
7.0,North Carolina,ACC,29-7,27.69,119.7,92.0,74.3,0.024,12.6,110.7,98.1,5.69
8.0,Kentucky,SEC,30-7,27.57,117.6,90.1,65.6,0.033,11.32,110.7,99.4,1.75
9.0,Purdue,B10,26-10,26.81,122.5,95.6,65.9,-0.015,13.16,110.3,97.1,4.09
10.0,Tennessee,SEC,31-6,26.24,122.7,96.5,67.8,0.034,10.69,109.7,99.0,0.92
11.0,Auburn,SEC,30-10,25.0,120.9,95.9,67.9,0.008,12.23,110.7,98.5,2.63
12.0,Houston,Amer,33-4,24.13,115.3,91.2,66.1,0.039,4.45,105.7,101.3,-4.16
13.0,Virginia Tech,ACC,26-9,24.07,118.1,94.0,63.7,-0.005,8.47,108.3,99.9,-6.26
14.0,Florida St.,ACC,29-8,22.39,112.8,90.4,68.6,0.046,10.46,109.8,99.3,0.93
15.0,Iowa St.,B12,23-12,22.09,118.9,96.8,67.7,-0.063,10.78,109.3,98.5,-1.56
16.0,Wisconsin,B10,23-11,21.94,110.4,88.5,63.9,-0.018,12.97,110.3,97.3,3.14
17.0,Kansas,B12,26-10,21.57,113.9,92.3,70.1,0.076,14.13,111.8,97.7,10.36
18.0,Wofford,SC,30-5,20.69,118.1,97.4,65.7,0.046,1.82,106.0,104.2,8.37
19.0,LSU,SEC,28-7,20.22,117.7,97.5,70.0,0.063,10.02,109.3,99.3,2.77
20.0,Kansas St.,B12,25-9,20.06,108.4,88.4,63.4,0.049,10.22,109.3,99.1,-0.96
21.0,Mississippi St.,SEC,23-11,20.04,117.7,97.6,67.8,-0.038,10.09,110.1,100.0,2.22
22.0,Buffalo,MAC,32-4,19.85,115.2,95.4,73.6,0.056,3.14,105.5,102.4,1.15
