Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
32.0,Marquette,BE,19-13,16.58,120.8,104.2,70.1,-0.058,9.03,109.1,100.1,-2.16
33.0,Vanderbilt,SEC,19-16,16.53,112.4,95.9,65.8,-0.048,11.43,110.1,98.7,6.3
34.0,Rhode Island,A10,25-10,16.26,111.5,95.2,66.4,-0.033,4.27,106.8,102.5,1.62
35.0,Arkansas,SEC,26-10,16.25,116.1,99.8,69.7,0.086,8.37,108.6,100.2,-1.55
36.0,Wake Forest,ACC,19-14,16.25,120.9,104.7,70.7,-0.043,10.54,111.1,100.6,4.51
37.0,Minnesota,B10,24-10,16.0,109.7,93.7,69.5,0.022,8.09,108.9,100.8,-1.81
38.0,Northwestern,B10,24-12,15.81,111.3,95.5,65.6,0.019,8.32,109.0,100.7,-3.23
39.0,Dayton,A10,24-8,15.57,111.9,96.3,68.4,-0.021,3.64,105.9,102.3,2.53
40.0,Michigan St.,B10,20-15,15.51,111.4,95.9,66.9,-0.011,10.99,110.6,99.6,4.01
42.0,Miami FL,ACC,21-12,15.03,109.9,94.9,63.0,0.031,9.39,110.7,101.3,-4.48
43.0,Middle Tennessee,CUSA,31-5,14.95,112.2,97.2,64.6,0.011,-0.93,104.4,105.3,3.86
46.0,Maryland,B10,24-9,14.34,113.1,98.7,67.2,0.061,7.74,108.3,100.6,-1.1
48.0,VCU,A10,26-9,14.07,110.1,96.0,68.8,0.026,3.65,105.8,102.2,0.91
50.0,Virginia Tech,ACC,22-11,13.8,117.3,103.5,68.4,0.053,8.23,110.0,101.7,-7.98
51.0,Seton Hall,BE,21-12,13.63,109.4,95.8,67.5,0.058,9.65,110.2,100.6,-2.11
53.0,USC,P12,26-10,13.45,114.2,100.7,68.7,0.079,5.49,108.8,103.3,-3.37
54.0,Nevada,MWC,28-7,13.31,114.6,101.3,69.7,0.055,1.29,104.5,103.2,-1.12
58.0,Princeton,Ivy,23-7,12.61,109.0,96.4,63.2,0.007,-1.08,103.9,105.0,2.17
59.0,UNC Wilmington,CAA,29-6,12.46,118.0,105.5,70.3,0.039,0.4,105.1,104.7,2.17
60.0,Providence,BE,20-13,12.43,108.5,96.0,66.2,0.014,7.9,109.1,101.2,-4.48
63.0,Vermont,AE,29-6,11.67,111.1,99.4,64.5,0.053,-4.42,103.0,107.4,1.65
67.0,East Tennessee St.,SC,27-8,11.1,108.0,96.9,70.1,0.005,-1.17,105.4,106.6,0.38
76.0,Bucknell,Pat,26-9,9.38,109.7,100.3,70.0,0.006,-3.62,101.4,105.0,0.89
84.0,New Mexico St.,WAC,28-6,7.89,110.5,102.6,67.9,0.063,-4.52,101.0,105.6,-4.82
108.0,Florida Gulf Coast,ASun,26-8,5.07,109.4,104.4,65.9,0.037,-4.8,103.7,108.5,2.14
113.0,Winthrop,BSth,26-7,4.53,106.1,101.6,71.1,0.029,-7.13,100.7,107.8,1.93
117.0,Iona,MAAC,22-13,4.2,110.8,106.6,70.6,0.013,-1.94,103.7,105.7,-0.05
137.0,Troy,SB,22-15,2.04,109.7,107.6,68.1,-0.023,-2.86,102.4,105.3,-6.78
138.0,Northern Kentucky,Horz,24-11,1.91,106.8,104.9,68.0,0.073,-3.35,102.9,106.3,-2.55
141.0,Kent St.,MAC,22-14,1.68,104.9,103.3,68.3,0.024,-1.92,104.4,106.3,-5.91
157.0,Jacksonville St.,OVC,20-15,0.63,105.8,105.2,63.6,0.028,-1.68,104.2,105.9,0.61
161.0,North Carolina Central,MEAC,25-9,0.36,102.2,101.9,66.7,-0.055,-12.44,97.7,110.1,-0.66
168.0,North Dakota,BSky,22-10,0.04,103.6,103.5,71.5,0.048,-5.66,103.0,108.6,3.24
178.0,New Orleans,Slnd,20-12,-0.52,101.3,101.8,66.2,0.046,-5.29,102.3,107.6,8.32
185.0,South Dakota St.,Sum,18-17,-1.19,110.2,111.4,67.2,0.029,-0.59,104.9,105.5,1.66
209.0,Mount St. Mary's,NEC,20-16,-3.86,99.5,103.4,66.8,0.074,-4.49,102.0,106.5,11.52
212.0,Texas Southern,SWAC,23-12,-4.04,103.5,107.5,68.6,0.125,-8.49,100.2,108.7,12.68
218.0,UC Davis,BW,23-13,-4.41,97.8,102.2,68.9,0.131,-5.31,100.8,106.1,-0.94
