Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Gonzaga,WCC,37-2,32.05,118.4,86.3,70.1,0.02,2.99,106.2,103.3,1.01
2.0,Villanova,BE,32-4,29.88,122.4,92.5,64.1,0.01,9.33,109.8,100.5,3.55
3.0,North Carolina,ACC,33-7,28.22,120.7,92.5,71.3,0.037,12.49,112.0,99.5,3.87
4.0,Kentucky,SEC,32-6,27.72,119.1,91.4,72.0,0.006,10.98,110.5,99.5,3.74
5.0,Florida,SEC,27-9,27.5,116.9,89.5,69.0,-0.041,12.46,110.3,97.8,8.19
6.0,Kansas,B12,31-5,27.45,121.9,94.5,70.2,0.067,12.43,111.2,98.8,2.39
7.0,West Virginia,B12,28-9,27.17,116.5,89.4,69.9,-0.043,10.84,110.1,99.2,-7.97
8.0,Wichita St.,MVC,31-5,26.14,118.7,92.6,68.0,-0.021,1.5,105.0,103.5,-0.32
9.0,Louisville,ACC,25-9,25.51,117.2,91.7,67.9,-0.023,11.14,111.6,100.5,4.2
10.0,Oregon,P12,33-6,25.02,118.2,93.2,67.0,0.034,8.05,109.2,101.2,0.51
11.0,SMU,Amer,30-5,24.73,119.8,95.0,63.5,0.003,3.25,105.3,102.1,-0.92
12.0,Virginia,ACC,23-11,24.29,112.2,88.0,59.2,-0.03,11.68,111.5,99.8,2.29
13.0,Baylor,B12,27-8,24.23,117.1,92.9,63.7,0.023,13.08,111.7,98.6,1.67
14.0,Duke,ACC,28-9,24.17,121.0,96.8,68.3,0.014,11.43,111.0,99.6,0.03
15.0,Saint Mary's,WCC,29-5,23.67,118.7,95.0,60.2,0.03,0.41,104.3,103.9,-4.13
16.0,UCLA,P12,31-5,23.63,124.0,100.4,72.6,0.021,5.17,108.0,102.8,-4.66
17.0,Iowa St.,B12,24-11,23.45,119.7,96.3,68.4,-0.019,14.05,112.6,98.6,-0.74
18.0,Arizona,P12,32-5,23.31,118.4,95.1,66.0,0.046,7.13,108.7,101.5,1.69
19.0,Purdue,B10,27-8,23.12,117.0,93.9,69.1,0.016,9.0,109.6,100.6,-2.38
20.0,Michigan,B10,26-12,23.05,122.3,99.2,63.1,-0.025,10.76,110.3,99.5,-0.53
21.0,Wisconsin,B10,27-10,22.99,115.1,92.1,63.4,-0.003,10.0,110.6,100.6,-1.29
22.0,Oklahoma St.,B12,20-13,22.48,126.0,103.5,70.4,-0.071,14.42,112.0,97.6,3.07
23.0,Cincinnati,Amer,30-6,22.18,114.9,92.8,63.5,0.026,4.17,107.1,103.0,-0.47
24.0,South Carolina,SEC,26-11,20.8,108.9,88.1,68.6,-0.005,10.63,110.2,99.5,1.93
25.0,Butler,BE,25-9,20.76,117.7,97.0,65.9,0.002,10.81,110.8,100.0,5.12
26.0,Florida St.,ACC,26-9,20.06,115.5,95.5,71.3,0.039,8.82,110.6,101.8,-3.95
27.0,Notre Dame,ACC,26-10,19.74,118.1,98.4,67.0,0.024,10.24,110.1,99.8,-3.85
28.0,Creighton,BE,25-10,18.83,115.3,96.5,71.2,0.004,8.97,110.3,101.3,-1.24
30.0,Kansas St.,B12,21-14,17.44,113.0,95.6,66.2,-0.029,11.56,110.6,99.0,-5.31
31.0,Xavier,BE,24-14,16.7,115.7,99.0,67.2,0.044,11.73,111.2,99.5,5.32
