Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Florida,SEC,33-6,28.28,117.9,89.7,66.9,-0.011,8.35,107.7,99.3,-8.46
2.0,Duke,ACC,32-4,27.54,119.4,91.8,69.8,0.047,10.51,108.1,97.6,6.81
3.0,Texas,B12,30-7,25.79,117.5,91.7,63.9,0.039,7.79,106.1,98.3,-0.02
4.0,Connecticut,BE,30-4,25.44,117.8,92.3,68.7,0.077,8.98,107.4,98.4,-3.8
5.0,Villanova,BE,28-5,24.59,116.3,91.7,65.6,0.08,10.79,108.4,97.6,3.17
6.0,Memphis,CUSA,33-4,23.54,113.2,89.6,70.8,-0.007,3.89,103.9,100.0,7.82
7.0,UCLA,P10,32-7,23.4,112.7,89.3,61.6,0.02,8.3,107.4,99.1,1.6
8.0,Kansas,B12,25-8,23.22,110.4,87.2,67.7,-0.043,6.03,106.0,99.9,-1.11
9.0,Illinois,B10,26-7,23.2,114.5,91.3,62.1,-0.019,6.77,106.4,99.6,-4.52
10.0,North Carolina,ACC,23-8,22.16,115.9,93.7,70.2,-0.01,9.1,107.6,98.6,-0.83
11.0,LSU,SEC,27-9,22.0,109.8,87.8,67.5,0.008,10.68,108.3,97.6,1.75
12.0,Pittsburgh,BE,25-8,21.72,112.4,90.6,64.6,-0.031,7.81,108.0,100.1,-6.92
13.0,Georgetown,BE,23-10,21.29,116.5,95.2,57.8,-0.026,9.58,108.1,98.5,-1.83
14.0,Ohio St.,B10,26-6,20.68,113.0,92.3,65.2,0.028,6.74,107.0,100.3,-3.33
15.0,Washington,P10,26-7,20.09,114.8,94.7,71.6,0.007,5.21,105.5,100.3,-7.56
16.0,West Virginia,BE,22-11,19.49,116.1,96.6,62.5,-0.046,10.37,108.4,98.0,-0.49
17.0,Tennessee,SEC,22-8,19.44,116.6,97.2,71.1,0.012,9.44,108.0,98.5,-0.74
18.0,Boston College,ACC,28-8,18.65,117.8,99.2,61.5,0.024,7.43,107.1,99.7,-5.69
20.0,Arkansas,SEC,22-10,18.47,112.2,93.8,66.0,-0.062,6.35,106.0,99.6,-4.78
21.0,Iowa,B10,25-9,18.22,103.8,85.6,64.7,0.046,7.86,107.7,99.9,-0.77
22.0,George Mason,CAA,27-8,18.16,109.7,91.5,62.6,0.017,4.11,105.3,101.2,2.16
23.0,Arizona,P10,20-13,17.23,112.2,95.0,67.7,-0.037,10.53,108.0,97.5,9.27
24.0,Kentucky,SEC,22-13,17.13,114.4,97.3,64.1,-0.001,10.02,108.2,98.2,3.02
25.0,Bradley,MVC,22-11,16.5,107.5,91.0,69.3,-0.019,6.94,105.4,98.5,-2.22
26.0,Wichita St.,MVC,26-9,16.06,111.8,95.7,62.6,0.032,6.03,104.7,98.7,0.35
27.0,Michigan St.,B10,22-12,16.02,116.3,100.3,64.2,0.004,8.89,106.4,97.5,-1.03
30.0,North Carolina St.,ACC,22-10,15.92,112.5,96.6,64.4,0.013,6.74,107.1,100.3,-7.99
31.0,Texas A&M,B12,22-9,15.9,106.7,90.8,63.0,-0.008,4.22,104.8,100.6,-12.2
32.0,Northern Iowa,MVC,23-10,15.84,109.0,93.1,59.6,-0.025,6.18,104.4,98.2,0.24
33.0,Gonzaga,WCC,29-4,15.64,119.1,103.5,66.3,0.036,4.38,104.4,100.0,7.98
34.0,Indiana,B10,19-12,15.53,110.0,94.4,66.5,-0.012,9.77,108.8,99.0,2.17
36.0,Marquette,BE,20-11,15.36,112.8,97.4,68.1,-0.012,8.82,108.6,99.8,-1.71
37.0,Nevada,WAC,27-6,15.22,110.0,94.8,65.8,0.024,1.9,103.6,101.7,3.89
39.0,Wisconsin,B10,19-12,14.94,111.5,96.6,65.2,-0.024,7.96,106.6,98.6,0.91
40.0,Air Force,MWC,24-7,14.87,113.2,98.3,54.7,-0.001,0.57,102.8,102.2,-6.63
42.0,UNC Wilmington,CAA,25-8,14.77,107.2,92.4,62.6,-0.006,1.59,103.6,102.0,0.11
43.0,George Washington,A10,27-3,14.67,110.3,95.6,71.2,0.106,-1.23,101.1,102.4,-15.01
45.0,Oklahoma,B12,20-9,13.99,113.0,99.0,62.4,0.049,6.16,105.5,99.3,-0.61
47.0,California,P10,20-11,13.68,110.5,96.8,61.9,0.021,7.59,106.8,99.3,-0.77
48.0,Southern Illinois,MVC,22-11,13.6,102.9,89.3,60.7,0.032,5.81,103.6,97.8,0.44
50.0,Syracuse,BE,23-12,13.15,110.0,96.8,68.3,0.077,8.71,107.5,98.8,-3.79
52.0,San Diego St.,MWC,24-9,12.78,112.8,100.0,66.1,-0.001,2.27,103.7,101.5,-2.2
54.0,Xavier,A10,21-11,12.73,110.9,98.2,65.3,-0.065,1.91,103.6,101.6,-3.38
56.0,UAB,CUSA,24-7,12.65,109.1,96.5,68.5,0.058,1.51,101.8,100.3,0.98
58.0,Bucknell,Pat,27-5,12.56,105.7,93.1,61.8,0.092,-3.17,100.2,103.4,7.18
60.0,Alabama,SEC,18-13,12.48,112.8,100.3,63.4,0.005,9.21,107.7,98.4,1.6
62.0,Milwaukee,Horz,22-9,11.86,108.3,96.5,67.7,0.017,1.54,104.9,103.4,4.95
65.0,Iona,MAAC,23-8,11.33,109.7,98.4,69.6,0.024,0.66,106.0,105.3,3.83
68.0,Pacific,BW,24-8,10.87,109.8,99.0,62.8,0.01,-1.99,102.7,104.7,0.54
69.0,Utah St.,WAC,23-9,10.86,113.4,102.6,60.9,0.026,1.59,102.8,101.2,-2.41
70.0,Kent St.,MAC,25-9,10.54,108.3,97.8,65.7,0.017,0.67,103.2,102.5,-1.52
73.0,Winthrop,BSth,23-8,10.27,104.4,94.2,64.0,-0.027,-5.29,102.1,107.4,8.15
84.0,South Alabama,SB,24-7,9.28,109.1,99.9,65.7,0.056,-2.51,100.8,103.3,-3.47
86.0,Seton Hall,BE,18-12,9.06,106.5,97.4,65.7,0.086,6.93,106.0,99.1,-1.81
87.0,Montana,BSky,24-7,8.95,111.6,102.7,66.2,0.056,-0.62,103.6,104.2,-0.71
89.0,Murray St.,OVC,24-7,8.56,104.5,96.0,63.2,0.01,-5.31,102.3,107.6,4.32
93.0,Northwestern St.,Slnd,26-8,7.51,106.6,99.1,67.6,0.016,-1.45,102.2,103.6,10.25
97.0,Penn,Ivy,20-9,7.3,101.8,94.5,64.3,-0.03,-5.06,100.0,105.0,1.85
112.0,Oral Roberts,MCon,21-12,5.7,107.1,101.4,66.9,-0.035,-3.45,102.8,106.2,6.88
122.0,Davidson,SC,20-11,4.86,109.9,105.0,66.0,-0.025,-3.3,101.4,104.7,9.24
138.0,Albany,AE,21-11,2.63,106.2,103.6,63.8,0.027,-5.65,99.6,105.3,0.12
164.0,Monmouth,NEC,19-15,-0.68,95.8,96.4,64.6,0.018,-3.55,101.2,104.7,4.12
165.0,Belmont,ASun,20-11,-0.73,107.1,107.8,69.1,0.024,-8.62,99.7,108.4,5.97
197.0,Southern,SWAC,19-13,-3.4,96.2,99.6,64.8,0.081,-7.68,96.6,104.3,13.07
271.0,Hampton,MEAC,16-16,-10.4,91.9,102.3,68.5,-0.057,-14.27,93.3,107.6,-8.98
