Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Louisville,BE,35-5,32.92,117.7,84.8,65.8,-0.016,10.23,107.4,97.2,2.15
2.0,Florida,SEC,29-8,31.18,117.2,86.0,61.9,-0.089,7.0,105.6,98.6,4.09
3.0,Indiana,B10,29-7,29.31,120.8,91.5,66.0,-0.021,8.86,106.7,97.8,-5.16
4.0,Michigan,B10,31-8,27.86,121.9,94.0,64.0,-0.007,11.13,108.2,97.0,-3.09
5.0,Gonzaga,WCC,32-3,27.81,120.5,92.7,63.3,0.026,4.37,105.4,101.0,5.03
6.0,Duke,ACC,30-6,26.98,119.1,92.1,66.7,0.033,9.95,108.4,98.5,6.85
7.0,Ohio St.,B10,29-8,25.42,115.1,89.7,63.6,0.02,10.18,107.3,97.1,-5.53
8.0,Kansas,B12,31-6,25.23,112.7,87.5,66.4,0.01,7.05,106.8,99.8,2.64
9.0,Syracuse,BE,30-10,24.83,113.1,88.3,63.1,-0.004,9.46,106.8,97.4,-4.44
10.0,Michigan St.,B10,27-9,24.17,112.6,88.5,63.1,0.001,11.91,108.8,96.9,-0.75
11.0,Pittsburgh,BE,24-9,24.08,115.6,91.5,59.3,-0.058,4.52,104.9,100.4,-9.69
12.0,Wisconsin,B10,23-12,22.57,108.3,85.7,60.4,-0.033,11.08,108.8,97.7,-3.2
13.0,Miami FL,ACC,29-7,22.37,113.6,91.3,61.9,0.028,8.41,107.7,99.3,4.96
14.0,Arizona,P12,27-8,21.88,115.4,93.5,65.5,-0.012,7.99,106.4,98.5,1.45
15.0,Creighton,MVC,28-8,21.75,118.3,96.5,63.8,-0.009,5.73,105.5,99.7,1.63
16.0,Georgetown,BE,25-7,21.24,107.6,86.4,61.2,0.038,7.42,106.3,98.9,-6.15
17.0,Wichita St.,MVC,30-9,20.31,111.8,91.5,63.8,-0.002,6.71,106.9,100.2,0.17
18.0,VCU,A10,27-9,20.28,114.0,93.7,66.4,0.002,5.09,105.8,100.7,-0.22
19.0,Saint Louis,A10,28-7,20.01,108.6,88.6,63.8,0.0,3.91,104.5,100.6,-3.98
20.0,Minnesota,B10,21-13,19.85,114.8,95.0,62.3,-0.036,11.22,108.5,97.3,2.07
21.0,Saint Mary's,WCC,28-7,19.33,116.1,96.8,62.9,0.023,3.18,104.9,101.7,-0.49
22.0,Colorado St.,MWC,26-9,19.12,117.9,98.8,63.8,0.02,7.17,105.8,98.6,-0.49
23.0,New Mexico,MWC,29-6,19.02,109.9,90.9,63.7,0.073,7.98,106.4,98.4,4.42
24.0,Oklahoma St.,B12,24-9,18.69,109.0,90.3,66.1,-0.016,6.38,106.8,100.4,-2.26
25.0,Missouri,SEC,23-11,18.53,114.9,96.4,66.3,-0.032,5.62,105.1,99.5,-2.02
26.0,Marquette,BE,26-9,18.32,113.2,94.9,63.3,0.09,9.28,105.9,96.6,-1.14
27.0,Kansas St.,B12,27-8,18.16,113.5,95.3,61.4,0.051,6.82,106.1,99.3,-3.29
30.0,Iowa St.,B12,23-12,17.63,117.5,99.8,68.3,-0.046,6.74,105.5,98.7,-3.12
31.0,San Diego St.,MWC,23-11,17.43,107.7,90.3,65.5,-0.049,7.65,106.6,98.9,1.92
32.0,North Carolina,ACC,25-11,17.14,112.2,95.1,69.6,0.038,8.57,106.6,98.0,-0.95
33.0,North Carolina St.,ACC,24-11,16.99,116.8,99.8,66.8,-0.032,6.54,106.1,99.5,-0.36
34.0,Mississippi,SEC,27-9,16.95,112.3,95.3,69.2,-0.011,3.19,103.4,100.2,-7.55
