Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
28.0,Missouri,B12,22-11,17.32,111.5,94.2,66.9,0.043,11.14,107.1,95.9,2.97
29.0,Memphis,CUSA,23-7,16.72,110.9,94.1,68.3,0.005,4.83,103.4,98.6,3.33
30.0,Arizona St.,P10,20-12,16.49,113.9,97.4,66.9,-0.014,8.74,106.4,97.7,5.43
31.0,Butler,Horz,27-6,16.09,115.4,99.3,58.6,0.073,4.1,104.5,100.4,1.84
33.0,Gonzaga,WCC,24-9,15.58,113.2,97.7,66.9,-0.021,3.92,104.0,100.1,5.83
34.0,Colorado,B12,20-12,15.27,109.1,93.8,69.9,0.001,9.02,106.9,97.8,0.22
36.0,Cincinnati,CUSA,17-12,14.69,105.0,90.3,66.4,-0.066,7.32,106.6,99.3,3.65
37.0,UNC Wilmington,CAA,24-7,14.62,109.5,94.9,64.1,-0.031,-2.47,99.2,101.7,-0.81
38.0,Alabama,SEC,17-12,14.6,110.3,95.7,65.3,-0.015,9.55,106.6,97.1,2.31
39.0,Stanford,P10,24-9,14.57,109.8,95.2,65.6,0.066,7.26,106.2,98.9,3.75
40.0,Dayton,A10,24-6,14.53,116.4,101.9,64.4,0.084,4.91,104.4,99.5,5.51
41.0,Indiana,B10,21-13,14.48,113.4,98.9,63.7,0.05,10.49,107.2,96.8,9.29
42.0,Oregon,P10,23-10,14.25,111.4,97.1,71.2,0.032,5.23,105.1,99.8,-4.45
44.0,Utah,MWC,25-8,14.04,106.6,92.6,62.1,0.069,5.24,106.7,101.5,1.55
46.0,Auburn,SEC,22-12,13.63,107.7,94.1,66.6,0.051,8.22,106.0,97.8,-4.71
47.0,California,P10,22-9,13.59,109.9,96.3,65.9,0.061,7.06,106.7,99.6,0.3
48.0,Penn,Ivy,22-6,13.35,110.3,96.9,63.3,0.035,-1.53,100.4,101.9,3.49
50.0,North Carolina St.,ACC,18-13,13.18,111.2,98.1,65.0,-0.023,8.48,106.9,98.4,-6.48
51.0,Tulsa,WAC,23-10,13.04,107.9,94.9,67.4,-0.061,1.05,102.7,101.7,4.16
52.0,Milwaukee,Horz,23-8,12.97,109.0,96.0,71.2,0.025,2.06,104.8,102.8,1.05
55.0,Southern Illinois,MVC,24-7,11.76,110.3,98.6,67.8,0.063,1.97,103.5,101.5,3.35
56.0,Western Kentucky,SB,24-9,11.75,108.0,96.3,67.2,0.035,1.09,103.1,102.0,2.09
66.0,Holy Cross,Pat,25-5,10.4,105.5,95.1,65.1,0.065,-5.57,99.0,104.5,-0.64
68.0,Manhattan,MAAC,23-7,10.04,105.5,95.4,68.1,0.014,-1.71,101.7,103.4,2.52
70.0,Central Michigan,MAC,25-7,10.01,109.5,99.4,71.7,0.137,2.06,104.3,102.3,2.86
76.0,Weber St.,BSky,25-5,8.88,111.4,102.5,66.5,0.073,-1.73,100.5,102.2,1.29
80.0,San Diego,WCC,17-12,8.32,104.7,96.4,70.9,0.003,3.37,104.8,101.4,6.03
88.0,Utah St.,BW,22-9,7.41,107.1,99.7,61.0,0.003,-2.0,101.1,103.1,-0.07
99.0,Troy St.,ASun,25-6,6.15,106.9,100.8,70.3,0.105,-5.2,99.3,104.5,-2.77
104.0,Colorado St.,MWC,17-14,5.96,110.6,104.6,67.1,0.031,4.39,104.6,100.2,-3.45
135.0,Austin Peay,OVC,20-8,2.65,100.7,98.0,64.4,0.171,-0.97,104.2,105.1,7.41
147.0,East Tennessee St.,SC,17-11,1.75,101.3,99.6,75.2,0.036,-1.8,102.1,103.9,4.8
150.0,Vermont,AE,19-11,1.57,101.1,99.5,64.4,0.019,-5.14,99.3,104.4,-2.29
157.0,Sam Houston St.,Slnd,21-7,0.82,101.5,100.6,67.2,0.088,-7.41,97.0,104.4,-2.0
161.0,IUPUI,MCon,19-14,0.46,102.9,102.5,67.0,0.071,-2.19,102.6,104.8,2.79
179.0,Wagner,NEC,21-11,-1.16,104.7,105.9,67.6,0.049,-7.45,98.9,106.3,2.39
244.0,South Carolina St.,MEAC,20-11,-8.59,96.4,105.0,71.7,0.115,-12.27,95.2,107.5,-0.55
260.0,Texas Southern,SWAC,18-13,-10.45,98.3,108.7,68.4,0.037,-12.96,94.4,107.4,-8.09
283.0,UNC Asheville,BSth,14-17,-12.35,101.2,113.5,68.0,0.119,-6.45,98.3,104.7,11.61
