Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Kentucky,SEC,32-4,29.18,116.5,87.4,67.7,0.051,11.2,108.6,97.4,6.77
2.0,Kansas,B12,30-8,28.62,115.0,86.4,72.2,-0.017,11.84,108.6,96.8,6.07
3.0,Pittsburgh,BE,28-5,28.61,114.8,86.2,64.7,-0.023,7.08,105.5,98.4,-8.24
4.0,Arizona,P10,28-4,26.8,115.6,88.8,72.7,-0.007,8.69,107.2,98.5,8.19
5.0,Illinois,B10,25-7,24.47,113.2,88.7,67.8,-0.029,7.29,105.8,98.5,-4.18
6.0,Duke,ACC,26-7,23.75,115.0,91.3,70.7,-0.03,8.85,107.1,98.3,0.64
7.0,Texas,B12,26-7,23.49,119.3,95.8,69.4,-0.009,10.36,107.1,96.7,2.16
8.0,Syracuse,BE,30-5,23.28,114.4,91.1,71.0,0.083,10.32,106.6,96.3,-3.63
9.0,Oklahoma,B12,27-7,23.01,112.1,89.1,62.7,0.034,9.01,106.7,97.7,-2.32
10.0,Louisville,CUSA,25-7,22.75,115.8,93.0,72.5,-0.029,6.8,105.4,98.6,6.01
11.0,Florida,SEC,25-8,22.14,116.5,94.4,65.0,0.008,8.3,105.9,97.6,-0.9
12.0,Wisconsin,B10,24-8,22.07,114.4,92.4,61.9,-0.024,6.46,106.1,99.6,-1.01
13.0,Maryland,ACC,21-10,22.0,110.9,88.9,71.5,-0.078,8.23,106.6,98.4,-5.29
14.0,Mississippi St.,SEC,21-10,21.53,107.4,85.8,64.8,-0.06,8.85,106.9,98.0,-2.62
15.0,Marquette,CUSA,27-6,21.3,120.5,99.2,65.7,0.07,7.93,106.1,98.2,-1.45
17.0,Saint Joseph's,A10,23-7,20.75,109.0,88.3,64.1,-0.049,4.6,105.0,100.4,5.8
18.0,Notre Dame,BE,24-10,20.31,116.5,96.2,69.2,0.009,11.01,107.4,96.3,3.78
19.0,Michigan St.,B10,22-13,20.26,110.1,89.9,63.6,-0.05,10.11,107.3,97.2,3.2
20.0,Xavier,A10,26-6,19.88,113.8,94.0,67.7,0.018,4.79,105.0,100.2,4.81
21.0,Wake Forest,ACC,25-6,19.87,114.5,94.6,67.7,0.073,7.83,105.8,98.0,-3.8
22.0,Connecticut,BE,23-10,19.54,111.6,92.0,71.2,0.005,8.75,107.3,98.6,-3.48
23.0,LSU,SEC,21-11,18.15,111.0,92.8,67.5,-0.035,6.27,104.8,98.6,-8.36
24.0,BYU,MWC,23-9,17.68,109.4,91.7,65.5,-0.031,5.49,107.3,101.8,5.2
25.0,Oklahoma St.,B12,22-10,17.67,105.9,88.2,66.7,0.003,9.08,106.3,97.2,-1.17
26.0,Creighton,MVC,29-5,17.54,112.4,94.9,68.4,0.026,-0.19,102.5,102.7,-0.51
27.0,Purdue,B10,19-11,17.42,107.0,89.6,69.3,-0.012,9.53,107.6,98.0,4.87
