,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,1,Ohio St.,B10,34-3,33.47,125.0,91.5,63.8,0.031,8.82,108.9,100.0,-4.08
1,2.0,1,Duke,ACC,32-5,28.42,119.7,91.3,68.6,0.017,8.43,107.3,98.9,3.48
2,3.0,1,Kansas,B12,35-3,28.38,118.9,90.6,68.4,0.06,7.75,108.2,100.5,-0.29
3,4.0,1,Pittsburgh,BE,28-6,27.08,120.6,93.5,61.8,-0.023,8.17,107.6,99.4,-3.68
4,5.0,4,Texas,B12,28-8,25.93,115.5,89.6,65.5,-0.058,7.61,107.5,99.9,0.6
5,6.0,4,Wisconsin,B10,25-9,25.84,122.3,96.5,56.9,-0.003,10.81,110.0,99.2,-3.58
6,7.0,4,Kentucky,SEC,29-9,25.82,117.8,92.0,65.0,-0.044,9.81,108.4,98.5,4.46
7,8.0,2,San Diego St.,MWC,34-3,24.98,114.1,89.1,62.3,0.059,7.48,107.6,100.1,4.1
8,9.0,3,Purdue,B10,26-8,24.79,115.9,91.1,66.0,0.007,10.16,108.8,98.7,1.21
9,10.0,3,Connecticut,BE,32-9,23.93,115.8,91.9,64.5,0.048,12.78,110.1,97.4,-0.77
10,11.0,2,Notre Dame,BE,27-7,23.25,120.9,97.7,63.1,0.074,9.92,108.2,98.3,-3.83
11,12.0,3,BYU,MWC,32-5,23.22,117.5,94.3,70.2,0.055,7.04,106.8,99.8,3.59
12,13.0,3,Syracuse,BE,27-8,22.49,114.9,92.4,64.6,0.032,9.03,108.3,99.3,-2.31
13,14.0,4,Louisville,BE,25-10,22.26,111.4,89.2,66.8,-0.037,8.77,108.3,99.5,-5.13
14,15.0,2,North Carolina,ACC,29-8,22.18,111.8,89.6,70.6,0.064,11.14,109.9,98.8,6.01
15,16.0,7,Washington,P10,24-11,21.69,117.7,96.0,69.9,-0.099,7.21,106.9,99.7,1.07
16,17.0,2,Florida,SEC,29-8,20.61,115.8,95.2,62.5,0.038,7.73,106.8,99.1,1.55
17,18.0,9,Illinois,B10,20-14,20.14,113.3,93.1,64.8,-0.074,12.29,110.6,98.3,3.15
18,19.0,5,West Virginia,BE,21-12,20.11,114.9,94.8,62.5,-0.018,12.7,111.0,98.3,7.1
19,20.0,5,Arizona,P10,30-8,19.65,117.4,97.8,65.3,0.064,7.69,107.7,100.0,-0.36
20,21.0,6,Cincinnati,BE,26-9,19.41,111.1,91.7,62.6,0.04,6.23,106.8,100.6,-9.35
21,22.0,12,Utah St.,WAC,30-4,19.32,111.2,91.8,62.4,0.033,-0.29,103.8,104.1,-2.4
22,23.0,13,Belmont,ASun,30-5,18.48,112.6,94.1,68.4,-0.006,-4.71,100.5,105.2,-1.05
23,24.0,8,George Mason,CAA,27-7,18.3,114.1,95.8,64.5,0.028,2.06,105.0,103.0,0.66
24,25.0,12,Clemson,ACC,22-12,18.16,109.6,91.5,63.9,-0.087,6.99,106.7,99.7,-2.81
25,26.0,11,Marquette,BE,22-15,18.14,115.5,97.3,66.2,-0.058,11.06,109.4,98.4,-5.91
26,28.0,9,Villanova,BE,21-12,17.83,114.9,97.0,65.0,-0.04,9.07,108.3,99.3,-0.79
27,29.0,8,UNLV,MWC,24-9,17.75,110.6,92.9,66.4,0.003,5.99,106.2,100.2,1.85
28,30.0,8,Michigan,B10,21-14,17.69,112.8,95.1,61.5,-0.014,12.0,110.7,98.7,-1.19
29,31.0,6,Georgetown,BE,21-11,17.65,114.2,96.6,63.4,0.048,12.51,110.2,97.7,5.8
30,32.0,5,Kansas St.,B12,23-11,17.42,111.1,93.6,66.4,0.01,9.23,108.5,99.3,0.73
31,33.0,5,Vanderbilt,SEC,23-11,17.33,116.6,99.2,66.1,-0.05,6.66,106.5,99.8,2.52
32,34.0,7,Temple,A10,26-8,16.84,110.5,93.7,64.2,0.014,4.04,105.5,101.5,5.83
33,35.0,10,Florida St.,ACC,23-11,16.76,104.5,87.7,66.7,-0.017,7.01,107.1,100.1,-1.82
34,36.0,8,Butler,Horz,28-10,16.46,112.3,95.9,63.5,0.033,6.11,106.4,100.3,6.67
35,37.0,11,Gonzaga,WCC,25-10,16.45,112.1,95.6,66.1,-0.007,3.82,106.4,102.6,4.5
36,38.0,6,Xavier,A10,24-8,16.02,112.8,96.8,64.3,0.035,4.49,105.4,100.9,6.02
37,39.0,12,Richmond,A10,29-8,16.01,112.6,96.5,62.1,0.052,3.11,104.8,101.7,1.0
38,41.0,6,St. John's,BE,21-12,15.87,111.2,95.3,66.0,0.047,10.98,110.0,99.0,1.69
39,42.0,11,Missouri,B12,23-11,15.54,113.4,97.8,70.7,-0.013,6.5,106.9,100.4,-4.76
40,45.0,10,Michigan St.,B10,19-15,15.08,109.5,94.4,65.0,0.01,13.7,111.0,97.3,6.7
41,46.0,10,Penn St.,B10,19-15,14.88,113.1,98.3,59.4,0.037,12.46,110.7,98.3,-0.62
42,48.0,9,Old Dominion,CAA,27-7,14.66,110.0,95.4,60.4,0.059,2.38,105.2,102.8,2.76
43,49.0,7,Texas A&M,B12,24-9,14.62,110.0,95.4,60.9,0.05,5.43,105.9,100.5,-7.5
44,52.0,7,UCLA,P10,23-11,13.57,108.7,95.1,65.5,0.033,6.92,107.3,100.4,0.26
45,53.0,11,VCU,CAA,28-12,13.49,112.0,98.5,65.6,0.021,4.79,105.8,101.0,2.26
46,56.0,13,Oakland,Sum,25-10,13.31,118.6,105.3,71.1,0.021,2.01,106.0,104.0,14.82
47,57.0,11,USC,P10,19-15,13.29,107.9,94.6,61.7,-0.05,7.56,107.8,100.2,2.66
