Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Villanova,BE,36-4,33.76,127.8,94.0,68.7,-0.018,11.31,111.3,100.0,3.98
2.0,Virginia,ACC,31-3,29.53,115.2,85.6,59.4,0.048,9.24,110.0,100.7,-0.08
3.0,Duke,ACC,29-8,28.86,122.4,93.6,69.7,-0.034,10.6,110.4,99.8,4.09
4.0,Cincinnati,Amer,31-5,26.6,113.4,86.8,64.5,-0.019,3.46,106.9,103.4,-4.21
5.0,Purdue,B10,30-7,26.27,122.7,96.4,67.2,0.006,9.02,109.1,100.1,0.69
6.0,Michigan St.,B10,30-5,25.41,119.2,93.8,67.0,0.038,6.64,108.6,101.9,-5.03
7.0,Michigan,B10,33-8,24.2,114.7,90.5,64.9,0.052,10.32,111.4,101.1,-4.83
8.0,North Carolina,ACC,26-11,23.59,120.3,96.7,71.2,-0.011,13.26,111.6,98.3,7.58
9.0,Kansas,B12,31-8,23.49,120.9,97.4,68.8,0.076,12.41,111.7,99.3,3.55
10.0,Gonzaga,WCC,32-5,23.03,118.1,95.1,69.4,0.009,1.57,106.4,104.8,3.12
11.0,Texas Tech,B12,27-10,22.59,113.3,90.8,66.7,-0.007,10.31,110.7,100.4,-5.24
12.0,West Virginia,B12,26-11,22.44,119.4,96.9,69.2,-0.014,10.59,109.9,99.3,-4.72
13.0,Tennessee,SEC,26-9,22.27,114.6,92.4,66.0,0.019,11.01,111.2,100.2,7.1
14.0,Clemson,ACC,25-10,21.65,114.2,92.6,66.1,-0.009,10.22,110.6,100.4,-1.91
15.0,Xavier,BE,29-6,21.51,120.1,98.6,70.5,0.091,9.35,109.9,100.6,1.84
16.0,Ohio St.,B10,25-9,21.16,116.0,94.9,67.0,0.02,8.75,109.8,101.1,0.26
17.0,Kentucky,SEC,26-11,20.44,115.8,95.4,68.8,-0.008,10.91,110.8,99.8,4.67
18.0,Houston,Amer,27-8,20.24,114.6,94.4,68.4,-0.015,3.9,106.6,102.7,-3.08
20.0,Butler,BE,21-14,19.05,116.2,97.2,67.6,-0.047,11.21,112.0,100.8,0.11
21.0,Wichita St.,Amer,25-8,19.03,121.0,101.9,68.6,-0.026,5.13,107.3,102.2,1.55
22.0,Florida,SEC,21-13,18.96,114.5,95.5,67.1,-0.059,10.74,110.2,99.5,4.57
23.0,Auburn,SEC,26-8,18.69,115.4,96.7,72.6,0.034,7.52,108.8,101.3,-1.86
24.0,TCU,B12,21-12,18.47,119.7,101.2,68.6,-0.067,9.67,110.7,101.0,-0.82
25.0,Nevada,MWC,29-8,18.39,120.2,101.8,69.4,-0.026,5.13,107.0,101.8,3.61
26.0,Seton Hall,BE,22-12,18.04,116.9,98.8,69.5,-0.028,10.12,110.5,100.4,-0.0
27.0,Florida St.,ACC,23-12,17.77,114.3,96.5,71.2,-0.029,9.27,109.6,100.3,-6.91
28.0,Arizona,P12,27-8,17.7,118.0,100.4,67.1,0.036,5.96,108.5,102.5,2.51
