Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Duke,ACC,31-6,32.33,120.8,88.5,67.7,-0.028,12.59,109.5,96.9,2.42
2.0,Connecticut,BE,33-6,28.3,117.8,89.5,68.2,0.012,8.93,107.7,98.8,-2.05
3.0,Saint Joseph's,A10,30-2,27.66,118.9,91.2,66.1,0.06,6.99,107.1,100.1,8.86
4.0,Oklahoma St.,B12,31-4,27.37,118.5,91.1,64.8,0.029,7.56,107.7,100.1,-5.55
5.0,Pittsburgh,BE,31-5,25.91,114.1,88.2,59.7,-0.028,5.97,106.4,100.5,-8.2
6.0,Wisconsin,B10,25-7,25.74,116.0,90.3,60.7,-0.001,8.34,108.0,99.7,3.63
7.0,Gonzaga,WCC,28-3,25.34,120.8,95.5,66.6,0.013,3.28,105.5,102.2,7.0
8.0,Georgia Tech,ACC,28-10,24.69,113.5,88.8,69.1,0.008,13.74,110.8,97.1,0.97
9.0,North Carolina St.,ACC,21-10,23.98,119.1,95.1,62.1,-0.072,12.81,109.5,96.7,-0.59
10.0,Kentucky,SEC,27-5,23.35,113.5,90.1,66.1,0.031,8.97,108.3,99.3,3.47
11.0,North Carolina,ACC,19-11,23.23,117.4,94.1,70.9,-0.091,13.85,110.2,96.4,2.76
12.0,Stanford,P10,30-2,22.52,111.9,89.3,64.5,0.051,3.76,105.9,102.2,-1.79
13.0,Illinois,B10,26-7,22.11,117.8,95.7,63.5,0.055,8.13,107.7,99.5,2.52
14.0,Mississippi St.,SEC,26-4,21.74,114.7,92.9,68.1,0.021,6.38,106.3,99.9,-1.89
15.0,Wake Forest,ACC,21-10,21.69,121.6,99.9,70.4,-0.019,13.52,109.6,96.1,1.79
16.0,Cincinnati,CUSA,25-7,21.56,116.1,94.5,66.7,0.003,5.62,105.6,100.0,-0.28
17.0,Texas,B12,25-8,21.54,115.6,94.1,64.7,0.038,9.27,109.1,99.8,0.8
18.0,Kansas,B12,24-9,20.89,112.3,91.4,69.4,0.017,10.39,109.2,98.8,6.53
19.0,Louisville,CUSA,20-10,20.44,107.1,86.6,67.4,-0.079,7.09,107.0,99.9,4.23
20.0,Nevada,WAC,25-9,20.27,112.3,92.0,68.7,-0.039,7.09,107.6,100.5,4.97
21.0,Xavier,A10,26-11,20.16,113.8,93.6,64.1,-0.022,7.19,107.5,100.3,2.75
22.0,Maryland,ACC,20-12,19.81,110.9,91.1,71.1,-0.009,14.09,112.1,98.0,-1.13
23.0,Vanderbilt,SEC,23-10,18.64,113.6,95.0,65.0,-0.002,7.87,108.0,100.1,-6.57
24.0,Providence,BE,20-9,18.32,112.3,93.9,65.0,0.003,8.8,107.9,99.1,4.05
25.0,Florida,SEC,20-11,18.26,116.9,98.6,65.9,-0.023,9.6,107.9,98.3,0.08
27.0,Seton Hall,BE,21-10,17.35,112.3,95.0,65.4,-0.004,7.85,107.2,99.4,-1.14
28.0,Texas Tech,B12,23-11,17.11,111.4,94.3,66.7,0.01,8.29,108.4,100.1,2.29
29.0,Alabama,SEC,20-13,16.5,114.7,98.2,64.7,0.004,11.2,109.1,97.9,6.59
30.0,Syracuse,BE,23-8,16.34,113.1,96.7,65.7,0.086,7.88,107.4,99.6,-4.61
31.0,Western Michigan,MAC,26-5,16.29,114.3,98.0,65.6,0.037,-0.63,103.5,104.1,-1.21
32.0,Arizona,P10,20-10,16.18,118.5,102.3,73.0,-0.072,5.72,106.7,101.0,4.6
33.0,Memphis,CUSA,22-8,16.17,111.8,95.6,66.6,0.012,5.55,105.7,100.2,1.83
34.0,Michigan St.,B10,18-12,15.66,117.2,101.5,64.0,-0.014,8.92,107.1,98.2,7.6
35.0,BYU,MWC,21-9,15.64,113.0,97.4,65.9,0.02,7.13,108.1,101.0,6.41
