,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
53,95.0,14,Bucknell,Pat,23-10,6.69,102.2,95.6,63.1,0.063,-2.34,101.4,103.7,2.28
54,106.0,14,Niagara,MAAC,20-10,5.43,115.2,109.8,70.1,-0.027,-3.52,101.3,104.8,0.83
55,108.0,14,Winthrop,BSth,27-6,4.97,101.5,96.5,63.1,0.065,-7.69,99.6,107.3,2.26
56,134.0,15,Southeastern Louisiana,Slnd,24-9,3.2,97.1,93.9,60.0,0.007,-4.75,100.3,105.1,-1.78
57,143.0,15,Eastern Kentucky,OVC,22-9,1.98,102.8,100.8,66.1,0.099,-3.87,102.4,106.3,1.72
58,165.0,15,Chattanooga,SC,20-11,0.03,98.9,98.8,67.6,0.059,-3.78,101.1,104.9,5.69
59,178.0,16,Oakland,MCon,13-19,-1.2,108.1,109.3,65.2,-0.022,1.99,105.2,103.2,14.37
60,190.0,16,Fairleigh Dickinson,NEC,20-13,-2.52,102.7,105.2,68.6,-0.003,-7.88,99.4,107.3,0.75
61,192.0,15,UCF,ASun,24-9,-2.56,105.0,107.6,60.1,0.067,-8.61,99.0,107.7,-4.62
62,194.0,16,Montana,BSky,18-13,-2.73,99.9,102.6,68.2,0.049,-4.35,100.4,104.8,4.56
63,209.0,16,Delaware St.,MEAC,19-14,-4.95,102.3,107.2,59.3,0.077,-7.47,97.1,104.6,9.89
64,278.0,16,Alabama A&M,SWAC,15-14,-12.49,90.5,102.9,72.8,-0.023,-14.52,92.4,106.9,1.14
