,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,1,Duke,ACC,35-5,33.29,121.0,87.7,64.7,0.009,11.53,107.9,96.4,2.5
1,2.0,1,Kansas,B12,33-3,31.85,120.4,88.5,67.2,0.038,9.53,108.2,98.7,1.13
2,3.0,1,Syracuse,BE,30-5,27.62,118.5,90.9,68.7,-0.008,8.62,108.5,99.8,-2.96
3,4.0,1,Kentucky,SEC,35-3,26.54,114.9,88.3,68.3,0.06,7.06,106.5,99.5,-1.28
4,5.0,2,West Virginia,BE,31-7,25.54,117.2,91.7,62.6,0.057,12.58,110.0,97.5,5.45
5,6.0,2,Kansas St.,B12,29-8,25.52,116.1,90.6,69.4,-0.008,11.99,109.5,97.5,2.37
6,7.0,2,Ohio St.,B10,29-8,24.99,117.5,92.5,64.6,0.007,7.88,106.3,98.4,-2.92
7,8.0,3,Baylor,B12,28-8,24.95,119.2,94.3,64.5,-0.021,10.59,108.3,97.7,-2.79
8,9.0,4,Wisconsin,B10,24-9,23.56,115.2,91.6,59.2,-0.013,8.69,107.9,99.2,1.01
9,10.0,7,BYU,MWC,30-6,23.27,117.3,94.0,71.1,0.012,3.88,104.9,101.0,-0.03
10,11.0,3,Georgetown,BE,23-11,22.64,116.8,94.2,65.8,-0.035,11.55,109.0,97.4,3.35
11,12.0,5,Butler,Horz,33-5,22.45,111.0,88.5,63.0,0.032,6.85,106.7,99.9,11.11
12,13.0,4,Maryland,ACC,24-9,22.37,118.3,95.9,68.7,-0.023,8.87,106.7,97.8,-4.35
13,14.0,8,California,P10,24-11,22.15,119.6,97.4,67.1,-0.043,9.03,106.5,97.5,8.46
14,15.0,4,Purdue,B10,29-6,22.05,109.8,87.7,66.2,0.07,8.81,107.8,99.0,-1.26
15,16.0,5,Texas A&M,B12,24-10,21.33,112.6,91.2,64.3,-0.005,11.51,109.4,97.9,0.15
16,17.0,2,Villanova,BE,25-8,21.24,117.2,96.0,71.2,0.025,10.03,108.7,98.7,-0.91
17,18.0,6,Xavier,A10,26-9,20.87,115.5,94.6,68.9,0.01,8.04,106.2,98.2,7.27
18,19.0,8,Texas,B12,24-10,20.75,113.9,93.1,71.5,-0.014,9.01,107.2,98.2,-1.32
19,20.0,5,Michigan St.,B10,28-9,20.13,112.8,92.7,65.3,0.027,9.03,107.5,98.5,-0.94
20,21.0,5,Temple,A10,29-6,20.12,107.8,87.7,60.4,0.076,6.07,106.4,100.3,5.68
21,22.0,10,Missouri,B12,23-11,19.99,111.5,91.5,68.8,-0.035,8.17,107.1,98.9,-6.1
22,23.0,12,Utah St.,WAC,27-8,19.9,116.0,96.1,59.8,-0.026,1.81,105.0,103.2,0.16
23,24.0,6,Marquette,BE,22-12,19.65,115.1,95.5,62.3,-0.064,9.05,108.0,98.9,-6.52
24,25.0,7,Clemson,ACC,21-11,19.28,110.9,91.6,67.6,-0.041,8.76,106.3,97.6,-2.85
25,27.0,9,Northern Iowa,MVC,30-5,18.87,109.6,90.8,58.9,0.034,4.08,105.7,101.6,-1.58
26,28.0,3,Pittsburgh,BE,25-9,18.66,111.4,92.8,61.3,0.041,7.87,107.7,99.8,-2.76
27,29.0,10,Saint Mary's,WCC,28-6,18.59,116.5,97.9,66.2,0.038,2.72,105.4,102.7,1.18
28,30.0,6,Tennessee,SEC,28-9,18.5,108.9,90.4,67.5,0.082,8.67,107.4,98.7,-0.48
29,31.0,10,Georgia Tech,ACC,23-13,18.22,109.2,91.0,68.2,-0.034,10.94,107.4,96.4,-2.46
30,32.0,11,Washington,P10,26-10,18.19,111.7,93.6,71.7,0.029,6.97,106.7,99.7,1.13
31,33.0,9,Florida St.,ACC,22-10,18.02,105.0,87.0,65.3,0.009,9.01,107.3,98.3,-2.88
32,34.0,11,Minnesota,B10,21-14,17.97,112.0,94.1,65.6,-0.055,8.37,107.7,99.3,-3.72
33,35.0,6,Notre Dame,BE,23-12,17.71,119.4,101.7,62.4,-0.068,6.28,106.5,100.2,-9.08
34,36.0,4,Vanderbilt,SEC,24-9,17.54,113.7,96.2,68.7,0.019,8.14,107.1,99.0,1.5
35,37.0,11,Old Dominion,CAA,27-9,17.51,107.8,90.3,62.6,0.009,3.17,105.0,101.9,6.16
36,38.0,9,Louisville,BE,20-13,16.91,114.5,97.6,66.3,-0.038,8.87,107.8,99.0,-1.62
37,39.0,7,Oklahoma St.,B12,22-11,16.72,112.2,95.4,66.2,0.011,8.47,107.2,98.7,-4.33
38,40.0,11,San Diego St.,MWC,25-9,16.58,111.4,94.9,63.1,0.006,5.4,105.3,99.9,2.24
39,41.0,8,UNLV,MWC,25-9,16.56,110.6,94.0,66.3,-0.013,4.08,104.8,100.7,0.67
40,42.0,12,UTEP,CUSA,26-7,16.53,107.7,91.2,67.9,0.024,2.62,104.1,101.5,-4.26
41,43.0,3,New Mexico,MWC,30-5,16.18,113.6,97.4,67.4,0.096,4.09,105.0,100.9,1.85
42,44.0,8,Gonzaga,WCC,27-7,16.14,112.3,96.1,67.5,0.079,3.42,105.5,102.1,4.43
43,46.0,12,Cornell,Ivy,29-5,15.92,117.4,101.5,63.9,0.068,-0.66,101.2,101.9,4.12
44,50.0,10,Florida,SEC,21-13,15.23,113.0,97.8,63.9,-0.061,7.75,106.6,98.8,-1.96
45,53.0,13,Murray St.,OVC,31-5,15.06,109.0,94.0,65.6,-0.011,-5.78,100.2,106.0,-5.24
46,54.0,7,Richmond,A10,26-9,15.01,108.8,93.8,62.5,0.047,5.7,105.4,99.7,2.39
47,58.0,9,Wake Forest,ACC,20-11,14.12,107.1,93.0,68.7,0.067,10.51,107.4,96.9,-0.82
48,59.0,13,Siena,MAAC,27-7,13.86,109.4,95.5,69.2,0.027,-0.51,100.9,101.4,3.22
49,82.0,13,Wofford,SC,26-9,10.12,104.6,94.4,63.5,-0.023,-1.55,102.2,103.8,4.23
50,88.0,13,Houston,CUSA,19-16,8.79,112.0,103.2,71.1,-0.083,3.76,105.0,101.2,0.68
51,94.0,14,Ohio,MAC,22-15,8.25,107.3,99.0,68.8,-0.068,0.76,103.1,102.3,-0.9
52,95.0,14,Montana,BSky,22-10,8.08,106.5,98.4,62.0,-0.042,-2.21,103.4,105.6,-0.86
53,100.0,14,Sam Houston St.,Slnd,25-8,7.42,110.2,102.7,69.3,0.052,-3.33,101.3,104.6,4.67
54,112.0,12,New Mexico St.,WAC,22-12,6.03,111.6,105.5,70.3,0.122,4.03,105.8,101.7,2.09
55,135.0,14,Oakland,Sum,26-9,3.19,107.5,104.3,69.5,0.173,-2.75,101.6,104.4,10.65
