,Rank,Seed,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
0,1.0,1,North Carolina,ACC,34-4,31.14,123.2,92.1,72.9,-0.011,9.91,108.2,98.3,1.06
1,2.0,1,Connecticut,BE,31-5,29.25,116.0,86.8,67.1,0.024,10.37,109.0,98.6,-1.68
2,3.0,1,Pittsburgh,BE,31-5,28.96,121.2,92.3,65.2,-0.012,10.11,108.1,98.0,0.79
3,4.0,2,Memphis,CUSA,33-4,28.67,112.8,84.2,65.9,-0.009,4.73,105.5,100.8,4.19
4,5.0,1,Louisville,BE,31-6,26.06,111.2,85.2,66.9,0.068,9.57,108.6,99.0,-0.19
5,6.0,3,Missouri,B12,31-7,24.81,116.6,91.8,70.9,0.031,7.96,106.4,98.4,-3.76
6,7.0,2,Oklahoma,B12,30-6,24.59,118.3,93.7,66.6,0.018,9.49,108.3,98.9,0.46
7,8.0,4,Gonzaga,WCC,28-6,24.51,117.5,93.0,67.1,0.003,4.63,105.1,100.5,10.61
8,9.0,2,Michigan St.,B10,31-7,24.37,114.3,89.9,66.5,0.091,12.33,109.4,97.1,5.81
9,10.0,2,Duke,ACC,30-7,24.31,117.5,93.2,66.3,0.053,10.23,108.5,98.3,3.18
10,11.0,6,West Virginia,BE,23-12,24.21,115.1,90.9,63.7,-0.067,10.95,108.9,98.0,2.11
11,12.0,6,UCLA,P10,26-9,23.93,119.5,95.6,65.3,-0.03,8.42,107.6,99.1,-3.43
12,13.0,3,Villanova,BE,30-8,23.89,114.4,90.5,68.3,0.021,9.99,108.9,98.9,-5.37
13,14.0,3,Kansas,B12,27-8,23.83,114.5,90.7,67.2,-0.013,8.83,107.9,99.1,1.55
14,15.0,6,Arizona St.,P10,25-10,23.03,118.2,95.2,59.1,-0.018,10.14,108.9,98.8,-2.04
15,16.0,3,Syracuse,BE,28-10,22.21,117.0,94.8,69.7,0.024,11.46,108.4,97.0,0.77
16,17.0,4,Washington,P10,26-9,22.09,113.1,91.0,72.2,-0.005,10.18,109.4,99.2,0.09
17,18.0,5,Purdue,B10,27-10,21.84,110.5,88.7,65.9,-0.012,8.94,107.2,98.3,-5.45
18,19.0,6,Marquette,BE,25-10,21.02,117.1,96.1,67.5,-0.014,8.22,107.8,99.5,-4.95
19,20.0,4,Xavier,A10,27-8,20.24,111.0,90.8,65.8,-0.008,5.81,105.8,100.0,7.97
20,21.0,8,BYU,MWC,25-8,20.1,114.0,93.9,69.0,-0.046,4.57,105.4,100.9,0.39
21,22.0,7,Texas,B12,23-12,19.65,112.2,92.5,65.4,-0.048,10.16,109.2,99.0,2.01
22,23.0,7,Clemson,ACC,23-9,19.62,116.4,96.7,67.9,-0.024,6.19,105.4,99.2,-4.45
23,24.0,4,Wake Forest,ACC,24-7,18.88,111.6,92.7,72.8,0.051,7.66,107.5,99.9,-4.35
24,25.0,5,Illinois,B10,24-10,18.72,106.8,88.1,62.8,0.001,7.96,106.5,98.6,-3.36
25,26.0,8,Oklahoma St.,B12,23-12,18.33,116.4,98.1,69.3,-0.003,10.46,108.8,98.4,-0.28
26,27.0,10,USC,P10,22-13,18.26,110.0,91.8,63.7,-0.032,10.81,110.5,99.7,0.74
27,28.0,5,Utah,MWC,24-10,17.8,110.8,92.9,65.0,0.013,7.29,107.9,100.6,6.96
28,29.0,12,Wisconsin,B10,20-13,17.62,113.3,95.7,59.1,-0.052,9.51,107.3,97.8,1.32
29,30.0,7,California,P10,22-11,17.37,116.8,99.4,66.0,0.001,9.17,108.0,98.8,-3.54
30,32.0,9,Tennessee,SEC,21-13,16.48,115.1,98.7,67.7,-0.032,9.4,107.9,98.5,9.15
31,34.0,8,Ohio St.,B10,22-11,16.34,113.3,96.9,62.5,0.042,9.46,107.7,98.2,-3.41
32,37.0,12,Arizona,P10,21-14,15.96,117.7,101.8,64.9,0.018,11.33,109.0,97.7,2.34
33,38.0,9,Butler,Horz,26-6,15.78,110.3,94.5,62.8,-0.014,2.51,103.0,100.5,6.15
34,39.0,5,Florida St.,ACC,25-10,15.76,105.9,90.1,65.9,0.066,10.01,109.2,99.2,0.6
35,40.0,10,Minnesota,B10,22-11,15.43,108.1,92.6,64.5,0.031,8.44,107.4,98.9,-4.18
36,44.0,11,Utah St.,WAC,30-5,15.12,116.7,101.6,60.0,0.046,-0.47,103.2,103.6,-2.77
37,45.0,9,Texas A&M,B12,24-10,15.01,113.1,98.1,63.9,0.053,7.85,107.1,99.3,-4.3
38,46.0,8,LSU,SEC,27-8,14.86,111.5,96.6,66.1,0.075,3.5,104.6,101.1,-8.66
39,47.0,10,Michigan,B10,21-14,14.75,112.2,97.5,62.5,0.014,11.39,108.5,97.1,0.63
40,50.0,11,Temple,A10,22-12,14.38,109.9,95.5,63.5,-0.005,6.68,106.9,100.3,7.22
41,54.0,11,VCU,CAA,24-10,13.62,110.1,96.4,65.8,-0.073,0.23,102.9,102.7,3.46
42,55.0,10,Maryland,ACC,21-14,13.55,110.0,96.4,66.3,0.039,9.61,108.3,98.7,-3.29
43,61.0,14,North Dakota St.,Sum,26-7,12.29,114.3,102.0,67.5,-0.009,-1.6,103.1,104.7,2.21
44,66.0,13,Cleveland St.,Horz,26-11,11.96,105.3,93.3,63.7,0.009,3.76,104.6,100.9,7.07
45,67.0,9,Siena,MAAC,27-8,11.93,110.3,98.4,70.7,0.031,0.91,102.4,101.5,7.27
46,69.0,13,Mississippi St.,SEC,23-13,11.55,107.8,96.2,67.2,-0.004,4.96,105.3,100.3,-3.07
47,74.0,7,Boston College,ACC,22-12,11.2,113.2,102.0,65.3,0.038,6.4,106.6,100.2,-5.57
48,78.0,11,Dayton,A10,27-8,10.23,103.3,93.0,64.5,0.107,2.34,104.9,102.6,-4.57
49,83.0,12,Northern Iowa,MVC,23-11,9.7,110.6,100.9,60.8,0.051,3.1,104.7,101.6,1.88
50,88.0,12,Western Kentucky,SB,25-9,8.1,111.1,103.0,65.6,0.092,-0.6,102.2,102.8,6.63
51,95.0,13,Akron,MAC,23-13,6.9,102.9,96.0,64.8,-0.014,-1.6,100.9,102.5,-1.83
52,101.0,14,Stephen F. Austin,Slnd,24-8,6.52,97.0,90.4,62.4,0.053,-1.98,101.9,103.9,4.63
53,105.0,16,East Tennessee St.,ASun,23-11,5.67,106.4,100.7,69.6,-0.048,-4.73,100.2,105.0,-1.26
54,107.0,14,Cornell,Ivy,21-10,5.23,108.5,103.3,65.4,-0.005,-5.58,99.0,104.6,-0.5
55,108.0,15,Cal St. Northridge,BW,17-14,5.18,102.2,97.0,71.8,-0.045,0.26,104.0,103.7,5.14
56,112.0,14,American,Pat,24-8,4.7,105.3,100.6,60.7,0.093,-6.34,97.6,104.0,0.55
57,118.0,13,Portland St.,BSky,23-10,4.04,109.2,105.1,64.8,0.025,-3.32,101.5,104.8,-0.0
58,146.0,15,Robert Morris,NEC,24-11,1.49,102.0,100.6,66.0,0.055,-7.27,99.3,106.5,0.44
59,150.0,15,Morgan St.,MEAC,23-12,0.99,100.1,99.1,65.5,0.031,-7.43,98.2,105.7,4.82
60,157.0,16,Morehead St.,OVC,20-16,0.76,102.0,101.3,65.3,0.015,-1.9,103.6,105.5,3.49
61,176.0,16,Radford,BSth,21-12,-0.86,101.2,102.1,69.2,0.076,-4.54,101.0,105.5,8.71
62,177.0,15,Binghamton,AE,23-9,-0.98,102.3,103.3,67.2,0.13,-5.64,99.6,105.3,-4.08
63,200.0,16,Alabama St.,SWAC,22-10,-2.97,100.7,103.6,63.6,0.025,-11.71,95.4,107.2,9.21
64,213.0,16,Chattanooga,SC,18-17,-4.04,104.3,108.4,69.5,0.041,-3.37,102.1,105.5,12.4
