Rank,Team,Conference,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM
1.0,Duke,ACC,31-4,34.19,121.0,86.8,74.5,-0.027,9.87,109.1,99.2,6.66
2.0,Cincinnati,CUSA,31-4,30.19,118.1,87.9,67.4,0.002,6.58,106.3,99.7,3.48
3.0,Maryland,ACC,32-4,29.25,119.2,89.9,73.7,0.025,9.88,109.1,99.3,1.62
4.0,Kansas,B12,33-4,28.99,118.7,89.7,77.3,0.022,10.66,110.3,99.6,8.32
5.0,Oklahoma,B12,31-5,26.04,114.9,88.9,66.5,0.043,8.77,109.0,100.2,-0.45
6.0,Indiana,B10,25-12,24.8,114.0,89.2,65.6,-0.049,14.11,110.8,96.7,13.53
7.0,Florida,SEC,22-9,24.72,115.1,90.4,69.6,-0.073,9.11,108.1,99.0,-0.56
8.0,Illinois,B10,26-9,23.21,115.7,92.5,68.5,0.016,10.6,109.7,99.1,6.78
9.0,Oregon,P10,26-9,22.97,119.2,96.3,71.1,-0.041,8.15,108.1,99.9,-3.3
10.0,Kentucky,SEC,22-10,22.21,113.4,91.2,68.0,-0.029,12.97,110.1,97.1,6.75
11.0,Marquette,CUSA,26-7,21.47,113.4,91.9,64.6,0.006,5.41,105.5,100.1,-2.87
12.0,USC,P10,22-10,20.67,112.8,92.1,70.1,-0.051,9.3,109.2,99.9,1.89
13.0,Arizona,P10,24-10,20.54,119.3,98.8,71.1,0.079,14.22,111.3,97.1,17.56
14.0,Kent St.,MAC,29-6,20.39,116.7,96.4,64.7,0.008,3.11,106.0,102.9,2.99
15.0,Stanford,P10,20-10,20.32,116.6,96.3,69.5,-0.02,10.33,110.2,99.8,2.11
16.0,Pittsburgh,BE,29-6,19.94,112.1,92.2,63.8,0.0,3.12,103.7,100.6,-12.06
17.0,Ohio St.,B10,24-8,19.76,116.4,96.6,66.8,0.005,7.51,106.6,99.1,-1.26
18.0,Connecticut,BE,27-7,19.36,112.2,92.8,68.7,0.063,8.18,107.3,99.1,1.72
