,Team,Conference,AdjEM,AdjO,AdjD,AdjT,Luck,Opp AdjEM,OppO,OppD,NCSOS AdjEM,W,L,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace_x,pts,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,wins_conf,wins_home,wins_visitor,pace_y,def_rtg,opp_fta_per_fga_pct,opp_fg3a_per_fga_pct,opp_ts_pct,opp_trb_pct,opp_ast_pct,opp_stl_pct,opp_blk_pct,opp_efg_pct,opp_tov_pct,opp_orb_pct,opp_ft_rate,num_SO,num_JR,num_SR,num_FR,num_F,num_G,ast_per_g_1,ast_per_g_2,ast_per_g_3,ast_per_g_4,ast_per_g_5,ast_per_g_6,ast_per_g_7,ast_per_g_8,ast_per_g_9,ast_per_g_10,ast_per_g_11,ast_per_g_12,blk_per_g_1,blk_per_g_2,blk_per_g_3,blk_per_g_4,blk_per_g_5,blk_per_g_6,blk_per_g_7,blk_per_g_8,blk_per_g_9,blk_per_g_10,blk_per_g_11,blk_per_g_12,drb_per_g_1,drb_per_g_2,drb_per_g_3,drb_per_g_4,drb_per_g_5,drb_per_g_6,drb_per_g_7,drb_per_g_8,drb_per_g_9,drb_per_g_10,drb_per_g_11,drb_per_g_12,fg2_pct_1,fg2_pct_2,fg2_pct_3,fg2_pct_4,fg2_pct_5,fg2_pct_6,fg2_pct_7,fg2_pct_8,fg2_pct_9,fg2_pct_10,fg2_pct_11,fg2_pct_12,fg2_per_g_1,fg2_per_g_2,fg2_per_g_3,fg2_per_g_4,fg2_per_g_5,fg2_per_g_6,fg2_per_g_7,fg2_per_g_8,fg2_per_g_9,fg2_per_g_10,fg2_per_g_11,fg2_per_g_12,fg2a_per_g_1,fg2a_per_g_2,fg2a_per_g_3,fg2a_per_g_4,fg2a_per_g_5,fg2a_per_g_6,fg2a_per_g_7,fg2a_per_g_8,fg2a_per_g_9,fg2a_per_g_10,fg2a_per_g_11,fg2a_per_g_12,fg3_pct_1,fg3_pct_2,fg3_pct_3,fg3_pct_4,fg3_pct_5,fg3_pct_6,fg3_pct_7,fg3_pct_8,fg3_pct_9,fg3_pct_10,fg3_pct_11,fg3_pct_12,fg3_per_g_1,fg3_per_g_2,fg3_per_g_3,fg3_per_g_4,fg3_per_g_5,fg3_per_g_6,fg3_per_g_7,fg3_per_g_8,fg3_per_g_9,fg3_per_g_10,fg3_per_g_11,fg3_per_g_12,fg3a_per_g_1,fg3a_per_g_2,fg3a_per_g_3,fg3a_per_g_4,fg3a_per_g_5,fg3a_per_g_6,fg3a_per_g_7,fg3a_per_g_8,fg3a_per_g_9,fg3a_per_g_10,fg3a_per_g_11,fg3a_per_g_12,fg_pct_1,fg_pct_2,fg_pct_3,fg_pct_4,fg_pct_5,fg_pct_6,fg_pct_7,fg_pct_8,fg_pct_9,fg_pct_10,fg_pct_11,fg_pct_12,fg_per_g_1,fg_per_g_2,fg_per_g_3,fg_per_g_4,fg_per_g_5,fg_per_g_6,fg_per_g_7,fg_per_g_8,fg_per_g_9,fg_per_g_10,fg_per_g_11,fg_per_g_12,fga_per_g_1,fga_per_g_2,fga_per_g_3,fga_per_g_4,fga_per_g_5,fga_per_g_6,fga_per_g_7,fga_per_g_8,fga_per_g_9,fga_per_g_10,fga_per_g_11,fga_per_g_12,ft_pct_1,ft_pct_2,ft_pct_3,ft_pct_4,ft_pct_5,ft_pct_6,ft_pct_7,ft_pct_8,ft_pct_9,ft_pct_10,ft_pct_11,ft_pct_12,ft_per_g_1,ft_per_g_2,ft_per_g_3,ft_per_g_4,ft_per_g_5,ft_per_g_6,ft_per_g_7,ft_per_g_8,ft_per_g_9,ft_per_g_10,ft_per_g_11,ft_per_g_12,fta_per_g_1,fta_per_g_2,fta_per_g_3,fta_per_g_4,fta_per_g_5,fta_per_g_6,fta_per_g_7,fta_per_g_8,fta_per_g_9,fta_per_g_10,fta_per_g_11,fta_per_g_12,height_1,height_2,height_3,height_4,height_5,height_6,height_7,height_8,height_9,height_10,height_11,height_12,high_school_1,high_school_2,high_school_3,high_school_4,high_school_5,high_school_6,high_school_7,high_school_8,high_school_9,high_school_10,high_school_11,high_school_12,mp_per_g_1,mp_per_g_2,mp_per_g_3,mp_per_g_4,mp_per_g_5,mp_per_g_6,mp_per_g_7,mp_per_g_8,mp_per_g_9,mp_per_g_10,mp_per_g_11,mp_per_g_12,orb_per_g_1,orb_per_g_2,orb_per_g_3,orb_per_g_4,orb_per_g_5,orb_per_g_6,orb_per_g_7,orb_per_g_8,orb_per_g_9,orb_per_g_10,orb_per_g_11,orb_per_g_12,pf_per_g_1,pf_per_g_2,pf_per_g_3,pf_per_g_4,pf_per_g_5,pf_per_g_6,pf_per_g_7,pf_per_g_8,pf_per_g_9,pf_per_g_10,pf_per_g_11,pf_per_g_12,pts_per_g_1,pts_per_g_2,pts_per_g_3,pts_per_g_4,pts_per_g_5,pts_per_g_6,pts_per_g_7,pts_per_g_8,pts_per_g_9,pts_per_g_10,pts_per_g_11,pts_per_g_12,stl_per_g_1,stl_per_g_2,stl_per_g_3,stl_per_g_4,stl_per_g_5,stl_per_g_6,stl_per_g_7,stl_per_g_8,stl_per_g_9,stl_per_g_10,stl_per_g_11,stl_per_g_12,tov_per_g_1,tov_per_g_2,tov_per_g_3,tov_per_g_4,tov_per_g_5,tov_per_g_6,tov_per_g_7,tov_per_g_8,tov_per_g_9,tov_per_g_10,tov_per_g_11,tov_per_g_12,trb_per_g_1,trb_per_g_2,trb_per_g_3,trb_per_g_4,trb_per_g_5,trb_per_g_6,trb_per_g_7,trb_per_g_8,trb_per_g_9,trb_per_g_10,trb_per_g_11,trb_per_g_12,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,num_C,ast_per_g_13,blk_per_g_13,drb_per_g_13,fg2_pct_13,fg2_per_g_13,fg2a_per_g_13,fg3_pct_13,fg3_per_g_13,fg3a_per_g_13,fg_pct_13,fg_per_g_13,fga_per_g_13,ft_pct_13,ft_per_g_13,fta_per_g_13,height_13,high_school_13,mp_per_g_13,orb_per_g_13,pf_per_g_13,pts_per_g_13,stl_per_g_13,tov_per_g_13,trb_per_g_13,weight_13,ast_per_g_14,ast_per_g_15,ast_per_g_16,blk_per_g_14,blk_per_g_15,blk_per_g_16,drb_per_g_14,drb_per_g_15,drb_per_g_16,fg2_pct_14,fg2_pct_15,fg2_pct_16,fg2_per_g_14,fg2_per_g_15,fg2_per_g_16,fg2a_per_g_14,fg2a_per_g_15,fg2a_per_g_16,fg3_pct_14,fg3_pct_15,fg3_pct_16,fg3_per_g_14,fg3_per_g_15,fg3_per_g_16,fg3a_per_g_14,fg3a_per_g_15,fg3a_per_g_16,fg_pct_14,fg_pct_15,fg_pct_16,fg_per_g_14,fg_per_g_15,fg_per_g_16,fga_per_g_14,fga_per_g_15,fga_per_g_16,ft_pct_14,ft_pct_15,ft_pct_16,ft_per_g_14,ft_per_g_15,ft_per_g_16,fta_per_g_14,fta_per_g_15,fta_per_g_16,height_14,height_15,height_16,high_school_14,high_school_15,high_school_16,mp_per_g_14,mp_per_g_15,mp_per_g_16,orb_per_g_14,orb_per_g_15,orb_per_g_16,pf_per_g_14,pf_per_g_15,pf_per_g_16,pts_per_g_14,pts_per_g_15,pts_per_g_16,stl_per_g_14,stl_per_g_15,stl_per_g_16,tov_per_g_14,tov_per_g_15,tov_per_g_16,trb_per_g_14,trb_per_g_15,trb_per_g_16,weight_14,weight_15,weight_16,ast_per_g_17,ast_per_g_18,blk_per_g_17,blk_per_g_18,drb_per_g_17,drb_per_g_18,fg2_pct_17,fg2_pct_18,fg2_per_g_17,fg2_per_g_18,fg2a_per_g_17,fg2a_per_g_18,fg3_pct_17,fg3_pct_18,fg3_per_g_17,fg3_per_g_18,fg3a_per_g_17,fg3a_per_g_18,fg_pct_17,fg_pct_18,fg_per_g_17,fg_per_g_18,fga_per_g_17,fga_per_g_18,ft_pct_17,ft_pct_18,ft_per_g_17,ft_per_g_18,fta_per_g_17,fta_per_g_18,height_17,height_18,high_school_17,high_school_18,mp_per_g_17,mp_per_g_18,orb_per_g_17,orb_per_g_18,pf_per_g_17,pf_per_g_18,pts_per_g_17,pts_per_g_18,stl_per_g_17,stl_per_g_18,tov_per_g_17,tov_per_g_18,trb_per_g_17,trb_per_g_18,weight_17,weight_18,num_PG,year
0,Villanova,BE,33.76,127.8,94.0,68.7,-0.018000000000000002,11.31,111.3,100.0,3.98,36,4,53.7,10.5,0.595,0.475,0.22899999999999998,0.294,4,1,3,122.2,2807,29.1,70.2,3463,10.24,26.64,9.1,13.3,52.4,0.623,14,12,9,70.2,99.1,0.267,0.35700000000000004,0.519,47.6,51.8,6.8,8.2,0.485,15.9,26.4,0.2,2,5.0,3.0,4,6,8,4.6,3.5,2.9,2.2,1.9,1.1,0.8,0.3,0.1,0.1,0.0,0.0,1.5,1.1,0.6,0.4,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,5.8,4.0,3.6,3.4,2.8,2.8,1.4,1.2,0.9,0.3,0.3,0.2,1.0,1.0,0.779,0.639,0.636,0.599,0.593,0.575,0.53,0.511,0.33299999999999996,0.0,4.6,3.5,2.8,2.6,2.4,1.6,1.3,0.4,0.2,0.1,0.1,0.0,7.7,5.9,4.7,4.5,4.4,3.0,1.7,0.7,0.5,0.1,0.1,0.0,0.435,0.433,0.408,0.401,0.39399999999999996,0.379,0.35600000000000004,0.33299999999999996,0.2,0.188,0.0,0.0,2.6,2.2,2.1,1.7,1.6,0.9,0.9,0.1,0.1,0.0,0.0,0.0,6.0,5.3,5.3,4.4,3.8,2.7,2.2,0.6,0.3,0.2,0.2,0.1,1.0,0.779,0.5329999999999999,0.521,0.514,0.48100000000000004,0.47600000000000003,0.452,0.441,0.33299999999999996,0.25,0.2,6.8,6.1,4.7,4.0,3.8,3.3,1.3,1.3,0.3,0.1,0.1,0.1,13.0,11.9,9.8,8.4,7.4,7.1,2.9,1.7,1.1,0.3,0.3,0.2,0.851,0.813,0.802,0.8,0.8,0.71,0.7,0.643,0.625,0.0,0.0,0.0,3.3,2.9,2.1,1.9,1.8,1.2,0.8,0.5,0.4,0.0,0.0,0.0,4.1,3.4,2.7,2.5,2.3,1.8,0.9,0.7,0.6,0.0,0.0,0.0,81.0,81.0,80.0,80.0,79.0,79.0,77.0,76.0,75.0,75.0,75.0,74.0,Salesianum HS,Rivers School,Pitman High School,Neumann-Goretti High School,Mount Saint Joseph HS,MacDuffie School,Haverford Senior High School,Great Valley HS,Flint Hill School,Dobbs Ferry,Calvert Hall College High School,Archmere Academy,32.1,31.8,29.8,29.3,28.1,27.4,14.4,11.3,6.1,2.2,1.5,1.4,2.3,1.8,1.4,1.2,1.0,0.4,0.3,0.3,0.1,0.1,0.1,0.1,2.4,2.3,2.2,2.1,2.0,1.8,1.7,1.4,0.9,0.6,0.2,0.1,18.9,17.7,13.4,10.9,10.6,10.0,4.3,3.1,1.1,0.2,0.2,0.1,1.5,1.1,0.9,0.9,0.8,0.7,0.6,0.3,0.1,0.0,0.0,0.0,2.0,1.8,1.7,1.4,1.4,1.0,0.5,0.5,0.4,0.1,0.1,0.0,8.0,5.3,5.3,4.8,3.2,3.1,2.4,1.3,1.2,0.3,0.3,0.2,260.0,255.0,226.0,224.0,220.0,200.0,199.0,195.0,194.0,191.0,183.0,175.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.16699999999999998,0.0,0.1,0.0,0.0,0.0,71.0,Archbishop Wood High School,1.3,0.0,0.0,0.1,0.0,0.0,0.2,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,Adlai Stevenson HS,0,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
1,Virginia,ACC,29.53,115.2,85.6,59.4,0.048,9.24,110.0,100.7,-0.08,31,3,54.0,12.3,0.527,0.35,0.184,0.245,1,1,1,110.4,1836,26.9,60.6,2283,9.07,22.21,11.2,12.3,51.2,0.555,17,16,10,60.6,88.8,0.262,0.408,0.479,48.8,47.6,6.3,7.3,0.44299999999999995,18.4,25.5,0.192,3,3.0,3.0,4,4,8,3.9,3.1,1.6,1.6,1.5,1.1,0.7,0.3,0.3,0.3,0.1,0.0,1.4,1.2,0.6,0.5,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,4.2,3.9,2.8,2.6,2.4,2.2,2.1,1.5,1.4,0.9,0.5,0.3,1.0,1.0,0.833,0.642,0.5770000000000001,0.525,0.519,0.47200000000000003,0.46,0.43799999999999994,0.41700000000000004,0.33299999999999996,2.8,2.5,2.4,2.2,2.2,2.2,1.5,1.3,1.3,0.4,0.3,0.2,6.4,4.8,4.8,4.7,4.5,3.8,3.1,2.4,1.5,1.2,0.3,0.3,0.5,0.43200000000000005,0.392,0.385,0.382,0.379,0.327,0.28600000000000003,0.25,0.17600000000000002,0.0,0.0,2.4,1.7,1.7,0.6,0.5,0.4,0.2,0.1,0.1,0.1,0.0,0.0,6.2,4.5,3.9,1.7,1.6,1.0,0.6,0.5,0.4,0.2,0.1,0.0,0.68,0.667,0.642,0.5770000000000001,0.5710000000000001,0.488,0.485,0.45399999999999996,0.42100000000000004,0.415,0.4,0.386,5.2,3.9,3.9,3.2,2.4,2.2,1.8,1.5,1.4,0.8,0.4,0.2,12.6,9.3,8.6,6.5,5.0,4.7,3.8,2.4,2.2,2.1,0.7,0.5,0.905,0.894,0.8240000000000001,0.78,0.7559999999999999,0.755,0.625,0.605,0.5,0.5,0.382,0.33299999999999996,2.2,2.2,1.2,1.1,1.0,0.9,0.7,0.4,0.4,0.1,0.1,0.1,3.0,2.5,1.5,1.3,1.2,1.2,1.2,1.0,0.7,0.2,0.2,0.2,85.0,82.0,81.0,80.0,79.0,78.0,78.0,77.0,77.0,76.0,75.0,74.0,Westlake HS,Voyager Academy,Saint Benedict's Preparatory School,Riverdale Baptist (MD),Oliver Wendell Holmes High School,Montrose Christian (MD),Lawrence Central High School,Iona Preparatory School,Greater Atlanta Christian HS,Friends' Central School,Cape Henry Collegiate HS,Blue Ridge High School,32.4,32.1,30.8,27.5,19.9,19.8,16.5,15.6,8.8,7.9,2.7,2.2,2.1,1.5,1.2,0.9,0.5,0.4,0.4,0.3,0.2,0.1,0.1,0.1,2.3,2.2,2.2,1.8,1.8,1.4,1.2,1.2,0.5,0.4,0.2,0.1,14.1,11.7,10.6,9.2,6.0,5.4,4.9,3.4,3.4,2.0,1.0,0.6,1.6,1.2,1.0,0.9,0.7,0.6,0.4,0.3,0.2,0.1,0.1,0.1,1.6,1.2,1.0,0.9,0.9,0.8,0.8,0.6,0.5,0.3,0.1,0.1,6.2,4.2,4.1,3.5,3.1,3.0,2.6,1.9,1.6,1.0,0.5,0.4,250.0,232.0,228.0,225.0,217.0,212.0,210.0,205.0,205.0,204.0,195.0,185.0,1.0,0.0,0.0,0.2,0.33299999999999996,0.1,0.2,0.0,0.0,0.0,0.35700000000000004,0.2,0.3,0.0,0.0,0.2,73.0,Albemarle High School,1.9,0.0,0.1,0.4,0.0,0.1,0.4,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
2,Duke,ACC,28.86,122.4,93.6,69.7,-0.034,10.6,110.4,99.8,4.09,29,8,57.6,12.4,0.5589999999999999,0.363,0.24600000000000002,0.34600000000000003,5,1,5,118.5,2576,38.6,70.7,3121,9.71,24.44,10.4,14.7,55.5,0.586,13,15,6,70.7,97.8,0.223,0.368,0.493,44.5,56.1,8.0,6.7,0.46399999999999997,14.8,29.6,0.162,4,1.0,1.0,8,6,6,5.6,4.6,2.0,1.5,1.4,0.9,0.6,0.5,0.5,0.5,0.3,0.3,2.1,1.0,0.9,0.6,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.0,7.1,6.1,3.4,2.8,2.3,2.3,1.4,1.1,0.9,0.7,0.6,0.5,1.0,0.71,0.7,0.647,0.615,0.586,0.503,0.5,0.5,0.5,0.49,0.465,7.5,4.3,3.2,2.2,2.1,1.7,1.3,0.6,0.5,0.4,0.3,0.3,11.6,7.4,6.5,5.0,4.2,2.7,1.9,1.2,1.0,0.9,0.5,0.4,0.5,0.489,0.413,0.402,0.397,0.37,0.353,0.29,0.263,0.16699999999999998,0.125,0.0,2.8,2.6,0.8,0.7,0.6,0.5,0.5,0.4,0.2,0.1,0.0,0.0,7.5,6.5,2.9,1.8,1.3,1.2,1.0,1.0,0.7,0.4,0.2,0.0,0.643,0.615,0.614,0.561,0.5,0.5,0.5,0.47700000000000004,0.428,0.42100000000000004,0.418,0.415,8.2,4.9,4.8,4.8,4.0,1.7,1.4,1.2,1.0,0.5,0.4,0.3,13.3,11.7,11.5,9.4,8.6,2.7,2.4,2.1,2.0,1.1,1.1,0.9,1.0,1.0,0.8759999999999999,0.85,0.75,0.738,0.737,0.627,0.596,0.593,0.5529999999999999,0.5,4.0,3.4,2.9,2.3,1.4,0.6,0.6,0.5,0.4,0.3,0.1,0.1,6.3,4.5,3.4,2.6,2.4,1.2,1.0,0.9,0.5,0.3,0.3,0.2,84.0,83.0,83.0,82.0,82.0,82.0,79.0,79.0,78.0,78.0,76.0,75.0,St. Anne's-Belfield School,Sierra Canyon School,San Antonio Christian School High School,Providence,Prolific Prep,Pine Crest HS,Pace Academy,Norcross High School,Milton High School,Joseph Wheeler High School,IMG Academy,Germantown Friends School,35.6,33.9,33.9,29.8,26.9,12.9,12.7,10.4,7.0,6.5,5.7,4.8,4.0,2.9,1.6,1.3,0.8,0.5,0.5,0.5,0.4,0.4,0.1,0.0,2.8,2.4,2.2,2.1,1.8,1.7,1.4,0.8,0.7,0.4,0.4,0.4,21.0,15.5,14.5,13.5,10.3,3.9,3.4,3.3,3.0,1.4,1.0,1.0,1.7,1.5,1.2,0.8,0.8,0.6,0.3,0.3,0.3,0.3,0.0,0.0,2.8,2.3,2.1,2.0,1.0,1.0,0.7,0.6,0.4,0.3,0.3,0.3,11.1,9.1,4.2,4.0,3.6,3.3,2.0,1.5,1.4,1.1,0.6,0.5,269.0,259.0,250.0,234.0,234.0,222.0,210.0,209.0,202.0,195.0,186.0,183.0,2.0,0.1,0.0,0.5,0.444,0.2,0.3,0.0,0.0,0.0,0.409,0.3,0.8,0.5,0.1,0.2,74.0,DeSoto High School,4.7,0.0,0.3,0.8,0.0,0.3,0.5,181.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.43,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.321,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,74.0,0.0,0.0,Australian Institute of Sport,0,0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
3,Cincinnati,Amer,26.6,113.4,86.8,64.5,-0.019,3.46,106.9,103.4,-4.21,31,5,60.4,15.8,0.512,0.353,0.249,0.36,2,1,2,112.2,2071,38.4,66.2,2673,3.53,20.25,10.7,14.1,55.6,0.5429999999999999,16,15,9,66.2,86.9,0.268,0.37799999999999995,0.465,44.4,48.8,7.5,7.8,0.433,18.8,27.8,0.183,5,3.0,2.0,5,6,8,3.1,2.9,2.8,2.5,2.1,0.9,0.4,0.4,0.4,0.3,0.2,0.2,1.4,1.2,1.0,0.7,0.6,0.4,0.4,0.2,0.2,0.1,0.1,0.0,5.7,3.8,3.3,2.7,2.2,1.4,1.3,1.1,1.1,1.0,0.8,0.8,1.0,0.562,0.55,0.535,0.524,0.512,0.494,0.488,0.47,0.46799999999999997,0.391,0.377,4.0,3.7,2.8,2.2,1.9,1.1,1.1,1.1,0.9,0.6,0.4,0.3,7.5,6.7,6.0,4.4,3.6,2.6,2.3,2.2,2.0,1.5,0.7,0.7,0.5,0.435,0.4,0.39,0.37,0.35700000000000004,0.35700000000000004,0.33899999999999997,0.317,0.14800000000000002,0.0,0.0,1.7,1.7,0.9,0.8,0.8,0.7,0.6,0.2,0.1,0.1,0.0,0.0,4.9,4.5,2.4,2.3,2.3,1.7,1.6,0.8,0.4,0.3,0.2,0.0,1.0,0.5539999999999999,0.526,0.524,0.505,0.494,0.46299999999999997,0.42700000000000005,0.409,0.385,0.365,0.35,4.6,4.5,4.4,3.8,2.8,1.4,1.2,1.1,1.1,1.0,1.0,0.4,10.5,9.4,9.1,8.4,6.0,3.8,3.2,3.0,2.9,2.2,2.1,0.7,1.0,0.833,0.772,0.754,0.741,0.74,0.708,0.6779999999999999,0.6759999999999999,0.596,0.552,0.531,3.3,2.4,2.2,1.6,1.4,1.2,0.8,0.7,0.7,0.5,0.5,0.2,4.4,3.2,3.2,2.1,1.9,1.6,1.3,1.0,1.0,0.9,0.8,0.7,83.0,81.0,81.0,81.0,80.0,79.0,78.0,77.0,77.0,77.0,77.0,73.0,Wilmington High School,The RISE Centre Academy,Summit Country Day School,St. Michael the Archangel HS,South Kent School,Milford Mill Academy (MD),McIntosh County Academy,Life Center Academy,East Hartford (St. Thomas More),Clayton HS,Brewster Academy (NH),Bishop Loughlin Memorial High School,30.8,28.9,28.5,23.3,20.5,19.6,12.5,12.0,9.9,9.7,6.6,5.7,3.0,1.7,1.4,1.4,1.3,0.9,0.7,0.7,0.5,0.5,0.4,0.2,2.1,2.1,2.0,1.8,1.5,1.3,1.2,1.1,1.1,0.8,0.7,0.5,13.0,12.9,11.5,11.3,7.9,4.8,3.4,3.1,3.1,2.9,2.6,0.9,1.4,1.3,1.0,0.9,0.5,0.5,0.5,0.4,0.3,0.3,0.1,0.1,1.8,1.8,1.5,1.3,1.0,0.8,0.7,0.6,0.6,0.6,0.4,0.4,8.7,5.5,4.7,4.0,3.6,2.3,1.9,1.7,1.7,1.5,1.2,1.0,240.0,230.0,230.0,225.0,225.0,215.0,210.0,210.0,210.0,205.0,200.0,195.0,1.0,0.2,0.0,0.1,0.33299999999999996,0.1,0.3,0.0,0.0,0.0,0.33299999999999996,0.2,0.5,0.2,0.1,0.2,72.0,Bay High School,1.8,0.1,0.4,0.5,0.0,0.2,0.3,175.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33299999999999996,0.0,0.0,0.1,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,Bartlesville High School,22ft Basketball Academy,0,1.3,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.1,0.0,170.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018
