,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,18th,308th,263rd,169th,243rd,126th,256th,53rd,32nd,120th,94th,225th,136th,103rd,145th,121st,41st,128th,27th,45th,84th,211th,wofford,team_stats
1,303rd,346th,299th,325th,330th,109th,331st,191st,15th,309th,65th,340th,191st,33rd,245th,283rd,15th,318th,203rd,230th,158th,302nd,xavier,team_stats
2,11th,11th,148th,32nd,102nd,76th,168th,10th,185th,6th,136th,42nd,56th,180th,53rd,6th,191st,15th,4th,4th,269th,43rd,wisconsin,team_stats
3,128th,260th,335th,57th,68th,69th,126th,89th,13th,214th,26th,160th,169th,96th,200th,157th,168th,58th,31st,152nd,61st,299th,winthrop,team_stats
4,141st,167th,298th,311th,328th,101st,332nd,82nd,74th,127th,115th,317th,337th,147th,341st,291st,9th,330th,218th,208th,10th,305th,washington,team_stats
5,239th,202nd,286th,285th,286th,112th,299th,224th,84th,280th,92nd,305th,303rd,126th,309th,285th,2nd,315th,52nd,264th,54th,296th,west-virginia,team_stats
6,44th,255th,128th,119th,156th,32nd,248th,85th,8th,225th,12th,251st,260th,171st,260th,304th,79th,138th,204th,217th,216th,238th,wake-forest,team_stats
7,113th,292nd,195th,233rd,253rd,28th,306th,162nd,71st,222nd,37th,297th,216th,185th,221st,311th,7th,232nd,78th,294th,98th,283rd,vermont,team_stats
8,264th,321st,123rd,160th,73rd,84th,124th,320th,148th,326th,62nd,235th,345th,286th,340th,242nd,31st,310th,283rd,191st,65th,182nd,villanova,team_stats
9,136th,279th,133rd,263rd,263rd,51st,303rd,224th,153rd,243rd,70th,298th,113th,3rd,204th,321st,32nd,237th,191st,213th,171st,266th,vanderbilt,team_stats
10,123rd,174th,82nd,157th,156th,56th,228th,179th,79th,231st,49th,240th,43rd,280th,29th,69th,260th,97th,13th,27th,279th,62nd,utah-state,team_stats
11,128th,272nd,257th,294th,307th,25th,333rd,136th,77th,190th,44th,326th,269th,156th,271st,311th,20th,301st,220th,305th,45th,298th,texas,team_stats
12,195th,341st,338th,245th,186th,88th,234th,297th,14th,340th,21st,312th,329th,208th,324th,311th,28th,313th,87th,235th,4th,331st,tennessee,team_stats
13,167th,329th,278th,164th,144th,64th,214th,212th,136th,235th,68th,234th,191st,250th,167th,157th,10th,166th,67th,191st,106th,241st,texas-am,team_stats
14,88th,19th,262nd,70th,58th,22nd,163rd,162nd,47th,254th,13th,202nd,288th,76th,307th,211th,125th,126th,73rd,78th,40th,246th,texas-el-paso,team_stats
15,29th,137th,267th,100th,133rd,17th,250th,74th,4th,238th,7th,257th,16th,225th,15th,125th,229th,44th,3rd,63rd,271st,215th,temple,team_stats
16,343rd,26th,82nd,305th,239th,121st,258th,339th,25th,346th,27th,339th,14th,10th,34th,341st,112th,271st,123rd,345th,22nd,274th,syracuse,team_stats
17,303rd,202nd,281st,319th,315th,169th,313th,224th,102nd,263rd,156th,314th,1st,11th,3rd,182nd,109th,202nd,93rd,152nd,42nd,244th,siena,team_stats
18,194th,159th,25th,134th,75th,18th,184th,282nd,225th,270th,46th,228th,46th,198th,42nd,208th,129th,100th,36th,129th,151st,68th,san-diego-state,team_stats
19,344th,80th,208th,219th,218th,205th,197th,201st,109th,241st,169th,222nd,266th,145th,271st,116th,45th,241st,197th,163rd,53rd,163rd,sam-houston-state,team_stats
20,24th,24th,76th,305th,337th,113th,342nd,15th,23rd,37th,127th,311th,71st,60th,93rd,242nd,168th,223rd,124th,87th,308th,145th,saint-marys-ca,team_stats
21,190th,246th,236th,109th,62nd,110th,96th,264th,73rd,318th,55th,198th,336th,314th,334th,247th,30th,257th,106th,302nd,20th,250th,robert-morris,team_stats
22,36th,233rd,332nd,164th,201st,32nd,284th,96th,21st,204th,18th,273rd,249th,267th,236th,327th,117th,173rd,45th,78th,30th,336th,richmond,team_stats
23,88th,68th,324th,117th,139th,8th,286th,110th,246th,74th,29th,230th,238th,300th,206th,223rd,66th,135th,30th,48th,20th,297th,purdue,team_stats
24,149th,280th,140th,150th,148th,100th,197th,162nd,19th,288th,43rd,240th,28th,62nd,40th,191st,135th,82nd,6th,260th,54th,157th,old-dominion,team_stats
25,95th,102nd,266th,182nd,117th,65th,190th,289th,278th,255th,111th,223rd,218th,221st,211th,80th,129th,213th,171st,73rd,187th,187th,oklahoma-state,team_stats
26,92nd,296th,92nd,154th,208th,27th,290th,64th,52nd,112th,35th,248th,101st,50th,134th,233rd,65th,100th,36th,61st,312th,152nd,pittsburgh,team_stats
27,340th,285th,345th,335th,330th,145th,325th,269th,44th,325th,102nd,343rd,306th,229th,297th,338th,10th,338th,202nd,175th,13th,345th,ohio,team_stats
28,293rd,16th,273rd,267th,203rd,70th,259th,326th,155th,330th,66th,309th,36th,287th,24th,202nd,48th,237th,32nd,113th,27th,253rd,ohio-state,team_stats
29,275th,233rd,260th,341st,344th,255th,335th,132nd,177th,130th,281st,322nd,147th,95th,171st,223rd,19th,329th,257th,289th,135th,253rd,oakland,team_stats
30,10th,6th,164th,53rd,35th,59th,76th,201st,128th,225th,52nd,121st,11th,185th,9th,25th,81st,25th,2nd,15th,219th,77th,northern-iowa,team_stats
31,327th,233rd,177th,320th,299th,191st,293rd,307th,215th,301st,192nd,306th,92nd,345th,43rd,200th,103rd,306th,184th,159th,320th,192nd,notre-dame,team_stats
32,77th,296th,123rd,298th,324th,163rd,323rd,53rd,86th,78th,185th,283rd,143rd,260th,118th,185th,13th,254th,213th,281st,228th,142nd,north-texas,team_stats
33,301st,102nd,315th,265th,175th,243rd,144th,335th,132nd,339th,157th,272nd,163rd,85th,191st,88th,4th,286th,151st,104th,103rd,243rd,new-mexico,team_stats
34,345th,48th,321st,344th,333rd,268th,311th,341st,260th,333rd,270th,332nd,201st,182nd,206th,315th,95th,344th,334th,87th,154th,328th,new-mexico-state,team_stats
35,40th,68th,295th,53rd,41st,21st,128th,170th,119th,190th,30th,158th,331st,273rd,324th,168th,173rd,147th,55th,15th,25th,250th,nevada-las-vegas,team_stats
36,145th,106th,32nd,164th,167th,5th,307th,155th,128th,176th,10th,289th,177th,201st,167th,295th,55th,153rd,21st,268th,3rd,138th,murray-state,team_stats
37,13th,32nd,16th,45th,56th,43rd,137th,96th,271st,57th,99th,82nd,66th,34th,100th,59th,234th,33rd,29th,42nd,256th,19th,montana,team_stats
38,221st,338th,330th,332nd,338th,89th,345th,89th,95th,122nd,126th,335th,339th,113th,343rd,344th,8th,342nd,230th,199th,27th,341st,morgan-state,team_stats
39,287th,73rd,208th,202nd,96th,28th,195th,333rd,173rd,332nd,34th,280th,131st,135th,135th,281st,136th,212th,58th,258th,74th,258th,minnesota,team_stats
40,297th,80th,146th,273rd,203rd,70th,259th,331st,104th,337th,50th,318th,169th,278th,140th,202nd,75th,288th,56th,294th,138th,167th,michigan-state,team_stats
41,100th,148th,311th,192nd,232nd,75th,272nd,115th,59th,172nd,67th,251st,281st,248th,268th,332nd,93rd,218th,119th,139th,1st,329th,missouri,team_stats
42,301st,272nd,186th,269th,309th,280th,275th,66th,93rd,95th,274th,226th,28th,143rd,28th,161st,196th,176th,74th,84th,88th,180th,marquette,team_stats
43,260th,7th,113th,210th,203rd,138th,217th,207th,206th,184th,164th,221st,296th,244th,282nd,309th,84th,255th,214th,191st,64th,232nd,louisville,team_stats
44,105th,229th,201st,253rd,227th,10th,317th,264th,167th,285th,16th,320th,97th,196th,86th,346th,139th,219th,182nd,58th,70th,318th,maryland,team_stats
45,190th,246th,254th,321st,288th,7th,339th,326th,48th,342nd,3rd,346th,210th,174th,221st,344th,3rd,322nd,81st,324th,26th,322nd,kentucky,team_stats
46,316th,202nd,270th,282nd,247th,146th,247th,315th,200th,315th,150th,284th,113th,275th,87th,168th,45th,274th,235th,204th,156th,240th,lehigh,team_stats
47,306th,246th,347th,340th,342nd,318th,321st,170th,119th,190th,313th,310th,326th,298th,315th,335th,86th,343rd,313th,10th,7th,347th,houston,team_stats
48,248th,265th,307th,301st,301st,79th,321st,224th,164th,231st,106th,316th,347th,231st,346th,320th,1st,340th,215th,318th,2nd,322nd,kansas-state,team_stats
49,267th,296th,165th,255th,208th,1st,324th,294th,118th,321st,4th,338th,184th,166th,188th,326th,18th,260th,64th,268th,68th,294th,kansas,team_stats
50,311th,202nd,229th,260th,195th,12th,302nd,320th,53rd,338th,9th,333rd,245th,68th,266th,342nd,40th,293rd,100th,344th,22nd,321st,georgia-tech,team_stats
51,267th,292nd,37th,217th,182nd,105th,219th,244th,140th,280th,96th,251st,167th,311th,123rd,221st,114th,214th,110th,302nd,171st,89th,georgetown,team_stats
52,185th,106th,182nd,260th,253rd,54th,296th,244th,111th,291st,56th,304th,139th,22nd,200th,215th,17th,250th,156th,230th,182nd,200th,gonzaga,team_stats
53,243rd,305th,224th,291st,289th,208th,275th,224th,92nd,276th,172nd,282nd,23rd,129th,26th,252nd,196th,223rd,124th,243rd,125th,246th,florida,team_stats
54,299th,290th,306th,238th,113th,188th,119th,338th,125th,341st,101st,269th,260th,52nd,290th,298th,52nd,289th,158th,320th,9th,316th,east-tennessee-state,team_stats
55,9th,19th,24th,21st,17th,2nd,118th,196th,104th,238th,1st,166th,82nd,92nd,100th,233rd,177th,26th,19th,311th,49th,80th,florida-state,team_stats
56,125th,102nd,79th,134th,126th,97th,176th,170th,170th,163rd,108th,179th,196th,285th,160th,94th,240th,166th,67th,191st,130th,77th,cornell,team_stats
57,228th,339th,322nd,325th,339th,40th,347th,28th,2nd,136th,39th,344th,278th,169th,281st,332nd,5th,320th,28th,163rd,12th,330th,duke,team_stats
58,105th,116th,136th,138th,247th,160th,242nd,16th,10th,57th,118th,177th,111th,125th,117th,223rd,188th,78th,72nd,329th,19th,171st,clemson,team_stats
59,235th,292nd,153rd,316th,320th,227th,304th,155th,54th,238th,191st,300th,182nd,200th,173rd,223rd,150th,303rd,178th,90th,165th,188th,california,team_stats
60,109th,38th,85th,30th,25th,228th,16th,179th,38th,270th,92nd,52nd,126th,73rd,146th,112th,162nd,38th,103rd,182nd,141st,84th,california-santa-barbara,team_stats
