,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,2.9,0.2,SO,3.8,.501,5.2,10.3,.391,2.3,5.8,.462,7.4,16.1,.773,3.4,4.4,35,34,6-4,"Detroit, MI",32.8,55,1.0,1.6,Jordan Crawford,G,20.5,,1.3," 20.5 Pts, 4.7 Reb, 2.9 Ast",xavier,2.4,4.7,per_game,195
1,0.7,0.4,JR,3.0,.580,6.4,11.0,.000,0.0,0.0,.579,6.4,11.1,.702,3.8,5.5,35,35,6-6,"Braham, MN",28.9,42,3.3,2.0,Noah Dahlman,F,16.6,,0.9," 16.6 Pts, 6.3 Reb, 0.7 Ast",wofford,1.1,6.3,per_game,215
2,3.9,0.1,SO,2.1,.462,2.2,4.8,.322,1.1,3.4,.404,3.3,8.2,.846,4.4,5.2,35,35,6-0,"Hempstead, NY",31.9,52,0.2,1.9,Tu Holloway,G,12.1,,1.2," 12.1 Pts, 2.4 Reb, 3.9 Ast",xavier,2.0,2.4,per_game,190
3,0.8,1.4,SR,5.4,.552,4.4,8.0,,0.0,0.0,.552,4.4,8.0,.708,2.9,4.1,35,35,6-9,"Philadelphia, PA",27.8,31,3.3,2.8,Jason Love,F,11.8,,0.4," 11.8 Pts, 8.7 Reb, 0.8 Ast",xavier,1.7,8.7,per_game,265
4,0.7,0.9,JR,4.4,.521,2.9,5.5,,0.0,0.0,.521,2.9,5.5,.614,2.7,4.4,35,25,6-8,"Hampton, VA",24.5,22,3.1,2.3,Jamel McLean,F,8.5,,0.6," 8.5 Pts, 7.5 Reb, 0.7 Ast",xavier,1.2,7.5,per_game,225
5,2.1,0.2,FR,2.2,.423,1.8,4.3,.344,0.7,2.0,.398,2.5,6.3,.680,2.1,3.0,32,5,6-1,"Schenectady, NY",22.0,2,0.3,2.2,Mark Lyons,G,7.8,,1.0," 7.8 Pts, 2.5 Reb, 2.1 Ast",xavier,1.7,2.5,per_game,200
6,2.2,0.2,JR,2.7,.378,0.5,1.3,.401,1.6,4.1,.396,2.1,5.3,.759,0.6,0.8,35,33,6-5,"Greenfield, OH",25.7,25,0.5,2.7,Dante Jackson,G,6.5,,1.1," 6.5 Pts, 3.2 Reb, 2.2 Ast",xavier,1.8,3.2,per_game,195
7,0.7,0.6,SO,3.3,.514,2.2,4.2,.000,0.0,0.1,.507,2.2,4.3,.520,0.7,1.4,35,8,7-0,"Massillon, OH",16.3,32,1.1,2.0,Kenny Frease,C,5.1,2008,0.4," 5.1 Pts, 4.3 Reb, 0.7 Ast",xavier,1.1,4.3,per_game,275
8,0.4,0.0,SO,0.6,.500,0.1,0.3,.425,1.5,3.6,.430,1.7,3.9,.857,0.4,0.5,31,0,6-1,"Frankenmuth, MI",13.4,12,0.0,0.8,Brad Redford,G,5.3,,0.2," 5.3 Pts, 0.6 Reb, 0.4 Ast",xavier,0.5,0.6,per_game,182
9,2.6,0.5,JR,2.5,.417,2.0,4.8,.377,0.7,1.7,.406,2.7,6.5,.758,3.5,4.6,35,25,6-2,"Minneapolis, MN",24.7,5,0.4,2.4,Jamar Diggs,G,9.5,,1.1," 9.5 Pts, 2.9 Reb, 2.6 Ast",wofford,2.1,2.9,per_game,185
10,1.3,0.1,SR,2.2,.311,0.7,2.1,.372,1.9,5.2,.354,2.6,7.3,.563,0.5,0.9,35,35,6-2,"Spartanburg, SC",23.7,3,0.3,1.8,Junior Salters,G,7.7,,0.7," 7.7 Pts, 2.5 Reb, 1.3 Ast",wofford,0.8,2.5,per_game,200
11,1.4,0.1,JR,2.1,.389,1.1,2.7,.384,0.8,2.1,.387,1.9,4.8,.649,2.1,3.3,35,10,6-1,"Minneapolis, MN",20.5,1,0.6,1.4,Cameron Rundles,G,6.6,,0.6," 6.6 Pts, 2.6 Reb, 1.4 Ast",wofford,1.1,2.6,per_game,190
12,1.8,0.5,JR,5.7,.438,2.5,5.7,.000,0.0,0.0,.436,2.5,5.8,.374,1.1,2.8,35,20,6-6,"Memphis, TN",22.9,41,2.2,2.5,Tim Johnson,G,6.1,,1.0," 6.1 Pts, 7.9 Reb, 1.8 Ast",wofford,1.6,7.9,per_game,228
13,3.0,0.0,SO,1.1,.435,1.3,3.1,.333,0.6,1.9,.397,2.0,5.0,.754,1.3,1.7,35,35,6-0,"Cincinnati, OH",26.3,35,0.5,1.7,Brad Loesing,G,5.9,,0.8," 5.9 Pts, 1.6 Reb, 3.0 Ast",wofford,1.4,1.6,per_game,190
14,0.3,0.2,JR,1.9,.529,1.6,3.0,,0.0,0.0,.529,1.6,3.0,.738,1.4,1.9,35,0,6-0,"Cincinnati, OH",12.1,50,1.1,2.1,Terry Martin,G,4.5,,0.5," 4.5 Pts, 3.0 Reb, 0.3 Ast",wofford,0.7,3.0,per_game,235
15,0.5,0.1,SO,0.6,.586,0.5,0.9,.387,0.7,1.8,.451,1.2,2.7,.737,0.4,0.6,34,0,6-6,"Kingston Springs, TN",11.4,10,0.3,1.1,Kevin Giltner,G,3.5,,0.2," 3.5 Pts, 0.9 Reb, 0.5 Ast",wofford,0.8,0.9,per_game,200
16,0.6,0.1,SR,1.6,.540,0.8,1.6,.226,0.4,1.9,.366,1.3,3.5,.870,0.6,0.7,32,15,6-9,"Clermont, FL",12.7,33,0.3,1.0,Corey Godzinski,G,3.6,,0.3," 3.6 Pts, 1.9 Reb, 0.6 Ast",wofford,0.3,1.9,per_game,210
17,0.3,0.1,JR,1.3,.531,0.7,1.4,.500,0.0,0.1,.529,0.8,1.5,.563,0.5,0.9,35,0,6-8,"Toledo, OH",10.0,15,0.8,1.9,Andrew Taylor,F,2.1,,0.3," 2.1 Pts, 2.0 Reb, 0.3 Ast",xavier,0.2,2.0,per_game,215
