,ast_pct,blk_pct,efg_pct,fg3a_per_fga_pct,ft_rate,fta_per_fga_pct,g,losses,losses_conf,losses_home,losses_visitor,off_rtg,opp_pts,orb_pct,pace,pts,school_name,sos,srs,stl_pct,tov_pct,trb_pct,ts_pct,win_loss_pct,wins,wins_conf,wins_home,wins_visitor
0,51.3,8.8,.537,.305,.310,.405,37,5,2,1,1,113.8,2440,33.1,67.3,2833,Arizona,7.63,18.25,8.1,14.5,55.1,.580,.865,32,16,15,9
1,49.8,12.4,.514,.295,.290,.381,36,10,6,3,5,110.7,2659,31.7,71.7,2855,Arkansas,8.60,14.04,10.8,14.3,49.5,.558,.722,26,12,15,6
2,59.1,13.0,.530,.328,.244,.338,35,8,6,2,4,111.5,2228,40.2,65.3,2550,Baylor,11.87,19.75,7.9,17.1,56.5,.562,.771,27,12,15,6
3,54.1,9.7,.553,.384,.253,.372,35,9,3,2,6,107.9,2376,26.7,70.7,2669,Bucknell,-2.48,5.89,10.2,16.8,50.6,.578,.743,26,15,14,9
4,50.0,8.4,.546,.376,.275,.371,34,9,6,3,4,112.6,2341,27.1,67.3,2595,Butler,10.23,17.70,8.9,13.4,50.6,.581,.735,25,12,13,7
5,52.8,9.0,.490,.316,.278,.412,36,13,5,0,9,98.9,2506,28.9,70.2,2525,UC-Davis,-4.68,-5.21,7.9,17.6,50.8,.526,.639,23,11,11,6
6,57.5,13.9,.520,.361,.223,.325,36,6,2,0,3,113.3,2208,35.5,65.1,2674,Cincinnati,5.49,18.43,11.1,12.9,53.3,.547,.833,30,16,18,8
7,55.5,7.6,.576,.358,.189,.277,35,10,8,4,4,112.3,2549,24.8,72.9,2864,Creighton,8.95,17.27,8.4,15.2,49.3,.592,.714,25,10,13,7
8,61.0,11.9,.538,.381,.301,.436,32,8,3,1,3,108.9,2126,25.8,69.4,2428,Dayton,4.27,12.98,11.2,15.0,49.7,.571,.750,24,15,15,7
9,47.5,10.9,.548,.383,.299,.393,37,9,7,1,6,115.7,2597,31.6,69.9,2991,Duke,10.91,21.56,8.7,14.2,51.9,.588,.757,28,11,15,4
10,53.8,13.6,.555,.352,.304,.432,35,8,4,2,5,110.2,2438,31.3,71.4,2782,East Tennessee State,-2.11,7.31,11.6,18.0,53.1,.587,.771,27,14,13,8
11,52.3,9.7,.554,.315,.231,.329,34,8,2,3,3,113.8,2356,33.9,69.3,2701,Florida Gulf Coast,-3.42,2.26,8.7,15.3,53.9,.579,.765,26,12,16,10
12,49.3,13.7,.537,.313,.265,.384,35,9,6,0,6,113.1,2523,33.6,72.6,2873,Florida State,8.87,18.87,10.2,14.1,52.7,.566,.743,26,12,18,3
13,47.2,11.8,.516,.366,.293,.402,36,9,4,1,4,110.0,2394,31.8,70.1,2804,Florida,11.01,22.40,10.7,14.6,51.3,.556,.750,27,14,9,8
14,51.8,11.2,.567,.329,.280,.390,39,2,1,1,0,116.4,2398,29.8,70.9,3222,Gonzaga,4.13,25.26,9.6,14.2,54.7,.596,.949,37,17,15,10
15,55.3,7.7,.534,.400,.238,.310,35,13,8,4,7,109.9,2689,26.9,72.3,2813,Iona,-2.47,1.08,9.3,14.6,48.2,.569,.629,22,12,8,7
16,53.6,8.9,.550,.393,.194,.276,35,11,6,3,6,112.5,2529,25.6,70.6,2829,Iowa State,11.94,20.51,10.8,12.6,47.7,.572,.686,24,12,12,5
17,57.5,10.8,.528,.367,.247,.346,35,15,7,5,9,105.7,2378,31.5,65.3,2434,Jacksonville State,-3.24,-2.85,6.8,18.0,52.7,.559,.571,20,9,5,10
18,60.0,10.3,.527,.363,.286,.412,35,14,10,5,6,106.4,2372,29.5,67.5,2523,Kansas State,10.48,14.80,11.4,16.8,49.2,.560,.600,21,8,11,5
19,54.5,11.2,.561,.359,.244,.360,36,5,2,1,1,115.4,2588,33.9,71.4,2995,Kansas,12.23,23.53,9.6,15.1,53.0,.583,.861,31,16,14,10
20,45.5,9.7,.484,.349,.236,.328,36,14,8,6,5,107.0,2628,38.7,70.7,2772,Kent State,-1.63,0.88,8.9,14.9,54.0,.521,.611,22,10,10,7
21,51.6,13.0,.529,.316,.288,.409,38,6,2,2,3,113.8,2716,33.2,74.3,3225,Kentucky,10.49,23.88,8.1,13.4,53.2,.564,.842,32,16,15,7
22,48.4,15.2,.514,.321,.233,.340,34,9,6,1,5,112.0,2243,36.6,68.5,2628,Louisville,11.15,22.47,9.7,13.4,54.1,.543,.735,25,12,16,5
23,57.1,9.3,.576,.415,.242,.310,32,13,8,3,6,115.2,2418,27.0,71.1,2631,Marquette,8.60,15.26,10.1,15.5,49.6,.607,.594,19,10,14,4
24,57.1,11.9,.523,.411,.278,.398,33,9,6,5,2,108.1,2246,31.1,68.1,2438,Maryland,8.29,12.79,8.0,16.3,50.3,.557,.727,24,12,13,8
25,47.8,10.5,.510,.326,.246,.343,33,12,8,2,6,106.3,2116,33.4,64.7,2278,Miami (FL),9.57,14.48,9.9,16.6,53.0,.544,.636,21,10,14,4
26,65.3,11.9,.540,.380,.224,.335,35,15,8,2,7,105.1,2404,29.1,68.2,2515,Michigan State,10.50,13.67,6.3,18.0,52.6,.563,.571,20,10,14,2
27,52.6,7.4,.570,.451,.234,.301,38,12,8,3,8,116.5,2523,24.5,63.8,2851,Michigan,10.17,18.80,9.0,12.8,47.9,.601,.684,26,10,15,3
28,54.4,8.3,.543,.299,.212,.304,36,5,1,2,2,112.4,2299,30.7,66.4,2697,Middle Tennessee,-0.48,9.80,10.1,13.6,53.9,.567,.861,31,17,13,11
29,57.2,15.9,.487,.299,.281,.396,34,10,7,3,5,104.6,2361,29.6,70.3,2556,Minnesota,8.82,14.56,7.9,14.0,50.5,.528,.706,24,11,17,5
30,46.0,9.6,.510,.369,.218,.324,36,16,4,4,11,99.1,2474,23.0,68.4,2446,Mount St. Mary's,-3.51,-4.29,9.0,17.1,44.5,.536,.556,20,14,11,8
31,59.9,11.0,.525,.402,.291,.413,35,7,4,1,4,112.0,2496,30.3,70.9,2792,Nevada,2.03,10.49,7.6,13.4,52.4,.561,.800,28,14,13,8
32,55.3,9.6,.531,.382,.307,.431,34,6,3,1,4,112.1,2310,36.7,70.0,2678,New Mexico State,-3.82,4.66,6.9,16.5,54.4,.568,.824,28,11,17,8
33,60.2,8.6,.513,.250,.303,.427,32,12,5,3,8,103.2,2215,36.7,69.5,2331,New Orleans,-5.34,-4.10,11.2,20.2,52.9,.552,.625,20,13,11,7
34,52.7,8.7,.517,.380,.233,.341,34,9,3,2,6,108.7,2159,32.9,68.8,2542,North Carolina Central,-12.12,-3.18,8.9,14.8,51.7,.546,.735,25,13,11,11
35,52.7,8.2,.555,.411,.219,.317,35,6,3,1,3,118.1,2624,32.8,71.5,2967,North Carolina-Wilmington,-0.55,8.06,9.3,12.4,51.6,.578,.829,29,15,13,11
36,58.9,9.7,.519,.303,.244,.348,40,7,4,0,5,116.0,2824,41.3,72.6,3377,North Carolina,11.76,24.84,9.7,13.4,58.2,.550,.825,33,14,16,6
37,52.6,7.5,.542,.305,.260,.364,32,10,4,2,6,108.8,2357,26.8,72.9,2578,North Dakota,-5.45,-1.83,10.6,15.7,50.5,.573,.688,22,14,11,7
38,52.4,7.1,.529,.422,.247,.363,35,11,6,2,7,107.3,2507,31.7,70.8,2659,Northern Kentucky,-2.84,-0.17,8.1,16.4,53.1,.557,.686,24,12,12,8
39,59.1,13.2,.497,.357,.227,.304,36,12,8,4,5,106.8,2357,30.7,66.6,2558,Northwestern,8.43,14.02,7.9,13.8,50.6,.534,.667,24,10,14,5
40,57.8,9.7,.536,.406,.229,.286,36,10,6,2,4,113.8,2494,27.3,67.7,2783,Notre Dame,9.78,17.81,10.4,12.3,48.7,.573,.722,26,12,16,5
41,50.8,8.1,.539,.357,.302,.383,33,13,9,5,5,117.8,2589,38.1,72.7,2828,Oklahoma State,12.22,19.19,10.5,15.1,52.9,.583,.606,20,9,11,7
42,56.3,17.2,.554,.388,.247,.347,39,6,2,0,3,114.2,2565,32.2,68.8,3076,Oregon,8.38,20.80,9.4,14.7,52.9,.582,.846,33,16,17,7
43,55.2,9.5,.537,.460,.179,.242,30,7,0,1,4,109.5,1843,24.4,65.2,2149,Princeton,-1.84,6.57,10.2,13.5,50.0,.562,.767,23,14,10,10
44,58.6,8.1,.514,.359,.263,.381,33,13,8,3,7,103.6,2207,26.4,67.6,2319,Providence,7.84,11.24,9.7,16.3,49.1,.547,.606,20,10,15,4
45,65.3,6.1,.557,.383,.252,.333,35,8,4,2,4,112.6,2393,30.7,70.0,2790,Purdue,8.79,20.13,7.3,16.1,54.9,.589,.771,27,14,15,6
46,51.0,15.7,.507,.323,.262,.392,35,10,5,3,5,108.8,2288,32.8,67.4,2577,Rhode Island,4.62,12.88,9.6,14.0,51.8,.538,.714,25,13,13,7
47,63.1,8.5,.578,.414,.207,.278,34,5,2,2,1,117.6,1954,33.0,61.3,2449,Saint Mary's (CA),2.19,16.75,6.9,15.2,57.2,.602,.853,29,16,15,10
48,46.4,6.6,.499,.307,.242,.376,33,12,8,2,6,104.9,2323,35.7,69.0,2417,Seton Hall,9.25,12.10,9.9,16.4,54.7,.526,.636,21,10,12,4
49,50.6,11.1,.477,.334,.278,.398,37,11,6,3,5,102.9,2414,33.5,69.9,2707,South Carolina,10.16,17.52,11.0,15.5,50.8,.518,.703,26,12,15,6
50,52.1,7.2,.537,.456,.311,.404,35,17,8,3,12,109.6,2697,27.4,69.2,2683,South Dakota State,-0.66,-2.30,7.4,16.4,50.7,.581,.514,18,8,11,3
51,56.4,13.3,.522,.366,.273,.368,36,10,8,3,5,111.2,2633,30.9,70.1,2816,Southern California,6.40,11.48,9.9,13.7,50.3,.560,.722,26,10,14,6
52,61.9,11.1,.547,.365,.251,.360,35,5,1,0,3,116.6,2100,37.1,63.7,2599,Southern Methodist,4.45,18.71,9.0,14.3,56.3,.574,.857,30,17,18,8
53,47.2,7.4,.481,.344,.326,.443,35,12,2,0,11,105.5,2544,31.6,69.7,2593,Texas Southern,-7.81,-6.41,10.2,14.3,48.4,.532,.657,23,16,10,11
54,49.3,9.8,.528,.403,.285,.393,37,15,8,4,10,110.9,2667,31.6,70.1,2889,Troy,-3.36,-0.47,8.5,15.3,51.8,.565,.595,22,10,10,6
55,63.7,12.5,.598,.376,.198,.268,36,5,3,1,2,121.0,2719,28.9,74.2,3233,UCLA,6.39,20.67,7.9,13.4,52.4,.618,.861,31,15,16,8
56,55.2,9.8,.521,.486,.271,.348,35,16,8,5,6,105.6,2385,24.7,67.1,2489,Vanderbilt,10.72,13.69,6.2,16.3,50.0,.563,.543,19,10,11,5
57,50.5,11.4,.554,.325,.239,.341,35,6,0,1,3,112.4,2174,30.3,65.4,2571,Vermont,-3.27,6.67,8.7,15.0,52.8,.580,.829,29,16,16,11
58,52.3,9.0,.575,.433,.276,.350,36,4,3,1,2,117.6,2256,30.0,65.6,2779,Villanova,9.28,23.80,11.0,15.0,53.0,.612,.889,32,15,14,9
59,55.6,10.6,.510,.294,.257,.364,35,9,4,1,4,106.8,2343,31.2,69.0,2616,Virginia Commonwealth,3.77,11.57,10.7,15.3,51.8,.544,.743,26,14,15,7
60,56.0,7.0,.569,.397,.301,.409,33,11,8,2,6,112.5,2465,23.4,69.8,2610,Virginia Tech,8.38,12.77,5.6,15.5,48.2,.603,.667,22,10,15,4
61,56.4,13.9,.524,.330,.184,.260,34,11,7,4,5,107.9,1916,28.2,60.3,2246,Virginia,10.93,20.63,9.1,13.7,52.3,.548,.676,23,11,12,7
62,55.5,10.1,.541,.357,.317,.407,33,14,9,3,8,115.5,2588,30.7,71.7,2733,Wake Forest,9.80,14.19,7.7,14.3,51.9,.586,.576,19,9,11,5
63,57.3,14.2,.513,.325,.266,.389,37,9,6,2,4,112.2,2467,37.7,71.4,3014,West Virginia,9.67,24.45,13.8,14.1,52.1,.545,.757,28,12,16,6
64,59.1,11.4,.543,.364,.294,.401,36,5,1,1,1,116.7,2246,34.3,69.4,2916,Wichita State,2.96,21.24,9.4,13.9,56.1,.579,.861,31,17,16,9
65,47.5,13.1,.535,.429,.266,.370,33,7,3,3,3,108.3,2322,27.1,71.5,2615,Winthrop,-6.12,1.34,8.9,15.7,50.3,.568,.788,26,15,13,12
66,51.9,9.8,.521,.369,.212,.329,37,10,6,2,5,110.7,2308,35.7,64.5,2678,Wisconsin,9.40,19.40,10.3,14.3,54.7,.542,.730,27,12,15,5
67,57.1,7.7,.519,.361,.283,.411,38,14,9,4,8,109.0,2711,34.5,68.2,2836,Xavier,11.51,14.80,8.8,15.7,54.4,.552,.632,24,9,12,4
