,opp_ast,opp_blk,opp_drb,opp_fg,opp_fg2,opp_fg2_pct,opp_fg2a,opp_fg3,opp_fg3_pct,opp_fg3a,opp_fg_pct,opp_fga,opp_ft,opp_ft_pct,opp_fta,opp_orb,opp_pf,opp_pts,opp_pts_per_g,opp_stl,opp_tov,opp_trb,team_name,type
0,338th,335th,255th,336th,327th,307th,268th,322nd,96th,332nd,235th,320th,245th,148th,255th,165th,3rd,336th,153rd,324th,125th,230th,xavier,team_stats
1,45th,227th,196th,181st,139th,10th,292nd,222nd,309th,139th,44th,259th,73rd,332nd,46th,116th,67th,144th,13th,161st,85th,159th,wisconsin,team_stats
2,42nd,256th,206th,51st,42nd,7th,209th,173rd,19th,295th,4th,261st,234th,112th,257th,135th,10th,88th,14th,125th,51st,175th,wichita-state,team_stats
3,7th,183rd,244th,158th,185th,58th,261st,91st,25th,193rd,33rd,257th,208th,281st,181st,231st,127th,159th,125th,176th,106th,251st,winthrop,team_stats
4,200th,331st,294th,184th,151st,66th,220th,216th,202nd,205th,98th,232nd,328th,63rd,332nd,309th,4th,246th,48th,229th,1st,309th,west-virginia,team_stats
5,8th,60th,64th,6th,5th,34th,19th,56th,35th,116th,14th,21st,46th,153rd,46th,21st,338th,5th,1st,39th,166th,28th,virginia,team_stats
6,270th,275th,104th,276th,243rd,294th,168th,283rd,230th,272nd,267th,232nd,303rd,288th,286th,143rd,44th,306th,307th,176th,272nd,108th,wake-forest,team_stats
7,41st,295th,242nd,138th,199th,60th,272nd,40th,119th,49th,88th,198th,306th,140th,317th,170th,67th,171st,54th,139th,29th,227th,virginia-commonwealth,team_stats
8,225th,295th,107th,289th,273rd,181st,274th,267th,258th,238th,207th,278th,51st,248th,37th,240th,152nd,244th,238th,79th,277th,166th,virginia-tech,team_stats
9,295th,10th,34th,208th,194th,186th,188th,222nd,19th,318th,76th,269th,2nd,174th,2nd,171st,104th,98th,16th,102nd,77th,71st,villanova,team_stats
10,26th,84th,53rd,160th,228th,63rd,290th,37th,95th,48th,97th,215th,14th,182nd,12th,121st,127th,49th,11th,109th,128th,69th,vermont,team_stats
11,90th,142nd,277th,233rd,269th,86th,310th,116th,113th,141st,103rd,275th,119th,152nd,122nd,178th,235th,194th,72nd,146th,290th,253rd,vanderbilt,team_stats
12,268th,3rd,229th,347th,330th,39th,345th,342nd,273rd,333rd,90th,347th,65th,43rd,90th,332nd,183rd,339th,259th,290th,185th,298th,ucla,team_stats
13,235th,244th,276th,322nd,344th,190th,343rd,28th,58th,53rd,212th,307th,181st,64th,204th,348th,13th,292nd,191st,88th,85th,330th,texas-southern,team_stats
14,126th,151st,16th,40th,10th,18th,45th,318th,44th,341st,7th,222nd,4th,108th,7th,156th,152nd,24th,3rd,54th,219th,42nd,southern-methodist,team_stats
15,261st,254th,304th,314th,273rd,154th,284th,334th,128th,338th,117th,331st,255th,271st,239th,286th,36th,329th,176th,282nd,103rd,304th,troy,team_stats
16,334th,227th,267th,338th,321st,100th,328th,338th,284th,324th,158th,342nd,40th,254th,28th,327th,75th,319th,208th,182nd,130th,307th,southern-california,team_stats
17,323rd,164th,217th,335th,192nd,278th,123rd,350th,298th,350th,237th,316th,57th,279th,41st,235th,27th,335th,286th,310th,239th,239th,south-dakota-state,team_stats
18,26th,331st,331st,114th,160th,38th,255th,52nd,9th,173rd,18th,246th,345th,285th,341st,290th,6th,215th,32nd,282nd,2nd,328th,south-carolina,team_stats
19,1st,24th,3rd,31st,181st,46th,267th,1st,8th,5th,40th,91st,5th,102nd,8th,5th,300th,7th,2nd,130th,345th,2nd,saint-marys-ca,team_stats
20,18th,142nd,217th,65th,197th,44th,282nd,6th,6th,25th,28th,171st,339th,211th,337th,276th,48th,127th,33rd,95th,114th,260th,rhode-island,team_stats
21,89th,220th,115th,158th,198th,129th,226th,73rd,133rd,77th,152nd,165th,216th,267th,198th,69th,133rd,161st,127th,300th,234th,84th,seton-hall,team_stats
22,230th,188th,88th,289th,300th,72nd,326th,176th,85th,238th,82nd,321st,12th,200th,11th,116th,86th,197th,79th,295th,215th,85th,purdue,team_stats
23,74th,88th,180th,153rd,210th,214th,185th,48th,65th,83rd,189th,140th,30th,36th,52nd,138th,164th,63rd,52nd,215th,125th,159th,providence,team_stats
24,2nd,19th,73rd,5th,8th,75th,13th,26th,84th,38th,58th,9th,11th,91st,13th,1st,349th,2nd,9th,3rd,253rd,20th,princeton,team_stats
25,267th,341st,308th,299th,310th,134th,316th,216th,118th,257th,141st,309th,84th,326th,53rd,299th,263rd,261st,99th,122nd,121st,315th,notre-dame,team_stats
26,243rd,313th,272nd,313th,299th,54th,334th,292nd,22nd,339th,22nd,344th,102nd,266th,82nd,327th,13th,298th,38th,109th,28th,309th,oregon,team_stats
27,230th,331st,35th,248th,277th,312th,193rd,149th,279th,102nd,325th,154th,341st,287th,334th,200th,61st,308th,308th,250th,47th,80th,oklahoma-state,team_stats
28,161st,326th,281st,175th,165th,16th,294th,141st,93rd,184th,23rd,273rd,222nd,26th,269th,325th,139th,178th,35th,215th,171st,313th,northwestern,team_stats
29,35th,13th,163rd,183rd,218th,168th,227th,80th,192nd,61st,200th,157th,228th,100th,253rd,104th,107th,178th,218th,189th,69th,129th,north-dakota,team_stats
