,ast_per_g,blk_per_g,class,drb_per_g,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,height,hometown,mp_per_g,number,orb_per_g,pf_per_g,player,pos,pts_per_g,rsci,stl_per_g,summary,team_name,tov_per_g,trb_per_g,type,weight
0,3.3,0.1,SO,2.3,.421,3.0,7.1,.401,2.2,5.4,.413,5.2,12.5,.782,1.9,2.4,32,31,6-3,"Indianapolis, IN",34.2,34,0.7,1.8,Stanley Burrell,G,14.4,,0.7," 14.4 Pts, 2.9 Reb, 3.3 Ast",xavier,2.3,2.9,per_game,210
1,2.5,1.6,JR,4.9,.448,2.2,4.8,.358,1.3,3.8,.409,3.5,8.6,.771,2.6,3.4,32,32,6-9,"Union, KY",30.7,15,1.8,3.0,Justin Doellman,F,11.0,,1.6," 11.0 Pts, 6.7 Reb, 2.5 Ast",xavier,1.6,6.7,per_game,210
2,1.2,0.5,JR,3.2,.569,3.1,5.4,.458,0.3,0.8,.556,3.4,6.2,.745,3.3,4.4,32,32,6-6,"Indianapolis, IN",33.5,3,2.2,2.5,Justin Cage,F,10.5,,0.9," 10.5 Pts, 5.4 Reb, 1.2 Ast",xavier,1.7,5.4,per_game,225
3,1.5,2.0,SR,4.0,.640,5.4,8.5,,0.0,0.0,.640,5.4,8.5,.696,4.5,6.4,21,21,6-8,"Louisville, KY",25.2,2,2.8,2.6,Brian Thornton,F,15.3,,0.7," 15.3 Pts, 6.8 Reb, 1.5 Ast",xavier,1.7,6.8,per_game,244
4,1.8,0.5,SO,3.1,.472,1.6,3.3,.385,1.3,3.3,.429,2.8,6.6,.857,2.3,2.6,32,12,6-9,"Cincinnati, OH",21.0,1,1.1,3.0,Josh Duncan,F,9.1,,0.4," 9.1 Pts, 4.2 Reb, 1.8 Ast",xavier,1.4,4.2,per_game,238
5,0.1,0.3,SR,1.1,.570,1.8,3.2,,0.0,0.0,.570,1.8,3.2,.542,0.8,1.5,31,0,6-9,"Indianapolis, IN",9.7,52,0.6,1.5,Will Caudle,F,4.5,,0.2," 4.5 Pts, 1.7 Reb, 0.1 Ast",xavier,0.8,1.7,per_game,240
6,4.0,0.0,SR,2.1,.408,0.8,2.0,.345,0.8,2.4,.374,1.7,4.5,.625,0.8,1.3,24,24,6-1,"Newburgh, IN",28.3,12,0.1,2.3,Dedrick Finn,G,5.0,2002,1.5," 5.0 Pts, 2.2 Reb, 4.0 Ast",xavier,2.5,2.2,per_game,180
7,2.0,0.0,FR,1.4,.513,0.6,1.2,.333,0.6,1.9,.404,1.3,3.1,.607,0.5,0.9,32,8,6-2,"Cincinnati, OH",16.1,14,0.0,0.6,Johnny Wolf,G,3.7,,0.2," 3.7 Pts, 1.5 Reb, 2.0 Ast",xavier,0.7,1.5,per_game,190
8,0.7,0.4,FR,1.2,.500,0.6,1.2,.306,0.5,1.6,.388,1.1,2.7,.639,0.7,1.2,31,0,6-6,"Toledo, OH",11.9,11,0.3,1.2,B.J. Raymond,F,3.4,,0.5," 3.4 Pts, 1.5 Reb, 0.7 Ast",xavier,0.5,1.5,per_game,226
9,0.1,0.2,JR,1.9,.552,0.8,1.5,,0.0,0.0,.552,0.8,1.5,.667,0.5,0.8,20,0,6-0,"Richton Park, IL",7.6,33,0.7,1.2,Brandon Cole,G,2.1,,0.3," 2.1 Pts, 2.5 Reb, 0.1 Ast",xavier,0.9,2.5,per_game,240
